k1,k2,k3,kx,ky,kz,chirality
0.12093,0.89725,0.99141,0.21718,0.89752,0.45925,1
0.1214,0.10274,0.9901,0.21801,0.10277,0.45864,-1
0.12796,0.95398,0.99509,0.2298,0.95428,0.46095,-1
0.12799,0.04545,0.99273,0.22986,0.04547,0.45986,1
0.87202,0.9545,0.00711,1.56602,0.95479,0.0033,1
0.87202,0.04591,0.00502,1.56604,0.04593,0.00233,-1
0.8786,0.89721,0.00975,1.57786,0.89749,0.00451,-1
0.87905,0.10275,0.00861,1.57865,0.10278,0.00399,1
