omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.5,3364.9404,-742.90372,2591.7897,-2852.2923,2.97563728,15.99911199,2.25006412,15.14826801
1.505,3357.8278,-747.05873,2615.5832,-2855.3998,-0.14505039,18.610464,-0.70780241,16.25315
1.51,3352.0473,-747.16951,2643.0095,-2859.1017,-4.61725555,19.5399782,-4.63710865,17.0493958
1.515,3342.5818,-746.51709,2674.8582,-2861.2973,-8.95175054,19.5053308,-8.69011026,17.2215672
1.52,3328.2587,-741.80958,2709.6432,-2861.6974,-11.66107532,18.50591628,-11.09035268,16.81116972
1.525,3305.8313,-743.40527,2748.5644,-2857.8971,-13.39309678,18.0270013,-12.16948122,16.6237827
1.53,3290.004,-742.93339,2797.4755,-2837.4727,-14.59631342,16.37976276,-13.27119858,16.79876124
1.535,3267.9596,-746.02962,2782.6043,-2823.5698,-15.34815871,16.38497724,-15.03722329,16.37103676
1.54,3252.1388,-751.47486,2779.0058,-2820.4121,-16.00101963,15.44498005,-15.54377437,16.13071195
1.545,3243.9366,-753.00978,2782.4456,-2820.7878,-16.1323239,15.15780246,-16.0828721,15.90494554
1.55,3224.8145,-753.985,2787.9193,-2821.8289,-16.36945478,15.48007716,-16.36168722,15.67357884
1.555,3203.6211,-756.17051,2793.5662,-2824.2994,-17.61088345,15.52081901,-17.41940455,15.71647299
1.56,3180.1633,-759.81223,2803.4225,-2828.4268,-18.59859737,15.37186656,-18.41683463,15.38004344
1.565,3155.2231,-764.39223,2819.4187,-2831.935,-19.71263807,15.00388536,-19.50352793,15.18121864
1.57,3128.5327,-769.79065,2840.3515,-2832.4907,-20.58576482,14.70492542,-20.31218718,14.56602258
1.575,3098.4538,-776.37471,2853.6737,-2830.8278,-21.091152,14.06593252,-20.635704,14.16618148
1.58,3065.8299,-784.66238,2862.7386,-2831.4205,-21.33721492,13.46616241,-20.93331108,13.96300759
1.585,3029.5472,-795.76992,2874.427,-2833.2423,-21.58432889,13.10290435,-21.03444111,13.82944765
1.59,2994.8674,-810.24638,2886.8924,-2834.9698,-22.26993609,12.605088,-21.73007591,14.278286
1.595,2964.0197,-827.01248,2902.8491,-2837.7254,-23.56572905,12.1352511,-23.44915895,14.5958389
