k1,k2,k3,kx,ky,kz,chirality
0.12042,0.89685,0.99049,0.21626,0.89534,0.45882,1
0.12074,0.10312,0.9918,0.21684,0.10295,0.45943,-1
0.12729,0.95349,0.99458,0.22859,0.95189,0.46072,-1
0.12738,0.04573,0.99313,0.22876,0.04565,0.46004,1
0.87264,0.95417,0.00678,1.56714,0.95256,0.00314,1
0.8727,0.0464,0.00548,1.56726,0.04632,0.00254,-1
0.87925,0.89687,0.00795,1.57902,0.89536,0.00368,-1
0.87955,0.1032,0.00945,1.57955,0.10302,0.00438,1
