omega_eV,Re,Im
2.33500000,-0.43257279,-1.85882680
2.34000000,-0.19017663,-2.14866120
2.34500000,0.11354854,-1.99515580
2.35000000,0.28866291,-1.41645190
2.35500000,0.28769210,-0.98812384
2.36000000,0.19172544,-0.62488803
2.36500000,0.21563408,-0.68680867
2.37000000,0.29934471,-0.38613127
2.37500000,0.27730291,0.03803626
2.38000000,0.17123348,0.18544463
2.38500000,0.05318398,0.35496475
2.39000000,-0.21319193,-0.08174423
2.39500000,-0.22630717,-0.15558313
2.40000000,-0.04623792,-0.35955895
2.40500000,-0.20513310,-0.02670174
2.41000000,-0.36874634,-0.28857335
2.41500000,-0.46655562,-0.63740482
2.42000000,-0.46172764,-1.02425380
2.42500000,-0.45687269,-1.36810570
2.43000000,-0.44838965,-1.73897730
2.43500000,-0.34788252,-2.21663450
2.44000000,-0.16584811,-2.71132460
2.44500000,0.51952644,-2.87784810
2.45000000,0.67715534,-2.26084320
2.45500000,0.73966623,-1.79684020
2.46000000,0.92881560,-1.54361770
2.46500000,0.88293827,-1.26869300
2.47000000,0.99700488,-0.98825718
2.47500000,1.02736770,-0.91425489
2.48000000,0.99492859,-0.34511567
2.48500000,0.98394213,-0.24563208
2.49000000,0.98031819,0.15066367
2.49500000,1.06865510,0.49960040
2.50000000,0.90397959,1.44164460
2.50500000,0.53674109,1.50503020
2.51000000,0.45480324,1.38563710
2.51500000,0.13553197,0.81972137
2.52000000,0.15892394,0.66889158
2.52500000,-0.01067015,0.31804883
2.53000000,0.22517661,-0.11559456
2.53500000,0.33399370,-0.01589123
2.54000000,0.41285056,0.09872675
2.54500000,0.38047167,0.20871157
2.55000000,0.21139110,0.74309682
2.55500000,0.19444817,-0.47853040
2.56000000,0.55336090,-0.27244266
2.56500000,0.74830214,0.44595531
2.57000000,0.61652709,1.14944880
2.57500000,0.37641077,1.39385590
2.58000000,0.01819407,1.10066790
2.58500000,0.02437529,0.69502359
2.59000000,0.04226061,0.56920433
2.59500000,0.09542620,0.36872987
2.60000000,0.16398011,0.55941629
2.60500000,0.21810166,0.50984246
2.61000000,0.23693890,0.98795680
2.61500000,0.12692706,1.06603710
2.62000000,0.04702252,1.19929420
2.62500000,-0.04246626,1.34148820
2.63000000,-0.16792282,1.44339540
2.63500000,-0.26206123,1.49886350
2.64000000,-0.43083039,1.82530150
2.64500000,-0.67108115,1.37246330
2.65000000,-0.86819130,1.22114180
2.65500000,-0.92899062,0.45743982
2.66000000,-0.96393425,0.01442745
2.66500000,-0.90808204,-0.63443232
2.67000000,-0.71636296,-0.95652588
2.67500000,-0.47561780,-1.12817840
2.68000000,-0.31311731,-0.72422208
2.68500000,-0.44221605,-0.62366701
2.69000000,-0.42733947,-0.86945384
2.69500000,-0.31686425,-1.21811640
2.70000000,-0.09029524,-1.24228770
2.70500000,0.08046892,-1.00995040
2.71000000,0.10789472,-0.71821260
2.71500000,-0.00530038,-0.51631660
2.72000000,-0.06250829,-1.07433350
2.72500000,0.17089665,-1.13350050
2.73000000,0.38781181,-0.74692963
2.73500000,0.41795292,-0.18645667
2.74000000,0.23068081,0.24720898
2.74500000,0.15593652,0.18123625
2.75000000,0.04232444,0.27531815
2.75500000,-0.01751474,0.14626726
2.76000000,-0.10651515,-0.16112963
2.76500000,-0.10477004,-0.62268637
2.77000000,0.04190518,-0.99576800
2.77500000,0.21614250,-1.05154490
2.78000000,0.32907702,-1.02302840
2.78500000,0.39364626,-0.99708998
2.79000000,0.44445759,-0.99728437
2.79500000,0.48713675,-1.08203650
2.80000000,0.60467853,-1.07181780
2.80500000,0.69177321,-1.13884150
2.81000000,0.90771112,-1.19872850
2.81500000,1.07952270,-0.90039196
2.82000000,1.20425060,-0.28580312
2.82500000,0.99112338,0.10684865
2.83000000,0.89058687,-0.28435881
2.83500000,1.15672340,-0.45824459
2.84000000,1.36959330,0.70325892
2.84500000,0.85103285,1.59548270
2.85000000,0.65193693,1.56763830
2.85500000,0.36419493,1.46168690
2.86000000,0.10712376,1.39029270
2.86500000,-0.24326990,0.76173963
2.87000000,-0.23926951,-0.38014562
2.87500000,0.24688493,-1.35920940
2.88000000,0.77391585,-0.67026005
2.88500000,0.64965249,0.09418586
2.89000000,0.49362728,-0.23818258
2.89500000,0.53418856,-0.95677254
2.90000000,1.04107400,-0.93865259
2.90500000,1.32603050,-0.06351370
2.91000000,1.29049460,1.32215250
2.91500000,0.98227407,2.33134340
2.92000000,0.65953862,3.29762130
2.92500000,0.09337040,3.42399500
2.93000000,-0.33844315,3.95129620
2.93500000,-0.93898396,3.33046690
2.94000000,-1.35994710,1.40460360
2.94500000,-1.05275470,0.00107766
2.95000000,-0.73582517,-0.33158805
2.95500000,-0.34559608,-0.91135596
2.96000000,-0.05175192,-1.09168430
2.96500000,0.42604444,-0.85255293
2.97000000,0.45206304,0.28056242
2.97500000,0.48880112,0.96076214
2.98000000,0.29659067,1.37714300
2.98500000,0.18276678,1.44042170
2.99000000,-0.27379955,1.60938610
2.99500000,-0.31250600,0.67674273
3.00000000,-0.07192327,-0.12165330
3.00500000,0.20648391,0.78962776
3.01000000,-0.10391451,0.72508418
3.01500000,0.06486351,0.13048221
3.02000000,0.34287041,0.66901506
3.02500000,0.25751371,1.14391020
3.03000000,0.12861513,1.20162260
3.03500000,0.10610864,0.37861924
3.04000000,0.33642247,0.96548637
3.04500000,0.27892046,1.51826810
3.05000000,-0.25572809,1.52057970
3.05500000,-0.28749032,0.73916714
3.06000000,-0.19511372,0.45806895
3.06500000,0.19847769,1.39059700
3.07000000,-0.42802994,2.77058650
3.07500000,-1.23343520,0.41976426
3.08000000,-0.65944420,-0.65880796
3.08500000,-0.43316014,-0.87504731
3.09000000,0.16350579,-1.52652310
3.09500000,0.45466895,-0.97594821
3.10000000,0.93199061,-0.11278258
3.10500000,1.06469220,1.32466910
3.11000000,0.39218986,2.13897980
3.11500000,0.45757806,1.83579670
3.12000000,0.30698369,1.79178600
3.12500000,0.30560095,2.16265140
3.13000000,-0.15846571,2.46252090
3.13500000,-0.25375524,2.70794240
3.14000000,-0.82877102,2.96812810
3.14500000,-1.41893350,1.99871360
3.15000000,-1.36310670,0.64173144
3.15500000,-1.16769450,0.01325319
3.16000000,-1.01116770,-0.26372238
3.16500000,-0.79976410,-0.40064965
3.17000000,-0.73527828,0.49380988
3.17500000,-0.92224495,-0.52187572
3.18000000,-0.36326166,-0.06483451
3.18500000,-0.69113395,0.85885715
3.19000000,-1.03342170,0.68122886
3.19500000,-1.45071960,-0.04320504
3.20000000,-1.13072870,-1.66203420
3.20500000,-0.98875625,-1.42907750
3.21000000,-0.88284594,-1.86254660
3.21500000,-0.35272003,-2.39799220
3.22000000,-0.18701399,-2.34665120
3.22500000,0.04659824,-2.21887260
3.23000000,0.39554574,-2.05439770
3.23500000,0.57665715,-1.53254280
3.24000000,0.91139679,-1.01948280
3.24500000,1.19488250,0.38723445
3.25000000,0.88671686,1.49883140
3.25500000,0.49806116,2.52638580
3.26000000,0.05577130,1.96094870
3.26500000,-0.05449898,1.41967190
3.27000000,-0.01983829,1.48992750
3.27500000,-0.05946964,1.16352730
3.28000000,-0.20511397,1.23556960
3.28500000,-0.33275654,0.44262421
3.29000000,0.13930694,0.10213840
3.29500000,0.46027718,2.04849480
3.30000000,-0.23754942,3.35926260
3.30500000,-1.02259610,2.29232160
3.31000000,-0.61944030,0.60635972
3.31500000,-0.07407723,0.87529434
3.32000000,-0.46792306,1.34838610
3.32500000,-0.36979527,1.76772660
3.33000000,-0.64818375,2.88637470
3.33500000,-1.55908810,2.44478010
3.34000000,-1.60974550,-0.11410265
3.34500000,-0.50143230,-0.52279511
3.35000000,-0.47835517,1.68937990
3.35500000,-1.03822990,1.88789200
3.36000000,-1.16984970,1.91449680
3.36500000,-1.14450750,1.83536880
3.37000000,-1.98458810,2.50100490
3.37500000,-2.36445330,-0.10169816
3.38000000,-1.81594090,-1.08988910
3.38500000,-1.44473520,-1.86823760
3.39000000,-1.12791600,-1.22625510
3.39500000,-0.91611154,-2.12289300
3.40000000,-0.43185694,-1.41562450
3.40500000,-0.24704093,-0.78161862
3.41000000,-0.53777218,-0.50298612
3.41500000,-0.57381054,-0.36209551
3.42000000,-0.67944961,-0.27467778
3.42500000,-0.95619600,-0.10067017
3.43000000,-0.47639995,-0.27421056
3.43500000,-0.77498481,0.48910525
3.44000000,-1.06192120,0.42793959
3.44500000,-1.27507940,-0.29144134
3.45000000,-1.02333590,-1.27848600
3.45500000,-0.96547790,-1.57763010
3.46000000,-0.65064208,-1.27266690
3.46500000,-0.81716005,-0.49886733
3.47000000,-0.96685383,-0.83832349
3.47500000,-0.98958214,-0.83403679
3.48000000,-0.81332997,-1.30183550
3.48500000,-0.50125944,-0.89462747
3.49000000,-0.79735760,-0.35200822
3.49500000,-0.94125480,-1.51748030
3.50000000,-0.83988891,-1.48647380
