omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.78,2599.4031,-1556.0297,2720.0503,-2854.7523,-13.70675918,-12.6641711,-13.85401282,-14.9274349
1.785,2610.4791,-1579.6058,2718.8436,-2874.7442,-14.01043607,-12.7359427,-13.83215393,-15.2402633
1.79,2621.4941,-1602.2698,2719.2111,-2894.7278,-13.86473909,-13.3247998,-13.36901691,-15.7052462
1.795,2632.1464,-1625.4452,2721.4422,-2914.6679,-12.74849996,-13.845076,-11.95408604,-15.995642
1.8,2646.1377,-1648.797,2724.9973,-2932.16,-11.67421872,-14.52185675,-10.64408928,-16.10356925
1.805,2662.4764,-1670.918,2718.9828,-2950.6479,-9.57127188,-15.02899711,-8.40303992,-16.00502689
1.81,2676.5406,-1689.6169,2716.0214,-2972.4419,-7.73868524,-15.25847295,-6.57965736,-15.08520905
1.815,2686.5309,-1709.3135,2715.8496,-2994.5577,-6.57088037,-14.81964738,-5.74693943,-14.55633862
1.82,2696.1935,-1730.1999,2717.2503,-3017.6325,-5.77916357,-14.4997141,-4.93988903,-14.0495959
1.825,2707.3956,-1751.4775,2719.4856,-3041.1576,-5.21474424,-14.41437697,-4.38320076,-13.44620903
1.83,2720.5861,-1772.2599,2724.6909,-3066.5287,-4.87734867,-14.19626772,-4.28251213,-12.97837028
1.835,2736.0761,-1792.1621,2735.5207,-3092.3783,-5.41063286,-14.12691654,-5.04956914,-13.10459146
1.84,2750.4712,-1809.422,2749.7499,-3117.6347,-3.91745454,-14.53298279,-3.72045906,-13.74414121
1.845,2755.974,-1826.3424,2766.6468,-3142.7598,-2.47343707,-13.97870438,-2.09725173,-13.54094562
1.85,2760.9654,-1846.8845,2789.8834,-3167.5072,-1.3710132,-13.38113192,-1.15689,-12.75595408
1.855,2768.0032,-1868.2982,2807.2505,-3187.6854,-1.550129,-12.52384493,-1.4856912,-12.06123707
1.86,2777.4324,-1891.1977,2828.2168,-3210.6675,-1.96080667,-12.13115467,-1.92967633,-11.73978333
1.865,2791.8953,-1915.9207,2847.0318,-3234.6453,-2.33907661,-11.80713935,-2.35059199,-11.51683865
1.87,2811.347,-1930.4675,2870.9882,-3258.8493,-2.80776129,-11.53040157,-2.84411531,-11.42413243
1.875,2822.4411,-1948.4695,2896.7757,-3282.5987,-3.25517534,-11.44145807,-3.21794026,-11.43753393
1.88,2828.4725,-1968.2679,2923.6875,-3306.5941,-3.23313895,-11.61165799,-3.14772245,-11.43104401
1.885,2837.8868,-1990.9255,2955.7616,-3331.5987,-2.87676189,-11.58092925,-2.83840531,-11.27616275
1.89,2848.3284,-2013.4226,2999.299,-3355.7401,-2.77514925,-11.46836953,-2.77863615,-11.13886847
1.895,2860.6747,-2035.6898,3044.5512,-3371.0986,-2.436605,-11.30894998,-2.5459624,-10.98354602
1.9,2872.8586,-2057.2141,3085.6718,-3389.378,-2.40057048,-11.04562533,-2.51806232,-10.90892467
1.905,2884.2069,-2078.9052,3119.6757,-3403.538,-2.19407137,-10.95245381,-2.29642703,-10.77615019
1.91,2895.3148,-2101.1204,3164.6102,-3419.991,-1.8631017,-10.85473624,-1.9661151,-10.65498576
1.915,2907.1074,-2123.8833,3213.9894,-3432.8456,-1.49233639,-10.71859025,-1.70340941,-10.51988575
1.92,2919.9515,-2147.3112,3260.7574,-3442.6227,-1.244969,-10.59320742,-1.4866102,-10.45560658
1.925,2934.7884,-2171.122,3306.3059,-3450.7296,-0.86523023,-10.40394048,-1.16947777,-10.49480952
1.93,2951.6946,-2195.0471,3352.8786,-3459.6006,-0.46959007,-10.24043687,-0.71960921,-10.62495713
1.935,2971.0853,-2218.8868,3407.9686,-3466.712,0.37727841,-10.40446177,0.01281539,-10.53585823
1.94,2993.4504,-2242.1176,3465.1154,-3467.5021,1.54698436,-9.85129688,1.35247444,-10.68378912
1.945,3018.2541,-2264.423,3522.3671,-3461.9011,2.09262178,-9.62894631,1.94686922,-10.16821969
1.95,3043.8327,-2286.217,3554.4011,-3452.5432,2.51310414,-9.22201266,2.59536186,-10.06065634
1.955,3072.6442,-2307.6996,3584.1141,-3449.3005,2.78263022,-9.24345126,2.93102318,-9.65815594
1.96,3107.6822,-2327.224,3619.0714,-3446.1316,3.21497883,-9.11850759,3.42908197,-9.51085221
1.965,3141.9764,-2342.5278,3654.6028,-3438.8415,4.07918966,-8.99198829,4.03922494,-9.13140591
1.97,3169.2667,-2355.49,3674.6399,-3426.7411,3.78230977,-8.95953298,3.90169583,-9.37240782
1.975,3188.1503,-2371.0888,3674.6864,-3421.761,6.05558216,-9.08512177,6.23069924,-9.18480423
1.98,3211.5917,-2388.9133,3680.7865,-3422.5449,7.12314507,-8.72516227,7.26091813,-8.68178093
1.985,3238.9182,-2406.6613,3694.7367,-3424.6574,7.70870123,-8.23480931,7.83306897,-8.16250509
1.99,3268.2064,-2423.2867,3706.7142,-3424.9478,8.42961474,-7.77039457,8.45176686,-7.63754803
1.995,3296.2352,-2438.7573,3711.7953,-3426.9057,8.8181111,-7.14342392,8.7605999,-7.19141448
2,3323.8396,-2453.9033,3716.3008,-3432.2631,9.12815031,-6.45191531,9.13831789,-6.73958009
2.005,3351.0785,-2469.6134,3722.5662,-3439.9338,9.18886984,-6.11793031,9.12247376,-6.33441629
2.01,3380.6702,-2485.5043,3732.1109,-3449.3873,9.29359455,-5.65424673,9.24512365,-6.00745147
2.015,3413.1876,-2500.7561,3745.3988,-3459.9701,9.346598,-5.27583979,9.2999376,-5.66437441
2.02,3447.6107,-2514.7841,3762.9481,-3470.9258,9.54287868,-4.83040377,9.49434332,-5.38747403
2.025,3483.1745,-2527.8068,3781.9043,-3480.5708,9.7091042,-4.28314478,9.7289902,-4.98096362
