omega_eV,Re,Im
2.33000000,-1.46859550,2.00357240
2.33500000,-1.12209590,2.38333030
2.34000000,-0.77736825,2.64525470
2.34500000,-0.08909507,2.67570340
2.35000000,0.48559834,3.01127210
2.35500000,1.13693570,3.38574120
2.36000000,1.25628340,4.75464930
2.36500000,-0.16108948,4.95751930
2.37000000,-0.45736813,5.19107960
2.37500000,-0.57543471,5.47266360
2.38000000,-1.32768830,6.40097280
2.38500000,-3.52037690,5.89224350
2.39000000,-4.76039090,5.65255490
2.39500000,-5.29418260,4.93784430
2.40000000,-4.81580780,4.18684580
2.40500000,-3.10120330,3.37202500
2.41000000,-0.81625251,3.09973120
2.41500000,1.51976220,3.36021360
2.42000000,3.22938540,3.96662530
2.42500000,4.21533670,4.45698700
2.43000000,5.63459120,5.09489410
2.43500000,6.77273090,5.86402940
2.44000000,7.35749850,6.64272790
2.44500000,7.90612250,7.51267400
2.45000000,8.14453770,8.03698600
2.45500000,9.10732380,8.65587960
2.46000000,9.89891630,9.55960570
2.46500000,10.88621100,10.29043200
2.47000000,12.53206800,10.97694700
2.47500000,13.81492400,12.22822100
2.48000000,15.14018000,13.35664000
2.48500000,16.69452100,14.83931500
2.49000000,18.46687700,16.96004900
2.49500000,17.17119600,19.73946600
2.50000000,15.61895400,21.73241400
2.50500000,13.34365700,23.65943000
2.51000000,10.09466500,24.23978400
2.51500000,6.95149400,25.81189000
2.52000000,2.85179070,26.79114500
2.52500000,-1.37156360,27.02514700
2.53000000,-3.88397520,26.65049500
2.53500000,-4.94572900,26.67058300
2.54000000,-6.51835900,27.58359800
2.54500000,-10.13050700,28.36435800
2.55000000,-15.65956300,28.78413400
2.55500000,-23.31108600,27.49396500
2.56000000,-26.71693500,24.43619400
2.56500000,-25.80504900,22.11553600
2.57000000,-25.00864200,21.12234500
2.57500000,-25.99854500,20.04007800
2.58000000,-27.25549100,18.93840400
2.58500000,-26.51934800,16.89043800
2.59000000,-23.81702000,15.46755700
2.59500000,-20.60710700,14.72230600
2.60000000,-17.70198100,14.58675100
2.60500000,-15.58101400,15.05216600
2.61000000,-14.24509800,15.48978500
2.61500000,-13.70765900,16.22716900
2.62000000,-13.97667400,16.92234500
2.62500000,-14.78220600,17.53498000
2.63000000,-16.11236100,17.92194700
2.63500000,-17.54802100,17.96515900
2.64000000,-18.13991800,18.20950600
2.64500000,-20.27346700,18.32205300
2.65000000,-21.34519400,18.02982100
2.65500000,-22.13820900,17.87189300
2.66000000,-22.07504800,18.03227400
2.66500000,-23.90977800,18.87499000
2.67000000,-26.71182600,18.96087900
2.67500000,-29.35688500,18.54274500
2.68000000,-31.80021000,17.74280500
2.68500000,-32.55993500,16.40077900
2.69000000,-32.63047400,15.70707700
2.69500000,-32.03535000,15.01466600
2.70000000,-30.90386600,14.76402700
2.70500000,-30.46208500,15.06149400
2.71000000,-30.52061900,15.13830600
2.71500000,-30.94104400,15.74983500
2.72000000,-33.03119200,16.17927300
2.72500000,-35.22336000,16.22375800
2.73000000,-37.61771100,16.12094300
2.73500000,-40.05933100,15.51026800
2.74000000,-41.67043000,14.77278400
2.74500000,-42.90376200,14.25620000
2.75000000,-45.05893700,13.56185700
2.75500000,-46.06543900,12.93053300
2.76000000,-48.44176300,12.35834200
2.76500000,-51.15737800,11.35859700
2.77000000,-53.99931800,9.96722470
2.77500000,-56.23862700,8.15169070
2.78000000,-57.90332600,6.37030730
2.78500000,-59.90296700,4.25770770
2.79000000,-60.38263600,1.70769490
2.79500000,-59.37985100,-0.69107040
2.80000000,-57.50413100,-2.35980840
2.80500000,-55.18830600,-3.79024670
2.81000000,-55.20392500,-4.49107490
2.81500000,-54.48879900,-6.07458310
2.82000000,-52.22680600,-7.62302030
2.82500000,-50.13479100,-8.38396830
