omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.5,3392.7107,-764.19584,2597.0207,-2858.3701,1.35833254,12.2890579,0.62319964,10.6327981
1.505,3384.7264,-762.93226,2623.7275,-2861.4336,0.55383037,15.6155776,-0.20086817,11.0295644
1.51,3371.57,-760.36579,2653.7166,-2864.6003,-2.51769663,16.9115397,-2.04122397,11.8062183
1.515,3357.9978,-758.6262,2688.1507,-2866.5322,-5.16016661,16.9941081,-4.09634139,12.7579939
1.52,3343.2921,-756.11675,2732.2833,-2866.8229,-7.57986963,16.8573946,-6.07202177,13.1239734
1.525,3321.9718,-753.02564,2798.3186,-2854.6998,-8.60969776,16.412823,-6.77463604,13.238575
1.53,3293.639,-754.12803,2792.125,-2827.7145,-10.53466869,16.341977,-8.62175471,14.124767
1.535,3271.8034,-759.76594,2787.1833,-2821.761,-12.5225301,16.3784466,-10.5095339,14.1023334
1.54,3259.8881,-765.15253,2789.4189,-2819.9629,-13.824699,15.62193565,-11.567057,13.93098635
1.545,3251.3966,-766.02781,2794.9274,-2818.7463,-14.554603,15.37510131,-12.318859,14.11195869
1.55,3230.5291,-767.26595,2798.7248,-2819.0605,-15.743499,14.89485025,-13.224939,14.72051975
1.555,3208.4929,-769.92431,2805.4415,-2821.8812,-17.0116342,14.43202111,-14.8128758,15.14434089
1.56,3183.9902,-774.47954,2818.4773,-2825.6827,-18.5816305,14.36210065,-16.5491375,15.15362135
1.565,3159.5316,-779.43737,2840.2663,-2824.187,-20.08544301,13.04604975,-18.35086499,13.93515225
1.57,3133.2575,-786.47463,2849.6345,-2822.7511,-21.6001802,12.49495511,-19.5534358,13.51019889
1.575,3106.3769,-794.30935,2857.0646,-2823.9743,-21.9799368,11.3772598,-19.9435412,13.3782742
1.58,3077.4902,-802.76305,2868.407,-2826.1263,-22.11137728,10.624858,-20.24396072,12.762792
1.585,3046.195,-814.06938,2881.689,-2827.8077,-21.9600823,9.8258431,-19.8649077,12.7601909
1.59,3016.6608,-827.34562,2894.9027,-2829.6135,-22.23941268,8.829527,-20.30155332,13.352719
1.595,2990.018,-842.19929,2913.2541,-2832.5556,-22.92535599,8.4231637,-21.48932601,13.7548543
1.6,2967.6866,-855.65065,2940.6747,-2831.6895,-25.87627136,7.886262,-24.53038864,14.094956
1.605,2936.0733,-869.41915,2958.847,-2827.4062,-27.37531001,5.3406511,-26.93203599,13.4082939
1.61,2907.7122,-887.44838,2973.5002,-2822.9811,-27.62278472,3.9809542,-28.48716128,11.8935428
1.615,2883.1832,-907.65833,2988.8748,-2820.306,-26.61467643,2.9274866,-28.30899757,9.6651666
