omega_eV,Re,Im
2.34500000,-0.09320694,1.08091440
2.35000000,-0.31732321,0.98346492
2.35500000,-0.47556365,0.58212315
2.36000000,-0.52041289,0.03010705
2.36500000,-0.42597172,-0.32738660
2.37000000,-0.09805834,-0.58549173
2.37500000,-0.13311384,-0.25445375
2.38000000,-0.26342727,-0.16095709
2.38500000,-0.35418703,-0.69654261
2.39000000,-0.17655859,-0.69120485
2.39500000,-0.09533459,-0.82621270
2.40000000,-0.04904725,-0.88442824
2.40500000,0.01551696,-0.92296841
2.41000000,0.06941502,-0.91139636
2.41500000,0.14767257,-0.93253593
2.42000000,0.20467674,-0.70976307
2.42500000,0.25015596,-0.45929688
2.43000000,0.23196388,-0.31026638
2.43500000,-0.01271114,0.13299470
2.44000000,0.02885743,-0.50691612
2.44500000,0.14207333,-0.54865180
2.45000000,0.35944741,-0.81451485
2.45500000,0.28294761,0.49972033
2.46000000,0.32703086,-0.00854908
2.46500000,0.47406360,0.24578472
2.47000000,0.32461639,0.73035261
2.47500000,0.16609934,0.84730605
2.48000000,-0.00167592,0.75217485
2.48500000,-0.06790077,0.71332749
2.49000000,-0.25704335,0.73232829
2.49500000,-0.36043192,0.35905837
2.50000000,-0.05049395,0.28902017
2.50500000,-0.21432109,0.70369023
2.51000000,-0.56979624,-0.14354143
2.51500000,-0.32757742,-0.98512905
2.52000000,0.09895855,-1.16372860
2.52500000,0.17070353,-0.66699868
2.53000000,0.24214906,-0.70687323
2.53500000,0.35653486,0.01012761
2.54000000,0.26462213,-0.49628181
2.54500000,0.68712917,0.15498863
2.55000000,0.50874670,1.19852230
2.55500000,0.11035236,1.04341690
2.56000000,-0.02929695,0.85556378
2.56500000,-0.16954192,0.44631361
2.57000000,-0.14435311,0.24127511
2.57500000,-0.18128947,0.40050463
2.58000000,-0.29321502,0.41888560
2.58500000,-0.39148851,0.21868098
2.59000000,-0.19343411,-0.01684726
2.59500000,-0.26014958,0.12499772
2.60000000,-0.28232309,-0.06890236
2.60500000,-0.18177847,-0.14729569
2.61000000,-0.12637862,0.06847760
2.61500000,-0.15348095,0.24767676
2.62000000,-0.22939079,0.32754291
2.62500000,-0.27219296,0.37920144
2.63000000,-0.28561245,0.26902291
2.63500000,-0.16318694,0.39264886
2.64000000,-0.41778228,0.73972390
2.64500000,-0.57144688,0.36742255
2.65000000,-0.63473517,0.06281374
2.65500000,-0.64864611,-0.33119306
2.66000000,-0.59572810,-0.53184206
2.66500000,-0.45762828,-0.73710804
2.67000000,-0.38507667,-0.69207061
2.67500000,-0.29230906,-0.63829187
2.68000000,-0.26044072,-0.56478773
2.68500000,-0.27074773,-0.55144371
2.69000000,-0.26648733,-0.66983404
2.69500000,-0.26234742,-0.80031989
2.70000000,-0.16709529,-0.89657674
2.70500000,-0.15098645,-0.85055074
2.71000000,-0.19455773,-1.27308820
2.71500000,0.03147935,-1.59696890
2.72000000,0.21168182,-1.43723360
2.72500000,0.30854617,-1.34478620
2.73000000,0.46027767,-1.05524980
2.73500000,0.47872611,-0.71482187
2.74000000,0.43046195,-0.54888825
2.74500000,0.43668927,-0.54370150
2.75000000,0.43516173,-0.49910092
2.75500000,0.42215063,-0.46324447
2.76000000,0.44493114,-0.50279146
2.76500000,0.52304256,-0.57770659
2.77000000,0.61657513,-0.53658671
2.77500000,0.70188591,-0.33753199
2.78000000,0.69095103,-0.07688123
2.78500000,0.51859298,0.07232645
2.79000000,0.48358105,-0.07799499
2.79500000,0.55496882,0.02883036
2.80000000,0.57654542,0.52188568
2.80500000,0.35851902,0.78232549
2.81000000,0.20975722,0.51582300
2.81500000,0.25063451,0.49051503
2.82000000,0.13456336,0.46987683
2.82500000,0.12159429,0.19093812
2.83000000,-0.00594019,0.14759775
2.83500000,0.04782341,0.52968555
2.84000000,-0.18975889,0.29971146
2.84500000,-0.54579242,-0.19297715
2.85000000,-0.23680976,-0.68730788
2.85500000,-0.53902468,-1.16072940
2.86000000,-0.27135155,-2.63289260
2.86500000,0.09549365,-2.26953620
2.87000000,0.72498005,-1.92556590
2.87500000,0.89625411,-1.25493450
2.88000000,0.67719233,-0.96697097
2.88500000,0.74280174,-1.76618810
2.89000000,1.20907840,-1.99945160
2.89500000,1.73128110,-0.91378926
2.90000000,1.66717990,0.15064286
2.90500000,1.48678800,1.09773850
2.91000000,1.16952150,1.43729410
2.91500000,1.28180300,1.26493100
2.92000000,1.39351110,2.20877350
2.92500000,0.82294977,2.83890360
2.93000000,0.44474809,2.71987470
2.93500000,0.11372956,2.62369790
2.94000000,-0.28791421,2.00591540
2.94500000,-0.22991518,0.48680459
2.95000000,0.39710043,0.38126705
2.95500000,0.49023317,0.69837551
2.96000000,0.58518423,1.69499890
2.96500000,0.16205196,2.33118220
2.97000000,-0.09617166,2.23120680
2.97500000,-0.51036564,2.15127740
2.98000000,-0.55083031,0.83926951
2.98500000,-0.47128159,0.88409746
2.99000000,-0.54140358,0.33060858
2.99500000,-0.52647458,-0.14893821
3.00000000,-0.40367882,-0.01334599
3.00500000,-0.43557919,-0.42037300
3.01000000,-0.28882250,-1.24023540
3.01500000,0.48727765,-2.17000600
3.02000000,1.00487330,-0.22095621
3.02500000,0.51406392,0.52127484
3.03000000,0.71579245,0.50198498
3.03500000,0.53723897,1.87178610
3.04000000,0.02174816,2.12014950
3.04500000,-0.43317880,1.93591290
3.05000000,-0.41303904,1.01626950
3.05500000,-0.84019894,1.71523830
3.06000000,-1.04534600,0.34171383
3.06500000,-0.31787628,-1.36370740
3.07000000,-0.04725753,-0.37446002
3.07500000,0.01251006,0.31918640
3.08000000,-0.11689917,-0.05302498
3.08500000,0.06326422,0.18332624
3.09000000,0.08667950,0.20051096
3.09500000,0.53670869,0.30740383
3.10000000,0.22134492,1.14189450
3.10500000,0.17086439,1.23826160
3.11000000,-0.14484431,1.63694430
3.11500000,-0.45209038,1.50563540
3.12000000,-0.66400884,0.70454345
3.12500000,-0.39151459,0.65185807
3.13000000,-0.84058031,0.94492324
3.13500000,-0.84691079,0.28569567
3.14000000,-0.72986376,-0.22110698
3.14500000,-1.31279140,0.04189553
3.15000000,-0.95521863,-1.17236650
3.15500000,-0.46894406,-2.20031450
