case_label,path,strain_percent,k1_centered,k2_centered,k3_centered,omega3_reduced,num_occupied,slice_mode
Strain_a_Tension_0.5pct,a,0.5,-0.1551334299999998,-0.1314928899999999,0.0,-16.84862801717323,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.1512548059999998,-0.1314928899999999,0.0,-17.611553789244535,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.1473761819999998,-0.1314928899999999,0.0,-18.981489932825802,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.1434975579999998,-0.1314928899999999,0.0,-21.661335932713172,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.1396189339999998,-0.1314928899999999,0.0,-26.820300037017574,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.1357403099999998,-0.1314928899999999,0.0,-35.297528429496815,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.1318616859999998,-0.1314928899999999,0.0,-43.774580192376355,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.12798306199999981,-0.1314928899999999,0.0,-42.001235935569625,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.12410443799999982,-0.1314928899999999,0.0,-26.493710396482587,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.12022581399999982,-0.1314928899999999,0.0,-11.29867897496466,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.11634718999999982,-0.1314928899999999,0.0,-5.088051828934614,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.11246856599999983,-0.1314928899999999,0.0,-3.6264983209323205,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.10858994199999983,-0.1314928899999999,0.0,-3.4630112798472954,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.10471131799999983,-0.1314928899999999,0.0,-3.6459397534822715,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.10083269399999983,-0.1314928899999999,0.0,-3.9401040872459596,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.09695406999999984,-0.1314928899999999,0.0,-4.248745904203663,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.09307544599999984,-0.1314928899999999,0.0,-4.502160987885196,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.08919682199999984,-0.1314928899999999,0.0,-4.645387121142717,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.08531819799999985,-0.1314928899999999,0.0,-4.645917000365651,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.08143957399999985,-0.1314928899999999,0.0,-4.49998985698685,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.07756094999999985,-0.1314928899999999,0.0,-4.229995632535308,56,fixed_k3
Strain_a_Tension_0.5pct,a,0.5,-0.07368232599999985,-0.1314928899999999,0.0,-3.873978002162964,56,fixed_k3
