case_label,path,strain_percent,k1_centered,k2_centered,k3_centered,omega3_reduced,num_occupied,slice_mode
00_Optimized_Structure,a,0.0,-0.1551334299999998,-0.1314928899999999,0.0,-14.851947288807047,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.1512548059999998,-0.1314928899999999,0.0,-15.26042627795745,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.1473761819999998,-0.1314928899999999,0.0,-16.1120107782302,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.1434975579999998,-0.1314928899999999,0.0,-17.917981190314904,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.1396189339999998,-0.1314928899999999,0.0,-21.40920825002574,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.1357403099999998,-0.1314928899999999,0.0,-26.876933354006567,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.1318616859999998,-0.1314928899999999,0.0,-32.18770248357852,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.12798306199999981,-0.1314928899999999,0.0,-32.091158036550134,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.12410443799999982,-0.1314928899999999,0.0,-24.076801957693057,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.12022581399999982,-0.1314928899999999,0.0,-13.545502464099698,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.11634718999999982,-0.1314928899999999,0.0,-6.9074560590831116,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.11246856599999983,-0.1314928899999999,0.0,-4.411091797382143,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.10858994199999983,-0.1314928899999999,0.0,-3.8566578205614546,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.10471131799999983,-0.1314928899999999,0.0,-3.9683181731261623,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.10083269399999983,-0.1314928899999999,0.0,-4.265785993389863,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.09695406999999984,-0.1314928899999999,0.0,-4.565018064345814,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.09307544599999984,-0.1314928899999999,0.0,-4.777468477125481,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.08919682199999984,-0.1314928899999999,0.0,-4.8548170280078295,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.08531819799999985,-0.1314928899999999,0.0,-4.778717139087259,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.08143957399999985,-0.1314928899999999,0.0,-4.558251886200966,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.07756094999999985,-0.1314928899999999,0.0,-4.223402000875394,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.07368232599999985,-0.1314928899999999,0.0,-3.814331961011669,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.06980370199999986,-0.1314928899999999,0.0,-3.3706650319753972,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.06592507799999986,-0.1314928899999999,0.0,-2.924325415373853,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.06204645399999986,-0.1314928899999999,0.0,-2.4968787261104683,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.058167829999999865,-0.1314928899999999,0.0,-2.100226800843183,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.05428920599999987,-0.1314928899999999,0.0,-1.7389103529447167,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.05041058199999987,-0.1314928899999999,0.0,-1.412675663815984,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.04653195799999987,-0.1314928899999999,0.0,-1.11862233550544,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.042653333999999876,-0.1314928899999999,0.0,-0.852745754057791,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.03877470999999988,-0.1314928899999999,0.0,-0.6109380376239071,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.03489608599999988,-0.1314928899999999,0.0,-0.38958673438288827,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.031017461999999885,-0.1314928899999999,0.0,-0.18590073855194733,56,fixed_k3
00_Optimized_Structure,a,0.0,-0.027138837999999887,-0.1314928899999999,0.0,0.0019436378880124394,56,fixed_k3
