  0.15000000E+01  0.26128507E+01  0.15573690E+02
  0.15050000E+01 -0.42642640E+00  0.17431807E+02
  0.15100000E+01 -0.46271821E+01  0.18294687E+02
  0.15150000E+01 -0.88209304E+01  0.18363449E+02
  0.15200000E+01 -0.11375714E+02  0.17658543E+02
  0.15250000E+01 -0.12781289E+02  0.17325392E+02
  0.15300000E+01 -0.13933756E+02  0.16589262E+02
  0.15350000E+01 -0.15192691E+02  0.16378007E+02
  0.15400000E+01 -0.15772397E+02  0.15787846E+02
  0.15450000E+01 -0.16107598E+02  0.15531374E+02
  0.15500000E+01 -0.16365571E+02  0.15576828E+02
  0.15550000E+01 -0.17515144E+02  0.15618646E+02
  0.15600000E+01 -0.18507716E+02  0.15375955E+02
  0.15650000E+01 -0.19608083E+02  0.15092552E+02
  0.15700000E+01 -0.20448976E+02  0.14635474E+02
  0.15750000E+01 -0.20863428E+02  0.14116057E+02
  0.15800000E+01 -0.21135263E+02  0.13714585E+02
  0.15850000E+01 -0.21309385E+02  0.13466176E+02
  0.15900000E+01 -0.22000006E+02  0.13441687E+02
  0.15950000E+01 -0.23507444E+02  0.13365545E+02
  0.16000000E+01 -0.25600238E+02  0.13102070E+02
  0.16050000E+01 -0.29324736E+02  0.12301160E+02
  0.16100000E+01 -0.30792170E+02  0.10410617E+02
  0.16150000E+01 -0.30917263E+02  0.84738669E+01
  0.16200000E+01 -0.28583909E+02  0.67546367E+01
  0.16250000E+01 -0.25565823E+02  0.64403642E+01
  0.16300000E+01 -0.25125140E+02  0.66653701E+01
  0.16350000E+01 -0.25056431E+02  0.63733472E+01
  0.16400000E+01 -0.24929607E+02  0.65114883E+01
  0.16450000E+01 -0.26532417E+02  0.68731076E+01
  0.16500000E+01 -0.30308341E+02  0.58907645E+01
  0.16550000E+01 -0.30694659E+02  0.52788157E+01
  0.16600000E+01 -0.34050997E+02  0.48481664E+01
  0.16650000E+01 -0.39785325E+02  0.22997485E+01
  0.16700000E+01 -0.37660239E+02 -0.11012767E+01
  0.16750000E+01 -0.35562142E+02 -0.28402711E+01
  0.16800000E+01 -0.33177918E+02 -0.39614317E+01
  0.16850000E+01 -0.31438415E+02 -0.44986807E+01
  0.16900000E+01 -0.31393557E+02 -0.51933368E+01
  0.16950000E+01 -0.31145407E+02 -0.67725894E+01
  0.17000000E+01 -0.29437999E+02 -0.83920902E+01
  0.17050000E+01 -0.26244348E+02 -0.98351633E+01
