k1,k2,k3,kx,ky,kz,chirality
0.12122,0.89728,0.99145,0.2177,0.89845,0.45926,1
0.1217,0.10272,0.99052,0.21855,0.10285,0.45884,-1
0.12823,0.95403,0.99579,0.23029,0.95528,0.46127,-1
0.12827,0.04537,0.99225,0.23036,0.04543,0.45964,1
0.87175,0.95456,0.00764,1.56554,0.95581,0.00354,1
0.87176,0.04586,0.00425,1.56556,0.04592,0.00197,-1
0.87831,0.89724,0.00926,1.57733,0.89841,0.00429,-1
0.87874,0.10274,0.00846,1.57811,0.10287,0.00392,1
