case_dir,case_label,num_occupied,pair_n_1based,pair_m_1based,kx_cart,ky_cart,kz_cart,k1_frac,k2_frac,k3_frac,gap_eV,energy_raw_eV,energy_rel_ef_eV,fermi_energy_eV,source_find_dir,source_nodes_file,duplicate_count,duplicate_sources
Strain_a_Tension_0.5pct,Strain_a_Tension_0.5pct,56,56,57,0.22021599,-0.10670332,-0.00388893,0.12323701,0.89364868,0.99160467,2e-08,0.05442609,0.05442609,8.44329,node_search,Nodes.dat,1,Strain_a_Tension_0.5pct:N56:line4
Strain_a_Tension_0.5pct,Strain_a_Tension_0.5pct,56,56,57,0.22065925,0.10679045,-0.00262931,0.12348507,0.10643816,0.99432393,2e-08,0.05362817,0.05362817,8.44329,node_search,Nodes.dat,1,Strain_a_Tension_0.5pct:N56:line5
Strain_a_Tension_0.5pct,Strain_a_Tension_0.5pct,56,56,57,0.23240837,-0.05084914,-0.00152258,0.1300601,0.94931861,0.99671308,2e-08,-0.0004427,-0.0004427,8.44329,node_search,Nodes.dat,1,Strain_a_Tension_0.5pct:N56:line9
Strain_a_Tension_0.5pct,Strain_a_Tension_0.5pct,56,56,57,0.23258062,0.0500694,-0.00252182,0.13015649,0.04990423,0.99455598,3e-08,-0.00144385,-0.00144385,8.44329,node_search,Nodes.dat,1,Strain_a_Tension_0.5pct:N56:line8
Strain_a_Tension_0.5pct,Strain_a_Tension_0.5pct,56,56,57,-0.23253942,-0.05014327,0.00251636,0.86986657,0.95002215,0.00543225,2e-08,-0.00130432,-0.00130432,8.44329,node_search,Nodes.dat,1,Strain_a_Tension_0.5pct:N56:line10
Strain_a_Tension_0.5pct,Strain_a_Tension_0.5pct,56,56,57,-0.23243002,0.05074877,0.00146997,0.86992779,0.05058135,0.00317335,3e-08,-0.00052585,-0.00052585,8.44329,node_search,Nodes.dat,1,Strain_a_Tension_0.5pct:N56:line7
Strain_a_Tension_0.5pct,Strain_a_Tension_0.5pct,56,56,57,-0.22066065,-0.10684536,0.00247522,0.87651415,0.89350711,0.00534341,2e-08,0.05366035,0.05366035,8.44329,node_search,Nodes.dat,1,Strain_a_Tension_0.5pct:N56:line3
Strain_a_Tension_0.5pct,Strain_a_Tension_0.5pct,56,56,57,-0.22024332,0.10671479,0.00391312,0.8767477,0.10636275,0.00844756,2e-08,0.05440371,0.05440371,8.44329,node_search,Nodes.dat,1,Strain_a_Tension_0.5pct:N56:line6
