omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.5,3351.5652,-722.08428,2586.3615,-2842.9962,-5.15978382,21.0395914,-3.55099318,16.8477046
1.505,3335.4326,-728.48071,2606.7974,-2846.7555,-7.98885941,20.78736898,-6.39510959,18.87407902
1.51,3333.4347,-733.10922,2631.257,-2850.9303,-11.04128244,20.93344591,-9.89648956,19.48628609
1.515,3327.6676,-729.81073,2661.8535,-2853.7729,-14.09500993,20.95912696,-13.02632207,19.18044704
1.52,3307.3469,-728.48963,2692.8997,-2852.4825,-16.32374588,20.3715151,-14.99432412,18.5961049
1.525,3286.9805,-730.61981,2720.2421,-2850.1507,-17.25714227,19.56806065,-15.99616373,18.67190335
1.53,3276.477,-733.16673,2752.2801,-2844.3993,-18.65864842,19.90323357,-17.41345958,17.98865643
1.535,3256.1011,-733.31643,2765.2272,-2829.7123,-20.4025663,18.88123902,-18.3756597,17.36606498
1.54,3239.0411,-738.36198,2764.471,-2825.2174,-20.4419746,18.15046956,-18.2743354,18.19365244
1.545,3229.9108,-741.51735,2767.5272,-2824.8654,-20.79725577,17.42795885,-18.89639423,18.29662715
1.55,3212.0743,-741.32092,2772.8943,-2826.8351,-21.91839966,16.93721283,-20.24797234,18.38301117
1.555,3190.9253,-744.22443,2781.3552,-2828.9752,-21.71855536,16.21429945,-20.24324264,18.15049855
1.56,3168.4904,-748.07807,2790.2776,-2831.724,-22.23226008,16.219254,-20.97735392,18.243554
1.565,3145.4185,-752.44159,2802.7404,-2835.7039,-22.91148808,15.9453068,-22.11641992,18.1990792
1.57,3117.7189,-756.95367,2820.0042,-2839.5427,-23.6265924,15.83119713,-22.9197776,17.37208887
1.575,3085.3556,-763.34146,2840.2335,-2841.2876,-23.41401887,15.61101005,-22.65984513,16.88641395
1.58,3050.5755,-772.16584,2858.2325,-2840.9339,-23.71585741,15.50239414,-22.94886259,17.26335786
1.585,3013.7871,-783.4572,2870.6243,-2840.9197,-24.58742309,15.66427923,-24.25661891,17.24954677
1.59,2978.5548,-798.25407,2885.9889,-2841.8458,-26.27134418,15.95547615,-25.90702382,16.91693785
1.595,2947.6542,-814.84447,2899.9306,-2842.2726,-28.40734183,15.95957141,-27.68100617,16.31381259
1.6,2921.5329,-831.86842,2919.4594,-2842.7458,-30.66256746,15.27714606,-29.42893454,16.80960594
1.605,2899.0313,-846.71344,2938.4011,-2842.0621,-34.48534254,13.2566989,-33.66115146,16.4818311
1.61,2865.7904,-861.01336,2955.8348,-2837.2899,-35.83531377,10.9848267,-35.09832223,14.9296693
1.615,2835.6597,-881.74308,2972.6404,-2834.5977,-36.43234556,8.9329095,-36.24183244,12.8175785
1.62,2812.2252,-904.9965,2980.9791,-2831.185,-33.71440365,7.3353684,-34.13801035,10.9512376
1.625,2798.2397,-929.25099,2994.4062,-2831.958,-31.06944546,7.38382572,-31.63455054,9.37274948
1.63,2792.6287,-952.57825,3015.6048,-2831.8653,-29.45616288,7.71728875,-29.93858312,9.22156325
