omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.5,3439.4727,-827.06993,2606.5649,-2874.6961,-4.10652626,17.06250988,-5.59246074,17.25511012
1.505,3426.9933,-815.72882,2644.7788,-2875.977,-3.9130659,19.8750858,-6.0570311,17.5450342
1.51,3410.5908,-811.71824,2688.5779,-2876.1542,-6.93585315,22.6612702,-8.48705025,17.2637578
1.515,3398.5272,-807.50869,2740.1674,-2872.1426,-10.66261451,23.2854998,-10.71501549,17.3098442
1.52,3385.8358,-802.82023,2795.6958,-2854.3375,-12.82350656,22.9089759,-12.09702744,17.9986101
1.525,3368.683,-797.87875,2798.3788,-2833.8277,-15.75267599,22.9954796,-14.60195401,18.7622404
1.53,3349.1086,-793.4897,2800.3292,-2825.2737,-18.64186265,22.3997098,-17.21442935,19.1468842
1.535,3320.257,-792.53498,2804.8759,-2819.7603,-21.68829961,21.8052366,-20.14126839,18.7574214
1.54,3302.3859,-794.78949,2809.3713,-2815.962,-23.23196155,20.8594884,-21.42083845,18.1224556
1.545,3281.985,-793.81276,2816.7816,-2814.9959,-24.22300783,19.96512702,-22.24764617,18.14024898
1.55,3258.0552,-796.82565,2828.4454,-2814.9406,-26.1102002,19.36868618,-23.9919598,18.14206582
1.555,3233.4955,-801.00379,2845.877,-2813.5728,-28.521363,18.21312745,-26.396235,17.73251655
1.56,3211.1679,-806.53915,2853.465,-2808.508,-29.325325,16.94063513,-27.160797,16.52395487
1.565,3179.092,-810.48223,2858.3797,-2807.6584,-29.9570325,15.75694147,-27.7115015,16.14423053
1.57,3153.4235,-819.88327,2865.3782,-2808.8259,-30.3689773,14.6283179,-28.2413067,15.8451881
1.575,3129.3867,-829.68556,2876.227,-2810.6665,-30.9320238,13.87103881,-28.9226682,15.42222519
1.58,3106.1684,-841.10196,2890.4729,-2811.9679,-32.0276663,12.9019386,-29.8681297,15.1264194
1.585,3086.0653,-853.3333,2904.6379,-2812.6056,-32.9294908,11.3121366,-30.8622212,15.0867154
1.59,3069.1583,-864.88674,2922.2717,-2812.8337,-33.6685276,10.1831017,-31.5638544,14.5082403
1.595,3050.5055,-874.41095,2941.4583,-2812.0578,-34.73312032,7.9010575,-33.28962768,15.1025145
1.6,3021.9101,-884.48727,2958.4902,-2808.4453,-35.01305691,6.5275056,-34.70031909,13.7134224
1.605,2993.4916,-899.14428,2973.3795,-2804.903,-35.06001256,4.9401932,-35.85651544,12.3157666
1.61,2967.7333,-916.35418,2984.1255,-2802.2526,-33.269667,4.6678568,-35.493567,9.6814818
1.615,2947.956,-936.21861,2998.825,-2800.7869,-31.3879444,5.0493296,-33.6736076,7.536537
1.62,2937.1159,-956.1609,3017.0945,-2799.5743,-28.87037044,6.46591016,-30.78185956,5.97156304
1.625,2934.0572,-975.06118,3040.1147,-2797.293,-28.99298957,7.60667086,-30.23573643,7.26227734
1.63,2941.0788,-993.19106,3078.5226,-2794.5054,-32.02749947,7.45260386,-33.16494653,8.34192074
1.635,2954.5216,-1000.827,3121.4471,-2777.3507,-35.9337763,6.90688669,-37.1097377,7.19370611
1.64,2957.722,-1007.2407,3145.404,-2758.1745,-38.79516925,6.48005535,-39.66790475,5.03551845
1.645,2954.5596,-1013.4007,3160.3029,-2741.7608,-40.98255347,4.73343814,-41.43790453,4.10941846
1.65,2949.3898,-1016.2269,3179.4932,-2725.6254,-43.46101104,3.2411852,-44.07215496,2.9189456
1.655,2923.7595,-1018.0433,3197.2452,-2706.1251,-46.71113738,1.4583904,-47.26965062,1.1124616
1.66,2889.5867,-1027.0631,3198.3264,-2683.0378,-50.24785741,-1.96781412,-50.72000859,-2.17468788
1.665,2856.162,-1042.915,3189.8871,-2664.495,-47.27934274,-5.53040435,-47.82182326,-5.12672385
1.67,2833.7315,-1062.1659,3179.2382,-2646.3216,-43.87254473,-7.40121349,-44.62568727,-6.83420951
1.675,2819.1302,-1081.3097,3158.5068,-2626.3742,-40.96331373,-8.41348627,-41.95616827,-7.74614233
1.68,2805.4664,-1099.0647,3119.3002,-2608.1862,-39.66166476,-9.00805107,-40.94596324,-9.13582953
