state,lambda_nm,theta_deg,r_pp_real,r_pp_imag,abs_r_pp,arg_r_pp_deg,r_ss_real,r_ss_imag,abs_r_ss,arg_r_ss_deg,r_ps_real,r_ps_imag,abs_r_ps,arg_r_ps_deg,r_sp_real,r_sp_imag,abs_r_sp,arg_r_sp_deg
0%,400.0,70.5,0.2726898766956038,-0.05754368961400698,0.2786952548334054,-11.915876039462006,-0.8517052819577071,0.028305814574276365,0.8521755138780805,178.09651643948573,5.446934471820952e-05,0.00022389645477641557,0.00023042684734092647,76.32674917178637,1.6556400302255562e-05,0.00022284712338633788,0.00022346130491101638,85.75102319330239
0%,400.95,70.5,0.2720922872793416,-0.05935260946088776,0.2784904756840356,-12.305406631817,-0.8513699111851525,0.02865076369379717,0.8518518603205913,178.0725786168577,3.8779602105113166e-05,0.0002513128283864591,0.0002542872298229558,81.22798459260905,1.080014358491048e-05,0.0003042577192687375,0.00030444934362890087,87.96704273251252
0%,401.9,70.5,0.2714492889179533,-0.06087630490604213,0.278191734156635,-12.640239766049888,-0.8508457592028227,0.028975745086952297,0.8513390040147178,178.0495330389069,1.4690646721424025e-05,0.00028938526252593493,0.00028975790803410003,87.09387371997572,2.245434021149291e-05,0.00032938348288516077,0.00033014796105972316,86.10013382254868
0%,402.85,70.5,0.2710503436708991,-0.062498794003032536,0.27816252094044946,-12.984323594073594,-0.8501847406262951,0.02927976518406132,0.8506887784866064,178.02755317612525,-3.298232290645775e-05,0.0003436456336357079,0.00034522478929125734,95.48232530161124,-3.188059514330775e-07,0.0003662510917672566,0.0003662512305207207,90.04987351928213
0%,403.8,70.5,0.2700200002177953,-0.06423619338645266,0.27755556030892253,-13.3815968695132,-0.8495359031142361,0.02943670810604037,0.8500457461009031,178.01547572737007,-1.4184223684711746e-05,0.0004750937975517529,0.00047530548984172684,91.71009349767951,3.843425286273555e-05,0.00036992107332276995,0.0003719123448897426,84.06833599406816
0%,404.75,70.5,0.26825794176968754,-0.06590058982701023,0.2762339788332654,-13.80203839074423,-0.8491495823158937,0.029363420830998774,0.8496571212142902,178.01951267737178,8.431997226097079e-05,0.0005014023430960803,0.000508442885075925,80.45398713146307,9.078195117443746e-05,0.0004593787904280067,0.0004682629984892427,78.82130478880252
0%,405.7,70.5,0.26627652717326655,-0.06708628905926763,0.274597449192812,-14.140928487080966,-0.8490297487672138,0.029177566863074246,0.8495309557042448,178.03176061900172,0.00014052486481638352,0.0005238235812461248,0.0005423452607898205,74.98298309838746,0.00015938933180041382,0.000500699445108155,0.0005254568425888056,72.34199215154858
0%,406.65,70.5,0.26504835263840465,-0.06795277741835509,0.27362055696749216,-14.379703206464894,-0.8491974126418984,0.02892837235052997,0.8496900001556718,178.048942542031,0.00020355947638427344,0.0005696734572668508,0.0006049498395240767,70.33683999674103,0.00022747048523254603,0.0005079949229535637,0.0005565982962590948,65.87807060878811
0%,407.6,70.5,0.26401378338022524,-0.06885161242797927,0.272843952376946,-14.61649546169037,-0.849533508647707,0.028764110951940015,0.8500203270476179,178.0607794880903,0.00025109770835532875,0.0005775962805172268,0.0006298154669493539,66.50402970741241,0.00025104428036625605,0.0005243995925843215,0.0005813932949451806,64.41829987933211
0%,408.55,70.5,0.2631239885360184,-0.06970942078640839,0.27220146342273643,-14.838475898953709,-0.8498845589805535,0.02873742969530998,0.8503702743270503,178.06337657077725,0.00033505868800646766,0.000591414219621298,0.0006797316408545981,60.4667939268213,0.0003353996648231343,0.000574414900587957,0.0006651657035513358,59.71943321169706
0%,409.5,70.5,0.2620750276718256,-0.07055070667244281,0.27140508901118493,-15.066866615868847,-0.8498880556149605,0.02889667041529779,0.8503791652187092,178.0526615393188,0.0003959120621207644,0.0006227919701308389,0.0007379811643884739,57.55566957000792,0.00040275696784631675,0.0005719495351295957,0.0006995280165109326,54.84745602461177
0%,410.45,70.5,0.2611670470600187,-0.07118942562304845,0.2706956977688962,-15.247369023017425,-0.8498127717095684,0.02896598025416447,0.8503062830373439,178.04782158583913,0.0004848908416761802,0.0006348230572327429,0.0007988237867863981,52.62666838893023,0.00047956657744581264,0.0006001843416032069,0.0007682482320895802,51.3740213899432
0%,411.4,70.5,0.26076740987971786,-0.0717177200482141,0.27044976136852256,-15.377616251773178,-0.8498786028789777,0.0289578845250111,0.8503718002777885,178.04851783566863,0.0005799562208937577,0.000627409437545084,0.0008543955878128162,47.250743458857315,0.0005822957588364652,0.0006206455440785739,0.000851040094321956,46.82597180472778
0%,412.35,70.5,0.26065709929579367,-0.07242414017085806,0.27053166079552565,-15.528067853641682,-0.8500236909746115,0.028989271507743452,0.850517873463369,178.0467374891302,0.0006599830171762764,0.0006157090917549376,0.0009025936342733597,43.01230147625557,0.0006651497989661446,0.0005773771064109585,0.0008807886114569113,40.95931103441839
0%,413.3,70.5,0.2602745695460262,-0.07329048648813745,0.2703966474681908,-15.726641986935435,-0.8501007006991876,0.02905653897652272,0.8505971336576111,178.0423858267,0.0006583412201647342,0.0005443552106605425,0.0008542457243330367,39.585942520799186,0.0006602528244280642,0.0005497920567541113,0.0008591886276221025,39.784124856181755
0%,414.25,70.5,0.25981880749297115,-0.07413888747656402,0.27018953970006354,-15.926013806695915,-0.8502278959543709,0.029077011013569475,0.8507249541587926,178.0413004865428,0.000626646474748401,0.0005361234916563388,0.0008246903677262047,40.54843633615766,0.0006543764307895464,0.000494115169259845,0.0008199745811094093,37.05620425591158
