state,lambda_nm,scenario,theta_deg,abs_r_pp,arg_r_pp_deg,abs_r_ss,arg_r_ss_deg,abs_r_ps,arg_r_ps_deg,abs_r_sp,arg_r_sp_deg
a +0.5%,400.0,baseline,70.5,0.2786952548334054,-11.915876039462006,0.8521755138780805,178.09651643948573,0.00023042684734092647,76.32674917178637,0.00022346130491101638,85.75102319330239
a +0.5%,400.0,full,70.5,0.2755379437474465,-11.382217481629405,0.8512039781322449,178.1293958181299,0.00038069995141477755,43.43433983341503,0.0003828731520092082,37.3704736744358
a +0.5%,400.0,replace_xx,70.5,0.27553747749672397,-11.382393105951076,0.8521755137824348,178.09651646521664,0.00023116014722301045,76.06389972745788,0.00022417243796878515,85.48817374897392
a +0.5%,400.0,replace_xy,70.5,0.27869533348233283,-11.915788676889742,0.8521755358384262,178.09652226796507,0.00023042678553400505,76.32671891217048,0.0003795417829129079,37.89381051163659
a +0.5%,400.0,replace_yx,70.5,0.2786952161923611,-11.915809412670304,0.852175510261452,178.09652097381232,0.000377387564233607,43.957681660965434,0.00022346128817085073,85.75099792403608
a +0.5%,400.0,replace_yy,70.5,0.27869525346664653,-11.91587561971436,0.8512038715540116,178.12938441510983,0.00023171214588163283,76.06628516094126,0.00022470775033359125,85.49055918245729
a +0.5%,400.0,nonlinear_residual,70.5,4.3097302163958436e-07,1.2032364475815478,,,,,,
a +0.5%,400.0,nonlinear_residual,70.5,,,8.949161443576831e-08,-172.28268482610002,,,,
a +0.5%,400.0,nonlinear_residual,70.5,,,,,2.8084826375026864e-06,-36.53363031558216,,
a +0.5%,400.0,nonlinear_residual,70.5,,,,,,,3.602389504194863e-06,-44.36849284790707
a +0.5%,400.95,baseline,70.5,0.2784904756840356,-12.305406631817,0.8518518603205913,178.0725786168577,0.0002542872298229558,81.22798459260905,0.00030444934362890087,87.96704273251252
a +0.5%,400.95,full,70.5,0.2759149106825485,-11.60772875728953,0.8515049843239497,178.12417241772408,0.00033369174814704334,44.12336949291679,0.0003379241719778687,39.75544749813971
a +0.5%,400.95,replace_xx,70.5,0.27591433977188656,-11.60786281059783,0.8518518602433697,178.07257865797942,0.00025481441825303015,80.9171278920213,0.0003050805281819617,87.65618603192478
a +0.5%,400.95,replace_xy,70.5,0.27849067205240374,-12.305326197096706,0.8518519067479685,178.0725838557246,0.0002542871247024944,81.2279597515084,0.000336845670438334,40.37811670865054
a +0.5%,400.95,replace_yx,70.5,0.2784905146117543,-12.30532500425911,0.8518518742881197,178.0725840943522,0.0003326268224102657,44.746034663942524,0.00030444927984192875,87.96701385192677
a +0.5%,400.95,replace_yy,70.5,0.27849047557855383,-12.305406047122887,0.8515048583032313,178.12416392179952,0.0002545737634471941,80.91618332953367,0.00030479240047012605,87.65524146943714
a +0.5%,400.95,nonlinear_residual,70.5,3.557219631289913e-07,-35.150435736029706,,,,,,
a +0.5%,400.95,nonlinear_residual,70.5,,,7.367744668115922e-08,150.97376776187502,,,,
a +0.5%,400.95,nonlinear_residual,70.5,,,,,2.2569399896926485e-06,-78.84461174770135,,
a +0.5%,400.95,nonlinear_residual,70.5,,,,,,,2.9631620949924984e-06,-93.1091321242603
a +0.5%,401.9,baseline,70.5,0.278191734156635,-12.640239766049888,0.8513390040147178,178.0495330389069,0.00028975790803410003,87.09387371997572,0.00033014796105972316,86.10013382254868
a +0.5%,401.9,full,70.5,0.27617943310257215,-11.832499859511195,0.8516803334817474,178.10462687346677,0.0002737942490165008,55.55775456585285,0.00026372883507877373,42.79707794030858
a +0.5%,401.9,replace_xx,70.5,0.2761788848009748,-11.832582291152752,0.85133900400634,178.04953309184629,0.0002900727150612048,86.75527337730192,0.0003305066497969212,85.76153347987488
a +0.5%,401.9,replace_xy,70.5,0.27819202292522127,-12.640174453178012,0.8513390689862421,178.04953714601226,0.00028975776121162414,87.09385678056574,0.0002643366941758318,43.40875610008947
a +0.5%,401.9,replace_yx,70.5,0.27819187931511224,-12.64017909618838,0.8513390388652217,178.04953698828876,0.0002744253614914032,56.16943104263047,0.000330147858697162,86.10011520013543
a +0.5%,401.9,replace_yy,70.5,0.2781917365533336,-12.64023919218393,0.8516802155742692,178.1046218236671,0.000288777953033661,86.8207966454258,0.0003290314077703918,85.82705674799875
a +0.5%,401.9,nonlinear_residual,70.5,2.3489007801443344e-07,-75.7265213314258,,,,,,
a +0.5%,401.9,nonlinear_residual,70.5,,,4.877039557912602e-08,109.73550734579604,,,,
a +0.5%,401.9,nonlinear_residual,70.5,,,,,1.6588223810246521e-06,-126.4075676903287,,
a +0.5%,401.9,nonlinear_residual,70.5,,,,,,,2.464029311299751e-06,-143.42676659721943
a +0.5%,402.85,baseline,70.5,0.27816252094044946,-12.984323594073594,0.8506887784866064,178.02755317612525,0.00034522478929125734,95.48232530161124,0.0003662512305207207,90.04987351928213
a +0.5%,402.85,full,70.5,0.2764657659009235,-12.130557547563992,0.851532476556057,178.06123067531735,0.00024467696921609365,77.90800636333819,0.00017735747920510263,69.03473839344797
a +0.5%,402.85,replace_xx,70.5,0.2764651840231125,-12.130606535412316,0.8506887783492885,178.02755324658872,0.0003454102412437656,95.13395001196848,0.00036644797770665744,89.70149822963937
a +0.5%,402.85,replace_xy,70.5,0.2781629493636086,-12.98428262283454,0.850688871065992,178.0275554518936,0.0003452245680800837,95.48232078081098,0.00017835387254086396,69.49543302959542
a +0.5%,402.85,replace_yx,70.5,0.2781627602416769,-12.98428105324914,0.8506888318826945,178.0275557834697,0.0002460516228166779,78.36869588314596,0.00036625108476434165,90.04986388214218
a +0.5%,402.85,replace_yy,70.5,0.27816252575908135,-12.984323128895639,0.8515323541480103,178.06122787918954,0.00034311190724327996,95.37000603028959,0.00036400966017577087,89.93755424796048
