k1,k2,k3,kx,ky,kz,chirality
0.12235,0.89619,0.99108,0.21928,0.89915,0.45909,1
0.12274,0.10395,0.99262,0.21998,0.1043,0.45981,-1
0.12935,0.95233,0.9951,0.23183,0.95548,0.46095,-1
0.12938,0.04707,0.99473,0.23188,0.04723,0.46078,1
0.87064,0.95285,0.00529,1.56043,0.95601,0.00245,1
0.87064,0.04758,0.00479,1.56044,0.04773,0.00222,-1
0.87728,0.89602,0.007,1.57233,0.89899,0.00324,-1
0.87764,0.10379,0.009,1.57297,0.10413,0.00417,1
