analysis,outer_fold,training_strains_percent,held_out_strain_percent,fixed_lambda_nm,fixed_gamma2_deg,fixed_angles_deg,feature_dimension,standard_deviation_ddof,standardization_mean_um,standardization_std_um,ridge_alpha,ridge_coefficients,ridge_intercept,test_features_um,predicted_strain_percent,signed_error_percent,absolute_error_percent,training_only_standardization,training_only_ridge_fit,scope
model_only_nested_check_fixed_lambda_gamma_angles,1,0.1;0.2;0.3;0.4;0.5,0.0,700.0,82.0,70.3;70.4;70.5;70.6;70.7,5,0,"[21.7620871978, 13.043765795714, 4.234116650504, -4.634341371236001, -13.527652965496]","[10.328985497968374, 10.300785557799802, 10.243202525780374, 10.156052571614573, 10.039571896839744]",0.001,"[-0.13173039089743452, -0.05331461356943603, 0.026416999532441927, 0.10756459616472386, 0.19023219015840145]",0.3,"[1.15086617495, -7.73998780341, -16.644160895, -25.5271158164, -34.3538705171]",0.0006928140803322824,0.0006928140803322824,0.0006928140803322824,yes,yes,fixed preselected lambda/gamma/angles; training-only scaler and ridge fit
model_only_nested_check_fixed_lambda_gamma_angles,2,0.0;0.2;0.3;0.4;0.5,0.1,700.0,82.0,70.3;70.4;70.5;70.6;70.7,5,0,"[19.851723967109997, 11.191045920334, 2.4462574256560004, -6.350544264696001, -15.165923094715998]","[12.788309229196866, 12.74847850702992, 12.66488833564044, 12.537374905404691, 12.366380635129564]",0.001,"[-0.16051851225140665, -0.0649599814432516, 0.03222340026391934, 0.1313562210718867, 0.23278444976625404]",0.2800000000000001,"[10.7026823284, 1.52361157349, -7.70486477076, -16.9461013491, -26.162519871]",0.10026028270471884,0.0002602827047188394,0.0002602827047188394,yes,yes,fixed preselected lambda/gamma/angles; training-only scaler and ridge fit
model_only_nested_check_fixed_lambda_gamma_angles,3,0.0;0.1;0.3;0.4;0.5,0.2,700.0,82.0,70.3;70.4;70.5;70.6;70.7,5,0,"[19.52729665987, 10.720455266472, 1.8307901309199999, -7.108458601516, -16.062716703596]","[12.994065274609419, 13.049665871741267, 13.06223426686372, 13.030741111259042, 12.954740165983386]",0.001,"[-0.16581160673364823, -0.06482406588999418, 0.03635773503088765, 0.13799455382993697, 0.24035343967251704]",0.26,"[12.3248188646, 3.8765648428, -4.62752829708, -13.156529665, -21.6785518266]",0.19968739423972037,-0.0003126057602796384,0.0003126057602796384,yes,yes,fixed preselected lambda/gamma/angles; training-only scaler and ridge fit
model_only_nested_check_fixed_lambda_gamma_angles,4,0.0;0.1;0.2;0.4;0.5,0.3,700.0,82.0,70.3;70.4;70.5;70.6;70.7,5,0,"[18.34915439653, 9.508678360535999, 0.5895484570519998, -8.374700788578002, -17.349248148736002]","[13.322488663442503, 13.344283287979701, 13.31955504649594, 13.247514623986943, 13.1279934020806]",0.001,"[-0.16001285700738618, -0.06217654163456371, 0.03614661977492885, 0.13523819706855877, 0.23539439013027977]",0.23999999999999994,"[18.2155301813, 9.93544937248, 1.57868007226, -6.82531872969, -15.2458946009]",0.29583235144024406,-0.004167648559755932,0.004167648559755932,yes,yes,fixed preselected lambda/gamma/angles; training-only scaler and ridge fit
model_only_nested_check_fixed_lambda_gamma_angles,5,0.0;0.1;0.2;0.3;0.5,0.4,700.0,82.0,70.3;70.4;70.5;70.6;70.7,5,0,"[15.87506216809, 7.155533782712, -1.6328795580560005, -10.457423623598, -19.284199704222]","[11.89214477390242, 11.951470715336356, 11.974092087422731, 11.958945207635695, 11.90546980149717]",0.001,"[-0.15055823185209888, -0.05825626654111551, 0.03395693331896105, 0.12627641947925602, 0.21890338269030005]",0.22000000000000003,"[30.5859913235, 21.7011722616, 12.6908201478, 3.58829544541, -5.57113682347]",0.4039241299797571,0.003924129979757052,0.003924129979757052,yes,yes,fixed preselected lambda/gamma/angles; training-only scaler and ridge fit
model_only_nested_check_fixed_lambda_gamma_angles,6,0.0;0.1;0.2;0.3;0.4,0.5,700.0,82.0,70.3;70.4;70.5;70.6;70.7,5,0,"[14.595977774549999, 5.859362049392, -2.941410748556, -11.773354022956003, -20.602394727814]","[9.694004653101528, 9.749358666453046, 9.778514324889802, 9.780590788700128, 9.755070475286269]",0.001,"[-0.1278504436059949, -0.050022013351824254, 0.027765506166218264, 0.10561304268778313, 0.1836225643671157]",0.19999999999999998,"[36.9814132912, 28.1820309282, 19.2334761003, 10.1679474422, 1.01983829449]",0.49712715481106273,-0.0028728451889372675,0.0028728451889372675,yes,yes,fixed preselected lambda/gamma/angles; training-only scaler and ridge fit
