protocol,axis,lambda_nm,gamma_2_deg,angles_deg,feature_count,loocv_rmse_percent,prediction_r2,feature_condition_number,feature_correlation_status,status,ridge_coefficient_fold_stability
single 70.4 degree feature,a,700.0,82.0,70.4,1,0.03701651304518724,0.9530209518391595,1.0,one feature,computed from retained trace,
current selected five-angle feature,a,700.0,82.0,70.3;70.4;70.5;70.6;70.7,5,0.0026352353115486255,0.9997619040520949,367474361.5174846,reported in v24_feature_correlation_matrix.csv,current selected candidate; rank 1 by RMSE among retained a/700-nm gamma scans,"intercept:mean=0.25,sd=0.0341565,cv=0.136626; theta_70.3:mean=-0.149414,sd=0.0146261,cv=0.0978899; theta_70.4:mean=-0.0589256,sd=0.00567126,cv=0.0962445; theta_70.5:mean=0.0321445,sd=0.00385226,cv=0.119842; theta_70.6:mean=0.124007,sd=0.0128429,cv=0.103566; theta_70.7:mean=0.216882,sd=0.0222373,cv=0.102532"
wider symmetric five-angle window,a,700.0,82.0,candidate example 70.2–70.6,5,not computable,not computable,not computable,retained raw cube unavailable,unresolved; no reconstruction or extrapolation performed,
larger-spacing five-angle window,a,700.0,82.0,candidate example 70.1;70.3;70.5;70.7;70.9,5,not computable,not computable,not computable,retained raw cube unavailable,unresolved; no reconstruction or extrapolation performed,
