omega_eV,Re,Im
1.50000000,2569.45050000,-2830.04260000
1.50500000,2594.08150000,-2833.19960000
1.51000000,2621.52000000,-2834.02410000
1.51500000,2644.32210000,-2831.55920000
1.52000000,2662.59010000,-2829.50950000
1.52500000,2674.46420000,-2827.98020000
1.53000000,2689.39720000,-2828.75480000
1.53500000,2704.03550000,-2828.71210000
1.54000000,2715.83910000,-2828.49030000
1.54500000,2727.86940000,-2827.82680000
1.55000000,2735.22770000,-2830.20360000
1.55500000,2745.18270000,-2832.06660000
1.56000000,2753.07690000,-2835.54280000
1.56500000,2764.04480000,-2840.61780000
1.57000000,2778.92070000,-2845.93380000
1.57500000,2798.37810000,-2850.23110000
1.58000000,2819.18420000,-2851.30310000
1.58500000,2833.13700000,-2850.95300000
1.59000000,2845.13910000,-2852.66460000
1.59500000,2859.15170000,-2854.69270000
1.60000000,2874.18420000,-2856.08240000
1.60500000,2891.69300000,-2858.12670000
1.61000000,2915.54870000,-2858.52330000
1.61500000,2936.25390000,-2856.59490000
1.62000000,2957.26000000,-2854.47560000
1.62500000,2987.22150000,-2853.26520000
1.63000000,3016.34020000,-2841.72520000
1.63500000,3042.55470000,-2833.34080000
1.64000000,3066.90900000,-2816.33040000
1.64500000,3073.27650000,-2806.59600000
1.65000000,3083.98490000,-2795.34260000
1.65500000,3094.25550000,-2787.62260000
1.66000000,3106.51240000,-2779.84220000
1.66500000,3116.74720000,-2771.61070000
1.67000000,3129.63710000,-2764.57580000
1.67500000,3150.42910000,-2756.74110000
1.68000000,3187.15820000,-2743.36010000
1.68500000,3212.00180000,-2708.95290000
1.69000000,3192.90300000,-2672.93340000
1.69500000,3143.10780000,-2644.71850000
1.70000000,3074.17800000,-2626.28090000
1.70500000,3005.89590000,-2621.36530000
1.71000000,2949.62760000,-2627.42710000
1.71500000,2904.06060000,-2635.80710000
1.72000000,2858.91060000,-2648.90230000
1.72500000,2823.78390000,-2667.19640000
1.73000000,2801.50690000,-2687.91150000
1.73500000,2793.83380000,-2708.24620000
1.74000000,2794.31500000,-2720.16070000
1.74500000,2770.64150000,-2728.32340000
1.75000000,2748.30190000,-2747.82320000
1.75500000,2733.83760000,-2768.67720000
1.76000000,2724.10310000,-2790.23080000
1.76500000,2718.55170000,-2811.87800000
1.77000000,2716.97730000,-2832.94870000
1.77500000,2717.28660000,-2852.49530000
1.78000000,2715.57790000,-2872.43430000
1.78500000,2717.41030000,-2892.90710000
1.79000000,2721.97080000,-2912.22020000
1.79500000,2729.81840000,-2928.83130000
1.80000000,2723.38620000,-2943.91870000
1.80500000,2717.09870000,-2964.45610000
1.81000000,2715.13630000,-2986.94460000
1.81500000,2715.54940000,-3009.40410000
1.82000000,2718.96090000,-3034.15270000
1.82500000,2727.21660000,-3058.92100000
1.83000000,2739.23670000,-3084.14110000
1.83500000,2755.64250000,-3109.13610000
1.84000000,2778.05310000,-3133.59170000
1.84500000,2801.01010000,-3153.32030000
1.85000000,2815.87990000,-3175.53580000
1.85500000,2835.25360000,-3197.04060000
1.86000000,2859.45240000,-3221.65000000
1.86500000,2889.30190000,-3245.29510000
1.87000000,2928.10480000,-3266.24270000
1.87500000,2960.45150000,-3280.89350000
1.88000000,2983.00260000,-3298.86430000
1.88500000,3012.81310000,-3320.15180000
1.89000000,3053.08680000,-3339.97320000
1.89500000,3093.72680000,-3356.22540000
1.90000000,3136.20860000,-3370.81730000
1.90500000,3179.33670000,-3381.51940000
1.91000000,3212.64980000,-3389.88200000
1.91500000,3241.23380000,-3398.72110000
1.92000000,3267.41500000,-3410.04460000
1.92500000,3301.00770000,-3423.73020000
1.93000000,3345.03590000,-3434.98730000
1.93500000,3397.06230000,-3441.80750000
1.94000000,3451.13300000,-3445.89370000
1.94500000,3509.52770000,-3448.11370000
1.95000000,3572.39440000,-3439.35660000
1.95500000,3606.53640000,-3424.06610000
1.96000000,3618.85460000,-3414.23790000
1.96500000,3634.04150000,-3409.40670000
1.97000000,3648.75110000,-3406.21860000
1.97500000,3656.56550000,-3402.74890000
1.98000000,3661.93670000,-3404.23120000
1.98500000,3671.95200000,-3407.30940000
1.99000000,3680.38190000,-3409.68520000
1.99500000,3685.36930000,-3415.46030000
2.00000000,3693.52800000,-3423.37560000
2.00500000,3704.35600000,-3433.01080000
2.01000000,3718.79760000,-3443.84190000
2.01500000,3737.11900000,-3454.63690000
2.02000000,3759.35900000,-3466.34150000
2.02500000,3786.31620000,-3476.96970000
2.03000000,3811.83000000,-3485.46070000
2.03500000,3838.04480000,-3494.98130000
2.04000000,3868.73940000,-3504.43730000
2.04500000,3905.37690000,-3512.73020000
2.05000000,3948.50340000,-3517.42890000
2.05500000,3987.43700000,-3515.41220000
2.06000000,4016.12450000,-3510.61500000
2.06500000,4029.06750000,-3505.43370000
2.07000000,4033.95070000,-3506.42920000
2.07500000,4042.63390000,-3511.32920000
2.08000000,4057.26610000,-3517.56830000
2.08500000,4077.86640000,-3523.34900000
2.09000000,4097.77510000,-3526.41050000
2.09500000,4113.65410000,-3532.89390000
2.10000000,4137.18370000,-3540.85410000
2.10500000,4166.70840000,-3548.81330000
2.11000000,4204.74560000,-3555.89880000
2.11500000,4251.32870000,-3558.33470000
2.12000000,4288.32140000,-3555.79940000
2.12500000,4317.49570000,-3552.07990000
2.13000000,4340.06670000,-3549.89650000
2.13500000,4362.55750000,-3550.63510000
2.14000000,4390.70810000,-3552.13510000
2.14500000,4425.85250000,-3551.42880000
2.15000000,4456.11070000,-3546.17170000
2.15500000,4478.43430000,-3542.35650000
2.16000000,4502.99830000,-3540.12640000
2.16500000,4532.23360000,-3537.58890000
2.17000000,4563.41570000,-3532.37330000
2.17500000,4590.62070000,-3524.36340000
2.18000000,4609.80340000,-3515.38270000
2.18500000,4629.11000000,-3507.08150000
2.19000000,4647.28140000,-3496.37270000
2.19500000,4653.42880000,-3481.07440000
2.20000000,4650.65150000,-3472.96200000
2.20500000,4657.68480000,-3464.25590000
2.21000000,4647.98430000,-3448.91740000
2.21500000,4612.38920000,-3444.87630000
2.22000000,4590.62140000,-3451.53470000
