omega_eV,Re,Im
1.50000000,3307.50560000,-690.83602000
1.50500000,3291.45790000,-693.14657000
1.51000000,3276.93200000,-694.24864000
1.51500000,3258.69030000,-694.07001000
1.52000000,3238.64090000,-695.35104000
1.52500000,3214.98460000,-696.02510000
1.53000000,3188.05330000,-698.31876000
1.53500000,3161.85240000,-705.23105000
1.54000000,3144.07450000,-713.35322000
1.54500000,3131.14310000,-719.95985000
1.55000000,3114.84260000,-723.90537000
1.55500000,3091.88920000,-727.96057000
1.56000000,3064.83640000,-733.69055000
1.56500000,3033.77140000,-741.11847000
1.57000000,2999.80020000,-751.00358000
1.57500000,2966.24010000,-763.01241000
1.58000000,2931.97070000,-775.80878000
1.58500000,2897.15560000,-791.26811000
1.59000000,2866.23300000,-808.44323000
1.59500000,2835.86600000,-826.04226000
1.60000000,2805.12600000,-846.00728000
1.60500000,2780.20800000,-867.85096000
1.61000000,2759.84230000,-889.37682000
1.61500000,2742.78690000,-911.02352000
1.62000000,2724.25000000,-932.98036000
1.62500000,2717.18790000,-957.97170000
1.63000000,2719.58880000,-977.99758000
1.63500000,2724.04940000,-995.83972000
1.64000000,2720.90920000,-1006.11740000
1.64500000,2704.50300000,-1024.40280000
1.65000000,2697.34530000,-1043.87580000
1.65500000,2698.26230000,-1064.74730000
1.66000000,2710.59130000,-1082.03600000
1.66500000,2715.61230000,-1090.38790000
1.67000000,2706.98260000,-1094.30510000
1.67500000,2675.75080000,-1110.59250000
1.68000000,2659.82010000,-1130.66760000
1.68500000,2648.90330000,-1150.68390000
1.69000000,2638.50500000,-1169.54280000
1.69500000,2628.45630000,-1188.95030000
1.70000000,2620.98740000,-1206.73150000
1.70500000,2611.72060000,-1222.75460000
1.71000000,2590.86570000,-1237.32320000
1.71500000,2568.38260000,-1256.71250000
1.72000000,2543.93200000,-1278.86010000
1.72500000,2520.50710000,-1306.56140000
1.73000000,2507.85660000,-1337.23730000
1.73500000,2504.10740000,-1368.16450000
1.74000000,2506.24040000,-1398.13920000
1.74500000,2513.90030000,-1427.51180000
1.75000000,2527.65710000,-1454.91830000
1.75500000,2543.21900000,-1476.76020000
1.76000000,2552.87110000,-1499.91740000
1.76500000,2561.53740000,-1520.38360000
1.77000000,2565.57940000,-1542.52310000
1.77500000,2571.93200000,-1565.97690000
1.78000000,2580.03160000,-1589.34180000
1.78500000,2589.38100000,-1612.51100000
1.79000000,2597.03870000,-1635.48350000
1.79500000,2607.65530000,-1659.64040000
1.80000000,2620.27430000,-1683.59580000
1.80500000,2639.30760000,-1705.61570000
1.81000000,2650.44900000,-1726.67900000
1.81500000,2666.38770000,-1747.54270000
1.82000000,2683.84910000,-1768.44770000
1.82500000,2703.76720000,-1785.65150000
1.83000000,2713.70130000,-1804.72360000
1.83500000,2724.77570000,-1820.93390000
1.84000000,2732.89610000,-1840.73350000
1.84500000,2741.40710000,-1860.80940000
1.85000000,2750.94830000,-1881.43260000
1.85500000,2762.49420000,-1903.30750000
1.86000000,2779.82520000,-1925.39470000
1.86500000,2792.26890000,-1942.10750000
1.87000000,2805.09240000,-1962.64060000
1.87500000,2815.06770000,-1982.36190000
1.88000000,2825.90890000,-2003.14780000
1.88500000,2837.03420000,-2023.99960000
1.89000000,2847.58200000,-2045.58860000
1.89500000,2861.56370000,-2066.51060000
1.90000000,2872.29580000,-2087.09400000
1.90500000,2881.99900000,-2109.10610000
1.91000000,2894.14620000,-2132.03620000
1.91500000,2907.62580000,-2155.20410000
1.92000000,2922.95470000,-2178.70740000
1.92500000,2941.03210000,-2202.23780000
1.93000000,2961.60940000,-2225.26130000
1.93500000,2984.36350000,-2247.65520000
1.94000000,3009.43610000,-2269.58760000
1.94500000,3038.34500000,-2290.57270000
1.95000000,3070.59490000,-2308.30590000
1.95500000,3096.82470000,-2323.01530000
1.96000000,3116.01600000,-2338.51340000
1.96500000,3134.30180000,-2356.67140000
1.97000000,3157.07720000,-2375.75900000
1.97500000,3182.10520000,-2394.56840000
1.98000000,3208.48430000,-2413.47230000
1.98500000,3237.36280000,-2431.81770000
1.99000000,3267.90690000,-2448.90800000
1.99500000,3297.18850000,-2464.48020000
2.00000000,3324.87210000,-2480.14850000
2.00500000,3353.19050000,-2496.24070000
2.01000000,3383.50420000,-2512.26830000
2.01500000,3416.11340000,-2527.70930000
2.02000000,3451.11530000,-2542.44760000
2.02500000,3489.50080000,-2555.93130000
2.03000000,3531.37170000,-2566.75970000
2.03500000,3571.78120000,-2573.57090000
2.04000000,3605.34240000,-2580.56390000
2.04500000,3642.05990000,-2589.06790000
2.05000000,3688.31020000,-2595.93520000
2.05500000,3735.13170000,-2597.00330000
2.06000000,3788.32920000,-2596.52990000
2.06500000,3851.42720000,-2586.62900000
2.07000000,3901.86170000,-2569.52290000
2.07500000,3967.20120000,-2541.45790000
2.08000000,3990.07870000,-2491.48600000
2.08500000,3947.95180000,-2450.21120000
2.09000000,3886.66030000,-2431.32060000
2.09500000,3832.99590000,-2423.86980000
2.10000000,3785.98360000,-2421.63090000
2.10500000,3729.89550000,-2423.19070000
2.11000000,3683.60880000,-2435.59820000
2.11500000,3648.71460000,-2454.15860000
2.12000000,3627.70450000,-2475.04460000
2.12500000,3616.41780000,-2496.14570000
2.13000000,3611.08940000,-2517.11610000
2.13500000,3613.41850000,-2538.71020000
2.14000000,3626.09800000,-2558.54360000
2.14500000,3642.86110000,-2573.54650000
2.15000000,3647.80860000,-2584.80540000
2.15500000,3646.37660000,-2600.32410000
2.16000000,3648.86410000,-2618.43250000
2.16500000,3654.49290000,-2635.88360000
2.17000000,3659.45140000,-2655.41430000
2.17500000,3669.63090000,-2675.15490000
2.18000000,3682.27790000,-2694.93370000
2.18500000,3697.86750000,-2714.37020000
2.19000000,3716.15170000,-2733.19180000
2.19500000,3738.09070000,-2750.61530000
2.20000000,3758.35120000,-2765.05920000
2.20500000,3774.81190000,-2777.55100000
2.21000000,3782.75430000,-2789.89730000
2.21500000,3785.15470000,-2805.30230000
2.22000000,3788.51930000,-2824.28880000
2.22500000,3796.48910000,-2845.11590000
2.23000000,3811.96750000,-2867.23530000
2.23500000,3837.04930000,-2887.04410000
2.24000000,3860.94440000,-2904.66400000
2.24500000,3886.98650000,-2920.61670000
2.25000000,3909.61430000,-2935.25060000
2.25500000,3928.52200000,-2949.11110000
2.26000000,3941.50930000,-2965.63780000
2.26500000,3962.55170000,-2980.48330000
2.27000000,3979.81430000,-2997.18260000
2.27500000,3999.27420000,-3016.93510000
2.28000000,4027.68370000,-3037.97600000
2.28500000,4063.96780000,-3058.69810000
2.29000000,4107.62440000,-3077.24110000
2.29500000,4155.65550000,-3092.96620000
2.30000000,4209.26840000,-3102.88450000
2.30500000,4257.00370000,-3108.41130000
2.31000000,4286.63480000,-3113.06830000
2.31500000,4317.52450000,-3120.49300000
2.32000000,4348.86910000,-3127.81520000
2.32500000,4373.47970000,-3135.87400000
2.33000000,4399.69290000,-3147.56790000
2.33500000,4431.85460000,-3159.20590000
