omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
3.425,9239.9166,590.80445,9172.8959,-321.64088,-8.3871782,-11.6945881,-3.7599416,-21.0060779
3.43,9106.3882,626.28032,9123.4048,-283.97642,-6.5736118,-12.1573431,-0.9441674,-18.5278549
3.435,8974.1892,650.26445,9073.7119,-249.64158,-6.547955,-11.9749374,-0.343748,-15.8831466
3.44,8838.307,662.63877,9014.3924,-217.80888,-8.5361362,-13.19294255,-2.0204012,-12.38031345
3.445,8714.7707,662.01802,8952.5345,-197.36416,-9.5615737,-14.8086239,-4.7697449,-10.3551361
3.45,8602.1285,654.20985,8901.4326,-180.92038,-9.217139,-14.8328046,-6.6807574,-10.2334734
3.455,8505.0486,637.57046,8853.0505,-168.31641,-9.73007289,-12.45916236,-8.71306071,-11.48775364
3.46,8425.1212,615.87706,8810.1408,-156.79835,-12.18810467,-10.8116904,-11.13481333,-13.6293956
3.465,8363.9882,591.00689,8768.8452,-151.16911,-14.0571463,-9.4023091,-12.2610237,-16.0902669
3.47,8318.0663,563.54161,8739.5283,-147.88696,-15.8640384,-9.3281224,-13.0728116,-16.5707696
3.475,8290.5679,534.38806,8715.022,-145.84522,-18.2436241,-9.7615077,-14.9282299,-17.4467923
3.48,8281.9582,506.64433,8695.8849,-146.42722,-19.3173765,-10.6271339,-15.5994875,-18.3939841
3.485,8291.4137,480.47718,8691.8813,-150.49056,-20.1448997,-11.5090675,-15.4001243,-19.4140365
3.49,8315.5069,460.34486,8700.3832,-151.18628,-20.9713876,-14.3181065,-15.3090404,-19.0189075
3.495,8349.4593,443.84779,8716.3583,-150.85225,-19.8424398,-15.8900241,-14.8526362,-19.8475999
3.5,8390.8753,432.64371,8742.006,-148.48225,-18.9341027,-16.7607499,-13.3331173,-20.8887681
