omega_eV,Re,Im
2.30000000,-5.87498770,-8.03452330
2.30500000,-5.67463300,-8.16482170
2.31000000,-4.54933270,-7.88132420
2.31500000,-4.93849290,-7.46621040
2.32000000,-5.53561630,-7.26740350
2.32500000,-6.22663590,-7.31505540
2.33000000,-6.40130040,-7.50066840
2.33500000,-6.23116550,-7.61588510
2.34000000,-5.78539230,-7.72113960
2.34500000,-4.59982390,-7.57797810
2.35000000,-4.96448300,-7.09654410
2.35500000,-5.24875120,-7.12120080
2.36000000,-4.86866980,-7.18748690
2.36500000,-4.20321520,-6.99196030
2.37000000,-4.12785960,-6.49581620
2.37500000,-4.38913040,-6.30735280
2.38000000,-4.59986620,-6.32929000
2.38500000,-4.00891130,-6.13049420
2.39000000,-4.86676040,-5.74918600
2.39500000,-6.80577520,-6.05673040
2.40000000,-6.54992190,-6.92257620
2.40500000,-5.48288940,-7.46563300
2.41000000,-3.85922300,-7.78473960
2.41500000,-1.79286750,-7.72388750
2.42000000,-0.40018943,-7.14183460
2.42500000,0.57948429,-6.87085050
2.43000000,1.52500510,-6.28616370
2.43500000,2.33534860,-5.32270100
2.44000000,2.83878740,-4.88414580
2.44500000,2.97965870,-3.94148820
2.45000000,2.28152860,-3.42049700
2.45500000,1.62753390,-3.03738520
2.46000000,1.66529220,-2.91151420
2.46500000,1.74346820,-2.66458160
2.47000000,2.22974920,-2.56544060
2.47500000,2.94327740,-2.26578250
2.48000000,3.06468430,-1.65413900
2.48500000,2.37080410,-0.69374255
2.49000000,1.16712990,-0.32463495
2.49500000,0.09947073,-0.12619761
2.50000000,-1.69903570,-0.48265432
2.50500000,-0.61413616,-1.18344820
2.51000000,-0.49245081,-0.99115038
2.51500000,-0.78644444,-1.08300150
2.52000000,0.61265053,-0.63444814
2.52500000,0.23256942,-0.86111919
2.53000000,1.94219220,-0.68834101
2.53500000,2.44444380,0.09192343
2.54000000,1.39718070,1.08043290
2.54500000,-0.85196930,1.23446770
2.55000000,-1.57486390,1.20856770
2.55500000,-3.43461120,1.51144750
2.56000000,-6.71928490,1.03418340
2.56500000,-9.20938630,-0.67152764
2.57000000,-8.26665760,-2.37275130
2.57500000,-5.71457370,-3.84884520
2.58000000,-1.58175420,-3.48631790
2.58500000,0.16761908,-3.34345510
2.59000000,3.07104270,-2.85407400
2.59500000,5.20718670,-1.60173920
2.60000000,6.01080000,-0.19199004
2.60500000,5.28485290,1.13329280
2.61000000,4.42342000,1.77821940
2.61500000,4.09282350,2.64349460
2.62000000,2.99662550,3.66255420
