k1,k2,k3,kx,ky,kz,chirality
0.1218,0.89766,0.99102,0.21874,0.90063,0.45906,1
0.12228,0.10249,0.99237,0.2196,0.10283,0.45969,-1
0.12873,0.95373,0.99297,0.23118,0.95689,0.45997,-1
0.1288,0.04532,0.99271,0.2313,0.04547,0.45985,1
0.87123,0.9546,0.00713,1.56461,0.95776,0.0033,1
0.87127,0.04622,0.00705,1.56468,0.04637,0.00327,-1
0.87772,0.89743,0.00744,1.57628,0.9004,0.00345,-1
0.87818,0.10235,0.009,1.57709,0.10269,0.00417,1
