  0.15000000E+01 -0.15138467E+02  0.92907130E+01
  0.15050000E+01 -0.15857470E+02  0.89981086E+01
  0.15100000E+01 -0.16371523E+02  0.87011257E+01
  0.15150000E+01 -0.16795921E+02  0.83174829E+01
  0.15200000E+01 -0.16800106E+02  0.80976388E+01
  0.15250000E+01 -0.16902170E+02  0.78953971E+01
  0.15300000E+01 -0.17071390E+02  0.77837518E+01
  0.15350000E+01 -0.17270749E+02  0.76828049E+01
  0.15400000E+01 -0.17707117E+02  0.76468165E+01
  0.15450000E+01 -0.18183561E+02  0.75766748E+01
  0.15500000E+01 -0.18616199E+02  0.73674288E+01
  0.15550000E+01 -0.18500482E+02  0.71753966E+01
  0.15600000E+01 -0.18652692E+02  0.71804954E+01
  0.15650000E+01 -0.19143181E+02  0.71373498E+01
  0.15700000E+01 -0.19491774E+02  0.68890591E+01
  0.15750000E+01 -0.19609408E+02  0.68168736E+01
  0.15800000E+01 -0.20209277E+02  0.68498468E+01
  0.15850000E+01 -0.21237348E+02  0.67443774E+01
  0.15900000E+01 -0.22186514E+02  0.64788797E+01
  0.15950000E+01 -0.23093807E+02  0.60022796E+01
  0.16000000E+01 -0.23691526E+02  0.56475138E+01
  0.16050000E+01 -0.25208844E+02  0.52830836E+01
  0.16100000E+01 -0.26606279E+02  0.45952059E+01
  0.16150000E+01 -0.28054425E+02  0.32547559E+01
  0.16200000E+01 -0.26571540E+02  0.18605372E+01
  0.16250000E+01 -0.25447501E+02  0.17243768E+01
  0.16300000E+01 -0.24837447E+02  0.16073958E+01
  0.16350000E+01 -0.25149699E+02  0.17412970E+01
  0.16400000E+01 -0.27338716E+02  0.17813925E+01
  0.16450000E+01 -0.31210898E+02 -0.81233765E-01
  0.16500000E+01 -0.29134770E+02 -0.11006725E+01
  0.16550000E+01 -0.29580514E+02 -0.89186255E+00
  0.16600000E+01 -0.33884282E+02 -0.16180784E+01
  0.16650000E+01 -0.35679060E+02 -0.39836738E+01
  0.16700000E+01 -0.35670674E+02 -0.58754608E+01
  0.16750000E+01 -0.35972465E+02 -0.79319646E+01
  0.16800000E+01 -0.35416126E+02 -0.10426535E+02
  0.16850000E+01 -0.32941286E+02 -0.12895860E+02
  0.16900000E+01 -0.28266708E+02 -0.15315152E+02
  0.16950000E+01 -0.23580325E+02 -0.16300498E+02
  0.17000000E+01 -0.19903798E+02 -0.17205685E+02
  0.17050000E+01 -0.15042481E+02 -0.17921242E+02
  0.17100000E+01 -0.11253924E+02 -0.17502876E+02
  0.17150000E+01 -0.91800140E+01 -0.16946457E+02
  0.17200000E+01 -0.74759043E+01 -0.16117967E+02
  0.17250000E+01 -0.67192442E+01 -0.15257449E+02
  0.17300000E+01 -0.68932160E+01 -0.14458675E+02
  0.17350000E+01 -0.76269765E+01 -0.13954654E+02
  0.17400000E+01 -0.80084015E+01 -0.13999000E+02
  0.17450000E+01 -0.81684046E+01 -0.13850576E+02
  0.17500000E+01 -0.81930385E+01 -0.13875643E+02
  0.17550000E+01 -0.79312436E+01 -0.14072235E+02
  0.17600000E+01 -0.66616396E+01 -0.14086971E+02
  0.17650000E+01 -0.55891520E+01 -0.13878844E+02
  0.17700000E+01 -0.49726610E+01 -0.13773359E+02
