k1,k2,k3,kx,ky,kz,chirality
0.12072,0.89683,0.99102,0.2168,0.89622,0.45907,1
0.12105,0.10306,0.9917,0.21739,0.10299,0.45938,-1
0.12756,0.9536,0.99506,0.22908,0.95294,0.46094,-1
0.12765,0.04571,0.99311,0.22924,0.04568,0.46004,1
0.87234,0.95426,0.00685,1.56661,0.95361,0.00317,1
0.87241,0.04634,0.00496,1.56673,0.04631,0.0023,-1
0.87897,0.89693,0.00792,1.5785,0.89631,0.00367,-1
0.87925,0.1031,0.00905,1.57902,0.10303,0.00419,1
