  0.15000000E+01  0.25479953E+04 -0.28263427E+04
  0.15050000E+01  0.25712084E+04 -0.28293639E+04
  0.15100000E+01  0.25971495E+04 -0.28296339E+04
  0.15150000E+01  0.26167529E+04 -0.28274581E+04
  0.15200000E+01  0.26277154E+04 -0.28254435E+04
  0.15250000E+01  0.26384598E+04 -0.28272270E+04
  0.15300000E+01  0.26524725E+04 -0.28291957E+04
  0.15350000E+01  0.26661625E+04 -0.28306794E+04
  0.15400000E+01  0.26801664E+04 -0.28321216E+04
  0.15450000E+01  0.26891585E+04 -0.28323512E+04
  0.15500000E+01  0.26962876E+04 -0.28357245E+04
  0.15550000E+01  0.27052138E+04 -0.28397755E+04
  0.15600000E+01  0.27130060E+04 -0.28446901E+04
  0.15650000E+01  0.27231641E+04 -0.28508965E+04
  0.15700000E+01  0.27361331E+04 -0.28574038E+04
  0.15750000E+01  0.27524368E+04 -0.28632568E+04
  0.15800000E+01  0.27706335E+04 -0.28676727E+04
  0.15850000E+01  0.27862458E+04 -0.28703251E+04
  0.15900000E+01  0.27988295E+04 -0.28737947E+04
  0.15950000E+01  0.28123612E+04 -0.28774957E+04
  0.16000000E+01  0.28258951E+04 -0.28816906E+04
  0.16050000E+01  0.28436413E+04 -0.28867097E+04
  0.16100000E+01  0.28682795E+04 -0.28897618E+04
  0.16150000E+01  0.28941818E+04 -0.28905321E+04
  0.16200000E+01  0.29195328E+04 -0.28911283E+04
  0.16250000E+01  0.29520465E+04 -0.28912157E+04
  0.16300000E+01  0.30005213E+04 -0.28871905E+04
  0.16350000E+01  0.30251314E+04 -0.28655259E+04
  0.16400000E+01  0.30394648E+04 -0.28564401E+04
  0.16450000E+01  0.30524667E+04 -0.28444536E+04
  0.16500000E+01  0.30680952E+04 -0.28377522E+04
  0.16550000E+01  0.30849161E+04 -0.28280781E+04
  0.16600000E+01  0.30989568E+04 -0.28208486E+04
  0.16650000E+01  0.31225082E+04 -0.28108763E+04
  0.16700000E+01  0.31342553E+04 -0.27974851E+04
  0.16750000E+01  0.31496729E+04 -0.27872121E+04
  0.16800000E+01  0.31727984E+04 -0.27739663E+04
  0.16850000E+01  0.31948789E+04 -0.27524112E+04
  0.16900000E+01  0.31958601E+04 -0.27252218E+04
  0.16950000E+01  0.31820161E+04 -0.26974958E+04
  0.17000000E+01  0.31443309E+04 -0.26670911E+04
  0.17050000E+01  0.30761591E+04 -0.26466250E+04
  0.17100000E+01  0.30068416E+04 -0.26397156E+04
  0.17150000E+01  0.29431326E+04 -0.26436296E+04
  0.17200000E+01  0.28887416E+04 -0.26520226E+04
  0.17250000E+01  0.28399631E+04 -0.26687391E+04
  0.17300000E+01  0.28083770E+04 -0.26900247E+04
  0.17350000E+01  0.27914995E+04 -0.27117374E+04
  0.17400000E+01  0.27864710E+04 -0.27299484E+04
  0.17450000E+01  0.27763320E+04 -0.27436537E+04
  0.17500000E+01  0.27596812E+04 -0.27577127E+04
  0.17550000E+01  0.27406930E+04 -0.27774629E+04
  0.17600000E+01  0.27289227E+04 -0.27989530E+04
  0.17650000E+01  0.27219050E+04 -0.28210761E+04
  0.17700000E+01  0.27196330E+04 -0.28431110E+04
