outer_fold,held_out_strain_percent,training_strains_percent,selected_lambda_nm,selected_gamma2_deg,selected_five_angles_deg,standardization_mean_um,standardization_std_um,ridge_alpha,ridge_coefficients,ridge_intercept,test_features_um,predicted_strain_percent,true_strain_percent,signed_error_percent,absolute_error_percent,test_label_used_before_prediction,outer_fold_status
1,0.0,0.1;0.2;0.3;0.4;0.5,430.0,60.5,77.9;77.8;78.0;77.7;78.1,"[5.373497693131114, 6.083575007629386, 4.602741956796896, 6.73209051636699, 3.773778312813352]","[0.25378429664191277, 0.25317223763417873, 0.251958745609556, 0.2504349013138562, 0.24742289809610155]",0.001,"[0.02988494830031803, 0.048933247786000146, 0.009250511179961804, 0.06669385398936208, -0.013360769703858546]",0.3,"[4.868502067080511, 5.576311470791776, 4.105243574150222, 6.22718959398192, 3.2895117291833746]",0.015912628770366602,0.0,0.015912628770366602,0.015912628770366602,no,pass
2,0.1,0.0;0.2;0.3;0.4;0.5,700.0,82.0,70.3;70.4;70.2;70.5;70.1,"[19.851723967103563, 11.1910459203359, 28.397880691285117, 2.446257425661332, 36.80109102473757]","[12.788309229199397, 12.748478507035763, 12.78512167034878, 12.66488833562467, 12.740191933654343]",0.001,"[0.032266329776939655, 0.1668850734652726, -0.1006342833104581, 0.30365944904119224, -0.23222913526287764]",0.28,"[10.702682328415271, 1.523611573489383, 19.7970870260306, -7.704864770762788, 28.773356812567556]",0.1010040752640314,0.1,0.001004075264031401,0.001004075264031401,no,pass
3,0.2,0.0;0.1;0.3;0.4;0.5,700.0,82.5,70.6;70.5;70.7;70.4;70.8,"[-7.034486137313229, 2.555708978822188, -16.642860237842036, 12.09047562158304, -26.231142653019923]","[13.892474110808768, 13.92413149217557, 13.814057706575836, 13.909526715780606, 13.689033943687887]",0.001,"[0.036607859181945264, -0.04479964665936588, 0.11830052494476323, -0.1260203036906187, 0.2003808884784604]",0.2599999999999999,"[-13.440147588043933, -4.315233691023413, -22.55985117535528, 4.780729454434079, -31.63953098794103]",0.20161336654076129,0.2,0.001613366540761274,0.001613366540761274,no,pass
4,0.3,0.0;0.1;0.2;0.4;0.5,700.0,82.5,70.5;70.4;70.6;70.3;70.7,"[1.246063812475364, 10.814363809677578, -8.372959703161156, 20.29582661284862, -18.005176570292814]","[14.198148074752591, 14.225339088048672, 14.120884711936364, 14.20329996484024, 13.993369228635022]",0.001,"[0.03617532355554076, -0.06096541653055076, 0.13403790057254986, -0.15756199061788656, 0.2328113990224817]",0.24,"[2.2329921407107056, 11.16128851396138, -6.7477797588043025, 20.0056516390073, -15.748269513101384]",0.2972220349209507,0.3,-0.002777965079049316,0.002777965079049316,no,pass
5,0.4,0.0;0.1;0.2;0.3;0.5,700.0,82.0,70.6;70.7;70.5;70.8;70.4,"[-10.457423623596743, -19.28419970420813, -1.6328795580565767, -28.078569518267795, 7.1555337827145]","[11.958945207642774, 11.905469801500333, 11.974092087401749, 11.813637377438285, 11.951470715344165]",0.001,"[0.03388083621580855, 0.10955624280873928, -0.0414906337444895, 0.18570404259812234, -0.11672238575435434]",0.22000000000000003,"[3.588295445413047, -5.571136823469639, 12.690820147826756, -14.750713868287347, 21.70117226159639]",0.40379957252947185,0.4,0.0037995725294718286,0.0037995725294718286,no,pass
6,0.5,0.0;0.1;0.2;0.3;0.4,700.0,82.0,70.7;70.6;70.8;70.5;70.9,"[-20.602394727800345, -11.77335402295551, -29.393784490179684, -2.9414107485441496, -38.112536581133675]","[9.755070475291483, 9.78059078870682, 9.701819157399823, 9.778514324888635, 9.62109563564407]",0.001,"[0.02776789217840981, -0.022420996456857786, 0.07830022289064745, -0.07234053812838608, 0.12924695836078484]",0.2,"[1.019838294491424, 10.167947442206886, -8.17463900872789, 19.23347610026462, -17.377885349840113]",0.496997948888064,0.5,-0.0030020511119360216,0.0030020511119360216,no,pass
