omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
2.565,6068.8543,-2801.7038,6536.5485,-3106.041,-24.08188027,12.57318612,-24.92844973,11.78209188
2.57,6047.7381,-2793.938,6520.3395,-3078.6906,-20.10412867,10.95677355,-20.78573933,10.73227645
2.575,6026.1365,-2788.7638,6496.1489,-3059.9988,-16.4695831,10.62422482,-17.0114729,10.40631918
2.58,6005.895,-2787.0665,6480.1804,-3047.7441,-13.45609114,10.45087008,-13.87965686,10.57469592
2.585,5989.441,-2787.2246,6475.2355,-3038.1042,-10.47127697,10.6753581,-10.82865103,11.1193959
2.59,5974.4886,-2788.2338,6476.3308,-3027.7333,-8.26438551,11.60636537,-8.59959369,12.25828663
2.595,5956.5554,-2789.6329,6482.6186,-3016.7884,-7.30211614,12.62210835,-7.75505906,13.49362965
2.6,5935.8689,-2797.2619,6487.2758,-3006.024,-7.74697048,13.68789064,-8.24127892,14.54804736
2.605,5925.4902,-2807.5712,6500.4678,-2995.7346,-8.42841717,14.60900803,-9.08435963,15.49591797
2.61,5918.3983,-2818.9173,6515.1895,-2981.2605,-9.54526477,15.39575928,-10.25874163,15.83231072
2.615,5918.6561,-2832.5567,6523.2878,-2963.7351,-10.39343086,16.19621643,-11.02392314,16.26077357
2.62,5927.2757,-2846.5913,6516.8106,-2943.7527,-11.79577947,16.86319705,-12.33788853,16.88788695
2.625,5942.9139,-2860.2718,6503.1944,-2931.7198,-14.10029536,17.24322265,-14.67207664,17.47749335
2.63,5965.2134,-2871.4891,6490.7266,-2921.7248,-15.93185383,16.70969025,-16.73223817,16.96898575
2.635,5988.2611,-2880.4621,6480.4694,-2914.797,-17.59680278,17.35078352,-18.44341922,16.63727448
2.64,6009.7164,-2888.7407,6468.9925,-2909.3164,-18.64405956,16.46913684,-19.25896444,15.88246516
2.645,6033.7483,-2897.5446,6463.0892,-2907.6347,-18.94898824,16.8109019,-19.59304576,16.0369001
2.65,6060.2214,-2905.0465,6464.1424,-2908.2281,-20.18482968,17.14322746,-20.56710032,16.01661254
2.655,6086.1715,-2910.2833,6473.2524,-2908.5591,-21.98550656,17.40888353,-22.02964544,16.55760447
2.66,6107.2165,-2914.984,6489.0852,-2902.7046,-24.64844265,16.75022888,-24.56679735,16.57580112
2.665,6125.8761,-2921.4591,6499.9901,-2901.683,-26.15115305,16.06107142,-26.01811695,16.16231658
2.67,6145.2502,-2928.7102,6517.6824,-2901.3642,-27.18532594,15.00370063,-26.97869806,15.76413137
2.675,6164.9816,-2936.3935,6541.7079,-2899.8849,-26.94390186,13.91741273,-27.05232814,15.42853727
2.68,6185.253,-2944.981,6570.286,-2897.0691,-26.06050573,13.70591722,-26.50705227,15.22028278
2.685,6207.2883,-2954.3558,6601.7039,-2891.7945,-25.49330746,14.17770816,-26.30523454,15.63107184
2.69,6231.6712,-2964.9982,6632.474,-2885.5292,-26.79414256,14.89272699,-27.81949744,15.58667701
2.695,6260.3984,-2976.2531,6668.9879,-2877.8147,-28.22568154,15.27838435,-29.31465446,15.46313565
2.7,6294.0934,-2986.9797,6709.9159,-2865.3394,-29.98538743,15.4733591,-31.07143057,15.3287569
2.705,6329.3939,-2995.9685,6736.1389,-2848.1549,-31.60156526,15.61391732,-32.58792074,15.13564268
2.71,6363.7114,-3005.177,6754.5413,-2833.2364,-33.81219836,15.44907658,-34.84014964,15.11913942
2.715,6401.2821,-3015.1538,6773.851,-2821.1647,-35.67271789,15.03633626,-36.83320411,14.39194774
2.72,6441.9053,-3024.4571,6802.0837,-2806.7939,-36.94519535,14.85191526,-38.07967265,13.53816074
2.725,6486.2168,-3033.7336,6825.2989,-2784.0305,-38.56405844,14.53521221,-39.53841156,12.99660179
2.73,6535.5424,-3042.2138,6824.7841,-2762.1954,-40.17283189,14.36225846,-40.97554011,12.42950354
2.735,6592.1498,-3049.6868,6823.3108,-2745.8445,-42.71247541,13.81864416,-43.38650659,11.84697184
2.74,6649.9411,-3053.583,6817.9834,-2727.9123,-44.73609214,12.668546,-45.27882986,10.499436
2.745,6705.7968,-3056.5993,6802.1775,-2712.6354,-45.38415566,11.6151578,-45.72442834,9.5208822
2.75,6762.925,-3057.895,6778.0316,-2702.3204,-46.91004561,10.7086403,-47.12841039,8.6797939
2.755,6818.5019,-3058.6926,6756.7466,-2697.245,-48.02778732,9.42691225,-48.10505668,7.78951315
2.76,6875.5857,-3058.9522,6735.2363,-2694.6179,-49.54285151,8.21027119,-49.67367449,6.71330241
2.765,6932.4892,-3059.3136,6716.3282,-2696.156,-50.73619332,6.62617987,-50.75217468,5.27316253
2.77,6996.2334,-3060.2019,6702.552,-2700.0276,-51.12105361,5.00469943,-51.12262839,3.71548257
2.775,7067.8389,-3059.2936,6694.1843,-2705.1585,-50.99677178,3.52423521,-50.95201422,2.35695559
2.78,7146.2509,-3056.3264,6689.544,-2710.9871,-50.71602962,2.20191061,-50.60316038,1.01952979
2.785,7231.2892,-3049.3643,6689.1584,-2717.5865,-50.16889052,0.84788878,-49.91019348,-0.32702168
2.79,7320.3878,-3036.2503,6694.673,-2724.5951,-48.26187399,-0.55914132,-47.82606201,-1.1810482
2.795,7411.0766,-3017.061,6706.3827,-2731.3941,-45.74058054,-0.72387524,-45.55000346,-1.02018062
2.8,7501.9956,-2989.5646,6724.8774,-2736.8472,-47.21123792,0.50700101,-46.97106008,-0.70897857
2.805,7574.9978,-2953.9674,6747.1894,-2740.3565,-52.00733318,-0.62365602,-51.37556882,-0.858145
2.81,7623.6963,-2920.3903,6771.5624,-2741.7141,-54.62256251,-3.45938474,-54.27666349,-2.82668086
2.815,7670.4886,-2892.3902,6796.5661,-2741.0486,-53.86897571,-5.73764428,-53.80849229,-5.40437152
2.82,7717.2801,-2864.5472,6821.6017,-2738.5164,-51.83652447,-7.39802294,-51.82751153,-7.34991606
2.825,7766.4576,-2838.3086,6846.7126,-2733.9786,-50.18534009,-8.36343187,-50.21629591,-9.12529153
