omega_eV,Re,Im
2.33000000,0.71184509,7.18419000
2.33500000,0.10146391,7.06047570
2.34000000,0.32097898,7.08022210
2.34500000,0.19091934,7.43651550
2.35000000,-0.07913596,7.77419440
2.35500000,-0.80528642,8.22281970
2.36000000,-2.47285970,8.67359560
2.36500000,-5.60739150,8.40051650
2.37000000,-7.16136980,7.18902250
2.37500000,-6.98931940,6.16417380
2.38000000,-5.73419490,5.50033350
2.38500000,-4.63651210,5.30076240
2.39000000,-3.75130490,5.16779570
2.39500000,-2.94740870,5.07204520
2.40000000,-1.57609770,5.04473560
2.40500000,-0.08393593,5.36815930
2.41000000,0.83971284,5.61304890
2.41500000,1.99966370,6.19047770
2.42000000,2.61104300,6.74266340
2.42500000,2.83379090,7.28897960
2.43000000,3.47125300,7.71656050
2.43500000,3.29287500,8.27921550
2.44000000,3.46948570,8.56118360
2.44500000,4.49714650,8.84439530
2.45000000,6.16795040,9.13885130
2.45500000,7.87144760,9.83589480
2.46000000,9.58816490,10.64012500
2.46500000,11.48142500,11.67004000
2.47000000,12.97440900,13.19051900
2.47500000,13.49668800,14.68900900
2.48000000,14.44420700,16.32389900
2.48500000,14.64019100,19.34571200
2.49000000,10.55769800,20.75582400
2.49500000,9.38795790,21.78275300
2.50000000,5.10501780,23.11770000
2.50500000,2.06282410,23.76427600
2.51000000,0.42592513,24.12405500
2.51500000,-3.33782960,25.33332600
2.52000000,-7.15350490,25.63071500
2.52500000,-12.81238600,26.29378400
2.53000000,-18.60947800,25.64642800
2.53500000,-24.09837300,23.31300400
2.54000000,-25.75818400,20.67077600
2.54500000,-24.34426700,18.60561800
2.55000000,-22.80955000,17.91921200
2.55500000,-25.06681800,17.67026700
2.56000000,-27.70869800,14.29991600
2.56500000,-24.50516500,12.17763900
2.57000000,-20.44493400,10.84452500
2.57500000,-16.74052800,10.51527200
2.58000000,-13.66787400,10.51278300
2.58500000,-10.64996400,10.89737700
2.59000000,-8.43198960,11.93232600
2.59500000,-7.52858760,13.05786900
2.60000000,-7.99412470,14.11796900
2.60500000,-8.75638840,15.05246300
2.61000000,-9.90200320,15.61403500
2.61500000,-10.70867700,16.22849500
2.62000000,-12.06683400,16.87554200
2.62500000,-14.38618600,17.36035800
2.63000000,-16.33204600,16.83933800
2.63500000,-18.02011100,16.99402900
2.64000000,-18.95151200,16.17580100
2.64500000,-19.27101700,16.42390100
2.65000000,-20.37596500,16.57992000
2.65500000,-22.00757600,16.98324400
2.66000000,-24.60762000,16.66301500
2.66500000,-26.08463500,16.11169400
2.67000000,-27.08201200,15.38391600
2.67500000,-26.99811500,14.67297500
2.68000000,-26.28377900,14.46310000
2.68500000,-25.89927100,14.90439000
2.69000000,-27.30682000,15.23970200
2.69500000,-28.77016800,15.37076000
2.70000000,-30.52840900,15.40105800
2.70500000,-32.09474300,15.37478000
2.71000000,-34.32617400,15.28410800
2.71500000,-36.25296100,14.71414200
2.72000000,-37.51243400,14.19503800
2.72500000,-39.05123500,13.76590700
2.73000000,-40.57418600,13.39588100
2.73500000,-43.04949100,12.83280800
2.74000000,-45.00746100,11.58399100
2.74500000,-45.55429200,10.56802000
2.75000000,-47.01922800,9.69421710
2.75500000,-48.06642200,8.60821270
2.76000000,-49.60826300,7.46178680
2.76500000,-50.74418400,5.94967120
2.77000000,-51.12184100,4.36009100
2.77500000,-50.97439300,2.94059540
2.78000000,-50.65959500,1.61072020
2.78500000,-50.03954200,0.26043355
2.79000000,-48.04396800,-0.87009476
2.79500000,-45.64529200,-0.87202793
2.80000000,-47.09114900,-0.10098878
2.80500000,-51.69145100,-0.74090051
2.81000000,-54.44961300,-3.14303280
2.81500000,-53.83873400,-5.57100790
2.82000000,-51.83201800,-7.37396950
2.82500000,-50.20081800,-8.74436170
2.83000000,-48.19432600,-10.02219800
2.83500000,-45.80037900,-11.12870100
2.84000000,-43.44773800,-11.56726800
2.84500000,-42.60390600,-12.23840700
2.85000000,-42.08194800,-12.69678900
2.85500000,-42.65562600,-13.83721900
2.86000000,-43.99064500,-16.55609300
2.86500000,-35.31815500,-18.96710700
2.87000000,-27.41271400,-18.60373100
2.87500000,-21.53404600,-16.34871500
2.88000000,-20.81532700,-13.87740400
2.88500000,-21.79090600,-12.67309200
2.89000000,-21.93859700,-12.08610800
2.89500000,-21.00614100,-11.42032200
2.90000000,-20.06777000,-10.73214500
2.90500000,-19.21656100,-9.61771580
2.91000000,-19.69249100,-8.42616800
2.91500000,-20.83515000,-7.72929610
2.92000000,-21.49033000,-7.11371990
2.92500000,-22.55771500,-6.33645410
