omega_eV,Re,Im
1.50000000,3431.22130000,-794.72585000
1.50500000,3411.01520000,-786.59245000
1.51000000,3392.50670000,-785.42586000
1.51500000,3386.84180000,-782.61632000
1.52000000,3373.94460000,-776.20332000
1.52500000,3351.35740000,-770.88046000
1.53000000,3321.11620000,-770.05133000
1.53500000,3297.98010000,-773.25978000
1.54000000,3282.39810000,-777.80187000
1.54500000,3267.92300000,-777.84105000
1.55000000,3244.89300000,-780.32086000
1.55500000,3223.05630000,-784.39583000
1.56000000,3198.37410000,-787.51893000
1.56500000,3170.83520000,-794.06136000
1.57000000,3145.66140000,-802.08188000
1.57500000,3120.32910000,-810.59938000
1.58000000,3094.53250000,-820.59057000
1.58500000,3069.71940000,-832.02976000
1.59000000,3046.27030000,-844.23948000
1.59500000,3025.70890000,-855.05515000
1.60000000,2998.07610000,-864.94203000
1.60500000,2963.66960000,-879.61504000
1.61000000,2934.68160000,-898.26014000
1.61500000,2910.99670000,-918.81720000
1.62000000,2896.55640000,-941.18546000
1.62500000,2892.48440000,-962.49954000
1.63000000,2896.09370000,-981.86568000
1.63500000,2907.35580000,-993.95766000
1.64000000,2915.55920000,-1004.34170000
1.64500000,2920.65920000,-1011.06610000
1.65000000,2917.68920000,-1009.81130000
1.65500000,2884.90310000,-1014.47950000
1.66000000,2853.87800000,-1028.27480000
1.66500000,2831.47260000,-1043.48320000
1.67000000,2809.60690000,-1061.06970000
1.67500000,2793.32350000,-1080.05110000
1.68000000,2779.50950000,-1097.90960000
1.68500000,2766.99110000,-1116.71010000
1.69000000,2758.29910000,-1134.28730000
1.69500000,2746.91920000,-1148.27340000
1.70000000,2720.44760000,-1161.82400000
1.70500000,2686.02620000,-1183.11950000
1.71000000,2660.58580000,-1208.73870000
1.71500000,2638.70680000,-1237.31640000
1.72000000,2629.38780000,-1266.58220000
1.72500000,2631.74270000,-1296.79670000
1.73000000,2627.82880000,-1321.28260000
1.73500000,2627.96170000,-1348.61710000
1.74000000,2633.23350000,-1376.04860000
1.74500000,2638.77760000,-1401.44510000
1.75000000,2642.84590000,-1426.75810000
1.75500000,2648.85670000,-1453.02480000
1.76000000,2659.31170000,-1479.48680000
1.76500000,2675.79780000,-1505.10400000
1.77000000,2698.37170000,-1528.31530000
1.77500000,2716.03650000,-1546.94870000
