case_dir,case_label,num_occupied,pair_n_1based,pair_m_1based,kx_cart,ky_cart,kz_cart,k1_frac,k2_frac,k3_frac,gap_eV,energy_raw_eV,energy_rel_ef_eV,fermi_energy_eV,source_find_dir,source_nodes_file,duplicate_count,duplicate_sources
Strain_b_Tension_0.5pct,Strain_b_Tension_0.5pct,56,56,57,0.21625815,-0.10297794,-0.00440341,0.12042003,0.8968485900000001,0.990494,2e-08,0.05726038,0.05726038,8.448963,node_search,Nodes.dat,1,Strain_b_Tension_0.5pct:N56:line4
Strain_b_Tension_0.5pct,Strain_b_Tension_0.5pct,56,56,57,0.21683739,0.10294615,-0.00379964,0.12074257,0.10311957,0.99179745,2e-08,0.0563663,0.0563663,8.448963,node_search,Nodes.dat,1,Strain_b_Tension_0.5pct:N56:line6
Strain_b_Tension_0.5pct,Strain_b_Tension_0.5pct,56,56,57,0.2285872,-0.04643255,-0.00250907,0.12728527,0.95348923,0.99458347,2e-08,0.00241612,0.00241612,8.448963,node_search,Nodes.dat,1,Strain_b_Tension_0.5pct:N56:line10
Strain_b_Tension_0.5pct,Strain_b_Tension_0.5pct,56,56,57,0.22876415,0.0456487,-0.00318093,0.1273838,0.04572559,0.99313309,2e-08,0.00137475,0.00137475,8.448963,node_search,Nodes.dat,1,Strain_b_Tension_0.5pct:N56:line9
Strain_b_Tension_0.5pct,Strain_b_Tension_0.5pct,56,56,57,-0.22873027,-0.04575506,0.00313943,0.87263506,0.95416787,0.00677732,2e-08,0.00150988,0.00150988,8.448963,node_search,Nodes.dat,1,Strain_b_Tension_0.5pct:N56:line5
Strain_b_Tension_0.5pct,Strain_b_Tension_0.5pct,56,56,57,-0.22860879,0.04632302,0.00253834,0.87270271,0.04640106,0.00547971,3e-08,0.00234332,0.00234332,8.448963,node_search,Nodes.dat,1,Strain_b_Tension_0.5pct:N56:line8
Strain_b_Tension_0.5pct,Strain_b_Tension_0.5pct,56,56,57,-0.21684357,-0.10295331,0.00368444,0.87925399,0.89687326,0.00795385,1e-08,0.05630888,0.05630888,8.448963,node_search,Nodes.dat,1,Strain_b_Tension_0.5pct:N56:line3
Strain_b_Tension_0.5pct,Strain_b_Tension_0.5pct,56,56,57,-0.21631514,0.10302396,0.00437927,0.87954824,0.10319751,0.00945387,2e-08,0.05719439,0.05719439,8.448963,node_search,Nodes.dat,1,Strain_b_Tension_0.5pct:N56:line7
