k1,k2,k3,kx,ky,kz,chirality
0.12209,0.89689,0.99096,0.21904,0.89986,0.45904,1
0.12249,0.10318,0.99231,0.21976,0.10352,0.45966,-1
0.12908,0.95329,0.99505,0.23157,0.95645,0.46093,-1
0.1291,0.04617,0.99435,0.23161,0.04632,0.46061,1
0.8709,0.95377,0.00557,1.56246,0.95693,0.00258,1
0.8709,0.04666,0.00495,1.56247,0.04681,0.00229,-1
0.87752,0.89683,0.00752,1.57433,0.8998,0.00348,-1
0.8779,0.10304,0.00901,1.57501,0.10338,0.00417,1
