omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.5,3320.6103,-698.49768,2583.7904,-2834.9352,1.1187552,3.88509713,-11.5444814,2.42964487
1.505,3302.5013,-701.8501,2609.7546,-2838.2763,2.0709398,8.0100923,-11.2415614,-0.2753465
1.51,3288.9129,-705.01294,2639.2207,-2838.6612,0.9445974,11.9951316,-9.9141118,-2.2839018
1.515,3277.3302,-706.94819,2663.6952,-2836.7925,-1.0743321,12.7700539,-9.1626443,-1.3754995
1.52,3264.0881,-707.75852,2685.081,-2833.8604,-2.800474,13.2362935,-9.8756948,-0.2037827
1.525,3247.5687,-707.66904,2704.6065,-2831.8851,-5.3462356,14.4095582,-11.019167,-0.1660732
1.53,3223.9959,-708.53944,2723.3933,-2828.4409,-8.1647295,13.8529397,-12.3477005,0.5089389
1.535,3200.3273,-713.36131,2737.0369,-2824.3425,-9.7439593,13.1904841,-13.5513027,0.8601239
1.54,3184.0815,-720.21915,2743.4401,-2822.0199,-10.4694283,12.8494679,-13.6766157,0.6058495
1.545,3175.2217,-724.3458,2750.8484,-2823.0741,-10.8559435,13.121862,-13.6585525,0.6453508
1.55,3158.396,-725.50405,2761.0978,-2824.7854,-11.6491713,13.5138881,-13.7430647,0.8303573
1.555,3135.6214,-728.31074,2771.6816,-2826.5612,-13.36407406,13.6847306,-14.74210394,1.118193
1.56,3108.3131,-732.50506,2782.7161,-2828.6918,-14.65204032,13.3572647,-15.65454568,1.4439819
1.565,3077.3384,-738.75372,2794.0478,-2831.8648,-15.79675448,13.6449739,-16.56518352,1.4139763
1.57,3045.2624,-747.3012,2810.2335,-2835.1781,-18.52951257,13.9445906,-18.79562543,1.3079594
1.575,3012.8432,-757.41051,2829.3002,-2835.7721,-21.94195783,13.0927736,-21.54348217,0.437947
1.58,2978.7407,-767.63005,2843.5597,-2835.119,-23.16422368,11.5195337,-21.94121232,-0.7741605
1.585,2942.3285,-781.61457,2854.4099,-2835.6524,-23.12514231,10.3373023,-21.59823569,-1.0296969
1.59,2908.1126,-797.68643,2866.2698,-2837.1013,-22.95656942,9.816464,-21.13188658,-1.593168
1.595,2875.9242,-815.45796,2880.2557,-2838.4112,-22.8932681,9.7707667,-20.4391119,-2.0006937
1.6,2846.1193,-834.97012,2895.352,-2839.6343,-24.1182398,9.0758143,-20.6853682,-1.5036845
1.605,2820.8032,-855.9671,2913.4899,-2839.9873,-25.1167484,7.4405788,-21.5972516,-1.0318738
1.61,2802.041,-876.4033,2931.5199,-2838.752,-25.3676123,6.7277497,-22.9543277,-1.6462649
1.615,2782.4348,-897.10611,2949.2261,-2838.2613,-25.52603219,7.4275275,-24.47381381,-3.9081127
1.62,2776.8464,-917.79006,2991.4027,-2831.0942,-28.2710758,21.59868333,-20.6119882,-20.83226267
1.625,2763.9996,-937.04872,2996.175,-2825.2514,-29.9787995,8.91346279,-15.5019825,-10.00583541
1.63,2760.3022,-955.65124,3018.4939,-2816.207,-31.1881362,3.63628852,-11.2893478,-4.41181688
1.635,2752.4401,-970.03567,3029.779,-2806.008,-31.5135906,-10.02604069,-12.0309274,9.65548391
1.64,2736.042,-986.17342,3034.9836,-2795.9364,-25.8229515,-12.65915787,-19.1054345,11.46694213
1.645,2728.3505,-1006.6293,3040.4513,-2792.5252,-24.6307919,-9.42802666,-22.2813481,7.75144774
1.65,2723.9999,-1025.0014,3056.542,-2790.0182,-24.36029612,-7.4963659,-24.51085388,4.9275361
1.655,2721.9648,-1042.3763,3075.9742,-2778.9693,-26.4290644,-7.935671,-24.6553216,0.442915
1.66,2723.2415,-1059.4177,3087.4398,-2772.3259,-26.65689302,-7.3842601,-27.19405898,0.2104381
1.665,2723.1281,-1072.7392,3097.4632,-2765.0096,-26.94130645,-7.5668739,-28.25804355,-1.8950615
1.67,2716.6046,-1084.3262,3112.1149,-2757.94,-25.4777344,-8.148287,-27.7319056,-2.7876228
1.675,2696.0848,-1097.9597,3126.8968,-2748.9156,-25.3380492,-6.84858718,-29.2169388,-4.84873702
1.68,2679.8304,-1116.5667,3147.4801,-2737.801,-26.2680387,-5.8399583,-30.3945593,-8.0076577
1.685,2668.8116,-1135.7771,3173.6309,-2718.1798,-26.3369937,-5.8067003,-29.9610443,-11.4411349
1.69,2659.4755,-1154.7321,3167.6335,-2684.3705,-24.2134783,-6.052967,-27.6270537,-13.7147484
1.695,2649.8561,-1172.9591,3130.7661,-2658.3561,-23.1392382,-4.9461722,-26.2086918,-16.0909298
1.7,2639.6352,-1190.6663,3076.0051,-2641.7457,-23.0004586,-4.5627821,-25.0553074,-18.4667079
1.705,2626.5023,-1207.3662,3016.9652,-2632.124,-21.94813794,-4.3895122,-21.68113806,-21.2213618
1.71,2608.5374,-1225.3152,2959.6941,-2633.7053,-21.5302796,-5.6866402,-18.0538644,-20.6385238
1.715,2590.5135,-1244.6639,2911.5795,-2640.1589,-19.4948849,-9.9287371,-16.2504971,-17.9610389
1.72,2568.8969,-1265.127,2865.8041,-2651.0961,-16.6370625,-9.8666795,-13.3272715,-18.8869725
1.725,2544.809,-1290.7933,2826.447,-2667.3788,-14.7295599,-10.3322306,-10.6165461,-17.8355134
1.73,2530.5632,-1320.5876,2800.7654,-2687.6458,-13.5690351,-10.5001829,-9.3709089,-16.6623911
1.735,2525.5509,-1349.389,2789.8721,-2707.9824,-13.0507972,-10.3277909,-9.7124028,-15.8252871
1.74,2524.3986,-1379.0546,2790.5796,-2722.5033,-13.2012177,-9.9188693,-9.6633963,-16.2757827
1.745,2530.1146,-1407.7221,2775.9983,-2728.6039,-13.1888302,-9.8324835,-8.6304518,-16.1813785
1.75,2539.7015,-1434.9117,2749.0321,-2746.4105,-12.930942,-10.1548557,-8.458486,-15.3574963
1.755,2554.5159,-1459.7096,2733.7476,-2766.9263,-12.9524587,-10.0891088,-8.4261673,-15.0143412
1.76,2563.6139,-1481.8071,2724.1352,-2788.2094,-12.9172275,-10.2195625,-8.2971145,-14.4748415
1.765,2574.5681,-1503.3627,2718.51,-2809.3153,-12.9849207,-10.5705547,-8.5359213,-13.7972513
1.77,2577.4468,-1524.4324,2715.5191,-2829.8301,-12.9127658,-10.4661048,-8.9621922,-13.7392112
1.775,2583.6454,-1547.8401,2714.8216,-2849.6963,-12.711375,-10.0305069,-8.870563,-14.0025911
1.78,2589.9014,-1570.9006,2713.1859,-2869.004,-13.4144516,-9.9237354,-9.5915624,-14.2422166
1.785,2597.8857,-1594.7657,2713.614,-2889.0392,-13.3292772,-9.7331755,-9.1961448,-14.8584845
1.79,2607.3588,-1617.7299,2715.294,-2908.1758,-13.7149907,-10.0632263,-8.6665413,-15.1901737
1.795,2617.8265,-1641.5753,2715.8949,-2927.3944,-12.8354832,-11.0383811,-7.3131728,-15.0641869
1.8,2628.4201,-1664.7168,2722.6604,-2944.2818,-12.1594271,-12.2015462,-6.8932687,-14.2322698
1.805,2643.6651,-1687.9041,2713.2173,-2961.8824,-10.3645061,-11.980898,-5.3079145,-14.642706
1.81,2661.4528,-1709.3469,2711.1233,-2983.9629,-9.4360335,-12.12539377,-4.6313771,-13.96550623
1.815,2676.0345,-1729.8847,2712.0169,-3006.598,-8.6665396,-11.2658373,-4.3242306,-14.3974487
1.82,2691.5367,-1750.1272,2714.6147,-3030.1744,-8.2152915,-10.4683171,-3.5089157,-14.8311449
1.825,2706.6295,-1769.7442,2720.053,-3054.6822,-7.8547889,-9.973564,-2.6235575,-15.001864
1.83,2720.844,-1788.8332,2729.2083,-3079.8088,-7.676149,-9.9105768,-1.9618784,-14.7428472
1.835,2734.9177,-1806.5276,2743.1923,-3105.011,-7.3711672,-9.9703861,-1.3162558,-14.3793079
1.84,2743.6806,-1824.0876,2761.8618,-3129.6503,-6.858952,-9.7545867,-1.0758498,-14.6679153
1.845,2750.3832,-1843.5983,2783.9509,-3151.3302,-6.2001641,-9.4384824,0.7536699,-14.4216656
1.85,2758.1909,-1864.6567,2798.1713,-3172.045,-5.8258933,-8.8413827,0.6656937,-14.0593493
1.855,2769.691,-1886.4224,2817.1188,-3195.7723,-6.0846788,-8.2300402,0.9600322,-13.7309738
1.86,2785.666,-1907.1377,2837.4488,-3218.7327,-6.4925232,-7.3981103,1.2802046,-13.6986817
1.865,2799.5506,-1923.0631,2862.4262,-3243.0823,-7.6442956,-7.9217919,1.1505082,-12.8679641
1.87,2805.3789,-1942.7511,2892.0078,-3267.127,-8.1750655,-8.5254018,1.1094071,-11.8483702
1.875,2815.0951,-1964.6984,2922.1399,-3286.2947,-8.1386798,-9.17891704,0.8821776,-10.88716496
1.88,2826.4024,-1986.4946,2951.3384,-3307.5517,-8.1769395,-9.61029507,0.8917057,-10.27070633
1.885,2838.1979,-2008.2371,2983.9847,-3330.6412,-8.1811999,-9.63976932,0.5986035,-9.72044028
1.89,2851.095,-2029.7641,3031.9881,-3351.4163,-8.6502038,-7.7393113,0.4975546,-11.1345311
1.895,2863.6351,-2050.0199,3069.3249,-3364.2605,-11.1538745,-9.53852004,0.858690699999999,-9.10299516
1.9,2873.0044,-2071.3486,3109.7391,-3379.078,-10.8752671,-11.222619,0.6232815,-7.9331904
1.905,2884.2293,-2093.6177,3150.4836,-3391.8761,-10.8022828,-12.260662,0.9386166,-7.014698
1.91,2895.9566,-2116.4429,3186.8942,-3403.1814,-10.6220213,-13.7822019,1.0193885,-5.4422349
1.915,2909.2493,-2139.7884,3222.3546,-3414.6456,-10.136459,-15.1238567,0.998114,-4.1093213
1.92,2924.0867,-2163.208,3258.542,-3425.0722,-9.239746,-16.073524,1.117512,-2.8560128
1.925,2940.7637,-2186.8181,3295.0025,-3435.4118,-8.8593512,-16.6853963,0.8279476,-1.8102839
1.93,2959.5489,-2210.3367,3329.2231,-3444.3238,-8.4867416,-17.6394922,0.6528152,-0.7366478
1.935,2981.5661,-2233.8081,3374.5685,-3455.1015,-7.8539456,-18.6835265,0.1361308,0.692920300000001
1.94,3007.5808,-2256.2852,3427.9797,-3462.3347,-7.4036634,-19.1194966,-0.6215638,1.4704094
1.945,3035.3642,-2277.0874,3485.2913,-3464.5793,-7.3171346,-20.0991472,-1.4080484,2.6179008
1.95,3066.2082,-2296.3352,3543.8905,-3462.1585,-7.0917471,-21.3336049,-2.1675537,3.8719171
1.955,3091.841,-2311.8941,3594.0173,-3451.6018,-6.4019401,-26.1761598,-3.5408675,8.3042562
1.96,3117.0205,-2327.612,3621.466,-3439.2314,-1.6554694,-21.4801557,-7.428309,3.2099643
1.965,3138.818,-2344.7383,3641.1282,-3428.4218,-3.22350813,-15.0839066,-5.20366827,-3.1630114
1.97,3161.8901,-2363.2004,3648.5137,-3424.4393,-3.40336038,-16.2752402,-4.55059642,-2.2074438
1.975,3186.9669,-2382.039,3658.158,-3424.2781,-2.78751183,-16.6402997,-3.92875377,-2.0057305
1.98,3214.7564,-2400.5456,3671.1676,-3425.4244,-2.0180494,-16.7777291,-3.6084204,-1.7904381
1.985,3243.8075,-2418.335,3683.1662,-3425.974,-1.79074586,-16.4098032,-2.50525414,-1.8530272
1.99,3274.1355,-2434.9971,3693.75,-3428.5546,-1.23302459,-17.2441002,-2.38143961,-0.566813000000002
1.995,3303.0739,-2449.939,3703.2211,-3430.3292,-0.0110592,-17.5842884,-3.2742444,0.2309722
2,3330.0361,-2465.3648,3707.7168,-3435.8326,0.484811,-16.2290389,-3.6308718,-1.0064315
2.005,3357.3684,-2481.3444,3715.1911,-3443.7227,0.9981529,-15.3679311,-3.4842823,-1.7045627
2.01,3387.518,-2497.3804,3725.8179,-3453.4157,1.36725968,-14.8181398,-3.17112312,-1.985019
2.015,3420.0225,-2512.881,3740.3296,-3464.2258,1.73046031,-14.4633947,-2.88641349,-1.9963483
2.02,3454.8684,-2527.5976,3758.8587,-3475.4638,2.06115759,-14.17967,-2.68632701,-1.8626308
2.025,3493.2144,-2541.1629,3780.6071,-3486.5485,2.36356892,-14.0111009,-2.59154628,-1.6106143
2.03,3534.6685,-2551.6177,3804.3074,-3497.3143,2.67290724,-13.9724446,-2.64952956,-1.0657974
2.035,3576.3739,-2559.4427,3829.7406,-3508.0665,3.10775071,-13.6706321,-3.04561489,-0.9278509
2.04,3612.5623,-2565.3289,3858.1754,-3518.7817,3.42213692,-13.227756,-3.12936848,-1.0834738
2.045,3649.5096,-2573.0171,3890.6119,-3528.9543,3.80955728,-13.1523914,-3.06167812,-0.8087066
2.05,3696.199,-2580.0948,3928.5292,-3538.0574,4.33291252,-13.4996802,-3.02662268,-0.0412350000000004
2.055,3755.2476,-2583.1931,3972.8996,-3544.5127,4.97045537,-13.9896624,-3.34229303,1.00397
2.06,3828.6774,-2572.9198,4019.6504,-3544.0313,7.53437049,-15.407621,-6.69147031,3.3345276
2.065,3881.5972,-2554.4188,4052.1143,-3539.8656,7.94568995,-10.0589121,-8.67548265,-2.1913377
2.07,3936.4999,-2530.176,4072.3419,-3535.636,9.03555825,-3.8776832,-8.78054415,-8.7146024
2.075,3983.7368,-2489.3168,4087.6529,-3533.3779,4.55387009,2.0299677,-6.43511591,-14.3137013
2.08,3962.7651,-2438.3527,4100.4209,-3535.7638,3.77883353,0.3056432,-5.54839367,-13.4855712
2.085,3893.3967,-2411.4336,4117.9984,-3539.9023,3.79748652,0.3580708,-4.40978108,-13.821293
2.09,3832.6376,-2402.4325,4141.2802,-3543.2243,3.43255292,0.8757306,-2.94293468,-14.6204326
2.095,3785.0879,-2400.572,4162.0779,-3545.0637,3.3190841,0.9720245,-0.4034591,-14.7039299
2.1,3742.2308,-2401.2109,4184.817,-3549.9891,2.82497777,0.3529201,1.37157843,-12.4782925
2.105,3695.0658,-2408.6142,4214.5673,-3555.0161,1.14540378,-1.307847,0.96443662,-10.3498778
2.11,3655.6501,-2423.0161,4251.1466,-3558.8777,1.08328207,-3.2247755,1.33457533,-8.4803891
2.115,3626.7057,-2441.594,4290.2396,-3559.1706,1.70028859,-4.3248499,1.61596881,-6.8317795
2.12,3608.059,-2462.4824,4324.6942,-3556.406,1.74680099,-4.45556684,1.41608701,-5.48064756
2.125,3598.5407,-2484.1222,4351.8661,-3552.5894,1.09494925,-4.6329705,0.35372475,-4.5478999
2.13,3597.0726,-2505.8838,4374.9025,-3550.2344,0.14235638,-4.76424666,-0.98484092,-4.57555254
2.135,3604.3956,-2526.5099,4397.049,-3549.2439,0.3560785,-4.71977643,-0.87818574,-5.21101197
2.14,3617.1874,-2544.5416,4424.1837,-3549.3661,0.43429088,-4.47847559,-0.5673722,-5.13948381
2.145,3632.7253,-2557.6749,4455.6278,-3547.1654,0.18301184,-4.42441089,-0.3393179,-5.32139651
2.15,3634.6458,-2568.664,4481.6138,-3542.514,0.56275228,-4.76933716,0.36796966,-4.60521704
2.155,3632.6522,-2584.4807,4503.305,-3539.256,0.400392,-4.70601168,0.27824222,-3.94750192
2.16,3633.4355,-2602.0852,4528.1385,-3537.629,-0.23040741,-4.98643765,-0.21935305,-3.29285055
2.165,3636.8059,-2620.9533,4558.2567,-3534.5382,-0.30438916,-5.8572809,-0.44145938,-2.7442705
2.17,3642.0125,-2640.3948,4587.8648,-3527.7228,0.94853061,-6.3910423,0.12554835,-2.1990377
2.175,3649.9505,-2661.1637,4610.1069,-3520.5553,2.28969627,-5.7502033,0.74802293,-2.3954909
2.18,3661.7928,-2682.083,4630.0615,-3513.8301,3.36198948,-4.5315476,1.57885852,-2.3302256
2.185,3677.2421,-2702.7064,4650.7275,-3506.3078,2.64463295,-2.74909935,1.09161765,-2.31053905
2.19,3695.6108,-2722.5899,4667.2291,-3496.784,0.76379713,-2.01391981,0.29198913,-2.06978659
2.195,3718.5401,-2741.06,4680.8808,-3487.4366,-1.46679253,-2.5253175,-1.69095327,-1.1897439
2.2,3742.2718,-2756.1932,4688.6535,-3474.2244,-2.16028853,-2.45073525,-3.68449287,-2.12981835
2.205,3760.0608,-2768.5955,4702.583,-3464.6774,-2.6727956,-2.62540768,-3.5577558,-2.89229132
2.21,3771.559,-2780.9104,4704.8123,-3441.3882,-3.59590121,-1.8777831,-2.70933399,-3.2112709
2.215,3776.3338,-2794.6098,4663.5594,-3430.369,-5.29320451,-3.7250462,-3.63654009,-1.367937
2.22,3777.9446,-2811.6716,4631.2291,-3434.1291,-6.46023015,-4.9898583,-4.67623585,-1.0824413
2.225,3784.6008,-2832.4692,4618.2767,-3443.4755,-6.71744403,-6.4109073,-4.91377137,-1.0986863
2.23,3800.3734,-2853.7803,4621.4996,-3454.0504,-6.23902866,-7.8419696,-4.41141034,-0.952083
2.235,3823.2795,-2873.8853,4648.3307,-3455.3942,-5.0766618,-9.2567393,-3.6724286,-0.3504747
2.24,3849.7934,-2890.6944,4643.0731,-3439.7073,-4.48978294,-9.8181076,-3.44023806,-0.405546
2.245,3871.0044,-2904.8335,4619.5727,-3447.4684,-2.94585907,-11.1950242,-1.83150073,-0.2718666
2.25,3886.7039,-2919.7151,4615.8179,-3459.1979,-0.12224288,-12.3847367,0.33195804,0.7805943
2.255,3901.7483,-2936.1934,4621.4311,-3472.4345,2.85046259,-12.28804,3.18719121,2.5270646
2.26,3918.8852,-2953.9579,4638.0813,-3485.4953,3.29631894,-12.8963668,2.52733386,6.746758
2.265,3940.929,-2970.0069,4662.9222,-3495.9248,2.19282785,-13.847142,-1.01308255,8.949796
2.27,3956.0757,-2984.5963,4687.4324,-3503.4235,1.893185,-11.8421569,-5.1756766,7.3611097
2.275,3971.987,-3005.159,4714.0448,-3512.0045,0.8830633,-10.3865281,-6.9897053,5.1083365
2.28,3998.5108,-3027.3313,4747.3499,-3518.9077,-0.00612609999999991,-9.5492942,-7.8187193,3.5931162
2.285,4032.0299,-3048.7392,4780.5957,-3522.816,0.4199335,-9.4159283,-7.4042787,2.3716987
2.29,4072.8919,-3068.4262,4813.4391,-3525.9512,0.980175,-9.0831809,-5.9259698,2.4616477
2.295,4118.1474,-3086.2444,4844.8358,-3529.6176,0.3079171,-10.7363629,-6.5954021,4.7316463
2.3,4170.2825,-3098.8287,4884.7409,-3533.1555,-0.251039,-13.2941188,-8.4930638,7.0997652
2.305,4214.8515,-3106.9661,4932.2055,-3530.3905,0.4799997,-15.4962552,-10.9972335,8.1335568
2.31,4252.2173,-3114.7496,4967.091,-3521.9037,3.7441526,-13.9215954,-12.442591,5.4713638
2.315,4287.6289,-3123.0636,4994.5045,-3514.1915,5.0945317,-7.6270423,-13.1409211,-1.0723757
2.32,4325.5844,-3130.3338,5013.6591,-3503.9579,4.2161743,-3.1318856,-10.9709791,-5.6097778
2.325,4352.5983,-3135.4813,5017.1283,-3497.0308,2.8737521,-2.8868564,-9.6159995,-5.6986254
2.33,4374.9567,-3145.2961,5019.1331,-3495.4266,2.2629108,-4.12354165,-8.9116986,-4.69196635
2.335,4401.884,-3156.5258,5022.4431,-3495.9759,2.1793383,-5.09455249,-8.7940701,-3.68050291
