k1,k2,k3,kx,ky,kz,chirality
0.12324,0.89365,0.9916,0.22022,0.89661,0.45934,1
0.12349,0.10644,0.99432,0.22066,0.10679,0.4606,-1
0.13006,0.94932,0.99671,0.23241,0.95246,0.4617,-1
0.13016,0.0499,0.99456,0.23258,0.05007,0.4607,1
0.86987,0.95002,0.00543,1.55439,0.95317,0.00252,1
0.86993,0.05058,0.00317,1.5545,0.05075,0.00147,-1
0.87651,0.89351,0.00534,1.56627,0.89646,0.00248,-1
0.87675,0.10636,0.00845,1.56669,0.10671,0.00391,1
