k1,k2,k3,kx,ky,kz,chirality
0.12152,0.89745,0.99144,0.21824,0.89952,0.45926,1
0.12197,0.10252,0.99085,0.21905,0.10276,0.45899,-1
0.12853,0.95414,0.99525,0.23081,0.95634,0.46103,-1
0.12855,0.04534,0.99328,0.23086,0.04545,0.46011,1
0.87147,0.95463,0.00662,1.56504,0.95684,0.00307,1
0.87147,0.04581,0.00476,1.56504,0.04592,0.0022,-1
0.87803,0.89738,0.0088,1.57683,0.89945,0.00407,-1
0.87844,0.10254,0.00847,1.57757,0.10278,0.00392,1
