case_dir,case_label,num_occupied,pair_n_1based,pair_m_1based,kx_cart,ky_cart,kz_cart,k1_frac,k2_frac,k3_frac,gap_eV,energy_raw_eV,energy_rel_ef_eV,fermi_energy_eV,source_find_dir,source_nodes_file,duplicate_count,duplicate_sources
Strain_b_Tension_0.4pct,Strain_b_Tension_0.4pct,56,56,57,0.21679719,-0.10309546,-0.0041592,0.12072019,0.89683363,0.99102121,1e-08,0.05791095,0.05791095,8.46074,node_search,Nodes.dat,1,Strain_b_Tension_0.4pct:N56:line4
Strain_b_Tension_0.4pct,Strain_b_Tension_0.4pct,56,56,57,0.21739229,0.10299269,-0.00384688,0.12105156,0.10306353,0.99169548,2e-08,0.05692542,0.05692542,8.46074,node_search,Nodes.dat,1,Strain_b_Tension_0.4pct:N56:line5
Strain_b_Tension_0.4pct,Strain_b_Tension_0.4pct,56,56,57,0.22908428,-0.04637091,-0.00228749,0.12756206,0.95359719,0.99506182,2e-08,0.0027928,0.0027928,8.46074,node_search,Nodes.dat,1,Strain_b_Tension_0.4pct:N56:line10
Strain_b_Tension_0.4pct,Strain_b_Tension_0.4pct,56,56,57,0.22923722,0.04567948,-0.00318955,0.12764722,0.0457109,0.99311448,2e-08,0.00181727,0.00181727,8.46074,node_search,Nodes.dat,1,Strain_b_Tension_0.4pct:N56:line9
Strain_b_Tension_0.4pct,Strain_b_Tension_0.4pct,56,56,57,-0.22925567,-0.04570754,0.0031741,0.8723425,0.95426102,0.00685216,2e-08,0.00179297,0.00179297,8.46074,node_search,Nodes.dat,1,Strain_b_Tension_0.4pct:N56:line7
Strain_b_Tension_0.4pct,Strain_b_Tension_0.4pct,56,56,57,-0.22913371,0.04630983,0.00229697,0.87241041,0.04634168,0.00495865,3e-08,0.00263905,0.00263905,8.46074,node_search,Nodes.dat,1,Strain_b_Tension_0.4pct:N56:line8
Strain_b_Tension_0.4pct,Strain_b_Tension_0.4pct,56,56,57,-0.21736254,-0.10300336,0.00366875,0.87896501,0.8969257900000001,0.00791998,2e-08,0.05696864,0.05696864,8.46074,node_search,Nodes.dat,1,Strain_b_Tension_0.4pct:N56:line3
Strain_b_Tension_0.4pct,Strain_b_Tension_0.4pct,56,56,57,-0.2168478,0.10302708,0.00419072,0.87925163,0.10309794,0.00904684,3e-08,0.05782187,0.05782187,8.46074,node_search,Nodes.dat,1,Strain_b_Tension_0.4pct:N56:line6
