omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.5,3266.2641,-667.35464,2543.3532,-2816.1469,-13.7817691,10.8737429,-16.4951649,7.7076831
1.505,3242.1625,-669.0551,2560.149,-2817.0047,-14.7055316,11.392339,-17.0094084,6.6038782
1.51,3216.6792,-670.65819,2574.4641,-2818.3417,-15.39457708,11.9147658,-17.34846892,5.4874856
1.515,3190.5053,-674.59998,2588.3268,-2821.1589,-16.40158174,12.0636492,-17.19026026,4.5713166
1.52,3160.6944,-676.73124,2605.3863,-2824.6847,-16.77663951,11.4411176,-16.82357249,4.75416
1.525,3131.9953,-683.12999,2622.9903,-2826.8271,-17.12822934,10.7304091,-16.67611066,5.0603851
1.53,3104.7172,-691.8678,2638.7507,-2829.1738,-17.4231277,10.1643986,-16.7196523,5.403105
1.535,3082.3592,-701.82061,2655.2305,-2831.6618,-17.67391733,9.6094973,-16.86758067,5.7561125
1.54,3064.5286,-711.50673,2669.8749,-2832.7842,-18.05719768,9.4380948,-17.35703632,5.8555382
1.545,3048.1905,-719.75671,2679.1692,-2835.5341,-18.58966712,9.2582934,-17.77745488,5.8950562
1.55,3028.119,-725.95941,2690.142,-2839.3175,-19.06420889,8.9927655,-18.16818911,5.7420921
1.555,2999.6999,-733.5317,2699.5675,-2843.8101,-19.01595286,8.460412,-17.98501114,5.8903812
1.56,2968.6109,-743.28681,2709.9263,-2849.4099,-19.08666866,8.2217369,-18.21871534,6.1392539
1.565,2935.4983,-755.05523,2723.5754,-2855.823,-19.53478914,8.11663794,-18.75157286,6.15806166
1.57,2901.831,-768.7109,2740.4682,-2861.8353,-19.87664989,7.970622,-19.10689811,5.8074962
1.575,2868.9448,-784.2114,2760.777,-2866.7091,-19.99773171,8.128223,-19.22108429,5.5055242
1.58,2837.2329,-801.06931,2780.5812,-2869.2434,-20.66363406,8.5465738,-19.75491994,5.1531198
1.585,2806.9673,-819.34517,2795.2456,-2871.3947,-21.97021419,8.5424736,-20.50448181,4.9462812
1.59,2777.3804,-839.18547,2808.3034,-2874.4297,-23.18083382,7.7174509,-21.19219418,5.2403085
1.595,2750.7823,-860.0266,2824.1445,-2878.5391,-23.72464105,6.54866146,-22.46297295,5.45589774
1.6,2726.529,-882.86069,2844.7081,-2883.2472,-24.378664,6.07225606,-23.004388,5.22277154
1.605,2705.6216,-907.07215,2873.2879,-2886.6577,-25.74177204,5.39982484,-24.67591596,5.16634236
1.61,2692.6032,-932.82646,2907.0723,-2887.1571,-27.11865534,4.67943121,-26.09390266,4.51098059
1.615,2696.2505,-955.92492,2955.9538,-2880.5365,-26.9539181,1.2853859,-29.1549319,5.2241259
1.62,2694.4246,-973.93448,2981.8654,-2867.888,-25.1104718,9.4260669,-28.0326082,-5.7049925
