omega_eV,Re,Im
1.50000000,2543.35320000,-2816.14690000
1.50500000,2560.14900000,-2817.00470000
1.51000000,2574.46410000,-2818.34170000
1.51500000,2588.32680000,-2821.15890000
1.52000000,2605.38630000,-2824.68470000
1.52500000,2622.99030000,-2826.82710000
1.53000000,2638.75070000,-2829.17380000
1.53500000,2655.23050000,-2831.66180000
1.54000000,2669.87490000,-2832.78420000
1.54500000,2679.16920000,-2835.53410000
1.55000000,2690.14200000,-2839.31750000
1.55500000,2699.56750000,-2843.81010000
1.56000000,2709.92630000,-2849.40990000
1.56500000,2723.57540000,-2855.82300000
1.57000000,2740.46820000,-2861.83530000
1.57500000,2760.77700000,-2866.70910000
1.58000000,2780.58120000,-2869.24340000
1.58500000,2795.24560000,-2871.39470000
1.59000000,2808.30340000,-2874.42970000
1.59500000,2824.14450000,-2878.53910000
1.60000000,2844.70810000,-2883.24720000
1.60500000,2873.28790000,-2886.65770000
1.61000000,2907.07230000,-2887.15710000
1.61500000,2955.95380000,-2880.53650000
1.62000000,2981.86540000,-2867.88800000
1.62500000,2993.10690000,-2847.12360000
1.63000000,3001.79800000,-2839.87780000
1.63500000,3016.81940000,-2834.35080000
1.64000000,3039.57160000,-2828.82140000
1.64500000,3063.80550000,-2815.59130000
1.65000000,3072.14840000,-2805.16800000
1.65500000,3085.50230000,-2798.03740000
1.66000000,3105.24420000,-2789.72890000
1.66500000,3126.98590000,-2778.47900000
1.67000000,3146.96080000,-2764.89100000
1.67500000,3166.38170000,-2748.20550000
1.68000000,3178.45380000,-2725.33880000
1.68500000,3168.44380000,-2699.14520000
1.69000000,3134.03070000,-2671.08370000
1.69500000,3078.52410000,-2654.86830000
1.70000000,3020.32820000,-2647.11100000
1.70500000,2967.28080000,-2647.52410000
1.71000000,2921.80780000,-2652.34030000
1.71500000,2881.04210000,-2659.13700000
1.72000000,2839.48390000,-2673.17140000
1.72500000,2814.53310000,-2691.64220000
1.73000000,2801.91780000,-2709.67150000
1.73500000,2796.04820000,-2723.09040000
1.74000000,2774.60010000,-2732.23700000
1.74500000,2754.32540000,-2750.18030000
1.75000000,2739.27380000,-2769.44120000
1.75500000,2728.08520000,-2789.21090000
1.76000000,2719.58200000,-2809.72340000
1.76500000,2715.29430000,-2830.36240000
1.77000000,2713.67610000,-2849.87170000
1.77500000,2712.32420000,-2869.87610000
1.78000000,2714.63340000,-2889.14380000
1.78500000,2716.29320000,-2907.51730000
1.79000000,2717.22790000,-2925.83770000
1.79500000,2716.56330000,-2944.07470000
1.80000000,2714.10940000,-2963.56590000
1.80500000,2712.23690000,-2984.74690000
1.81000000,2713.55890000,-3007.62370000
1.81500000,2718.89890000,-3031.30170000
1.82000000,2727.65250000,-3055.41220000
1.82500000,2739.99370000,-3079.65380000
1.83000000,2756.24850000,-3103.89880000
1.83500000,2777.31000000,-3127.74810000
1.84000000,2802.91840000,-3149.23370000
1.84500000,2824.27730000,-3169.90270000
1.85000000,2851.75790000,-3192.25090000
1.85500000,2883.96450000,-3209.92350000
1.86000000,2912.84900000,-3228.03920000
1.86500000,2938.12890000,-3242.19070000
1.87000000,2959.26230000,-3261.17690000
1.87500000,2987.63180000,-3281.36300000
1.88000000,3020.49520000,-3301.03350000
1.88500000,3060.34890000,-3319.12100000
1.89000000,3100.25360000,-3333.91420000
1.89500000,3142.13250000,-3346.99310000
1.90000000,3182.78820000,-3355.20510000
1.90500000,3216.42460000,-3361.51910000
1.91000000,3237.63670000,-3366.58140000
1.91500000,3257.36570000,-3378.76720000
1.92000000,3291.76910000,-3391.06800000
1.92500000,3325.96030000,-3398.17180000
1.93000000,3356.90710000,-3406.66050000
1.93500000,3393.35310000,-3414.28790000
1.94000000,3432.82750000,-3418.64150000
1.94500000,3469.83560000,-3422.59770000
1.95000000,3504.63810000,-3426.70990000
1.95500000,3551.98020000,-3428.91270000
1.96000000,3596.64100000,-3423.48440000
1.96500000,3624.43900000,-3413.93080000
1.97000000,3639.71620000,-3409.14120000
1.97500000,3653.12430000,-3407.29890000
1.98000000,3665.53960000,-3407.72440000
1.98500000,3677.99980000,-3409.31470000
1.99000000,3689.10850000,-3410.02100000
1.99500000,3693.99120000,-3415.51850000
2.00000000,3705.55720000,-3423.35160000
2.00500000,3720.61470000,-3432.05820000
2.01000000,3738.97020000,-3440.84290000
2.01500000,3758.98430000,-3449.81340000
2.02000000,3782.73800000,-3458.82220000
2.02500000,3810.18530000,-3466.96200000
2.03000000,3838.21140000,-3473.09740000
2.03500000,3864.97570000,-3478.57190000
2.04000000,3892.88350000,-3483.41070000
2.04500000,3922.41420000,-3486.18390000
2.05000000,3950.21120000,-3486.56100000
2.05500000,3971.18290000,-3484.38270000
2.06000000,3981.65300000,-3482.95360000
2.06500000,3985.91740000,-3485.24520000
2.07000000,3992.84270000,-3491.18670000
2.07500000,4007.00100000,-3497.26240000
2.08000000,4018.81290000,-3500.49210000
2.08500000,4024.59270000,-3508.64720000
2.09000000,4038.60830000,-3519.84940000
2.09500000,4060.30070000,-3531.43430000
2.10000000,4089.43720000,-3543.09320000
2.10500000,4128.06830000,-3552.35410000
2.11000000,4170.01250000,-3558.53990000
2.11500000,4216.19140000,-3561.19540000
2.12000000,4257.22110000,-3558.17120000
2.12500000,4285.34640000,-3553.56190000
2.13000000,4305.37430000,-3552.06960000
2.13500000,4327.60630000,-3553.54220000
2.14000000,4357.06860000,-3555.65890000
2.14500000,4392.02450000,-3554.62300000
2.15000000,4422.40260000,-3549.69500000
2.15500000,4442.61480000,-3546.11000000
2.16000000,4466.77150000,-3545.16700000
2.16500000,4497.20450000,-3543.46340000
2.17000000,4531.58210000,-3538.58970000
2.17500000,4560.41240000,-3527.06030000
2.18000000,4578.06450000,-3516.11790000
2.18500000,4586.08450000,-3502.66020000
2.19000000,4583.42380000,-3492.97080000
2.19500000,4576.45430000,-3488.04480000
2.20000000,4575.46710000,-3486.12680000
2.20500000,4580.81410000,-3482.57690000
2.21000000,4570.42470000,-3475.43990000
2.21500000,4549.34760000,-3476.97130000
2.22000000,4536.98630000,-3485.41520000
2.22500000,4536.76170000,-3497.38050000
2.23000000,4558.44340000,-3511.01930000
2.23500000,4609.57240000,-3494.05600000
2.24000000,4563.81390000,-3488.77940000
2.24500000,4560.31050000,-3501.64350000
2.25000000,4566.66650000,-3514.64930000
2.25500000,4581.80220000,-3528.83480000
2.26000000,4608.98110000,-3542.51640000
2.26500000,4644.72010000,-3552.14940000
2.27000000,4681.91840000,-3558.74160000
2.27500000,4719.76810000,-3563.50980000
2.28000000,4759.42820000,-3565.07450000
2.28500000,4791.32630000,-3565.38940000
2.29000000,4827.53590000,-3568.93220000
2.29500000,4876.57620000,-3568.46690000
2.30000000,4927.70650000,-3559.54780000
2.30500000,4953.62430000,-3539.63900000
2.31000000,4944.90660000,-3529.00230000
2.31500000,4947.65120000,-3528.58750000
2.32000000,4956.23260000,-3530.38110000
2.32500000,4966.01010000,-3533.35070000
2.33000000,4977.37130000,-3535.87770000
2.33500000,4984.36750000,-3539.53120000
2.34000000,4994.12290000,-3545.15940000
2.34500000,5008.07210000,-3551.41300000
2.35000000,5025.74340000,-3557.42370000
2.35500000,5044.63940000,-3563.12050000
2.36000000,5064.12390000,-3568.32110000
2.36500000,5082.26910000,-3573.14290000
2.37000000,5101.49670000,-3579.36560000
2.37500000,5125.36110000,-3587.30260000
2.38000000,5159.33980000,-3591.09650000
2.38500000,5193.80430000,-3594.13240000
2.39000000,5231.09160000,-3594.96440000
2.39500000,5268.82040000,-3588.64080000
2.40000000,5290.99430000,-3581.25370000
2.40500000,5304.07460000,-3577.69580000
2.41000000,5319.47210000,-3578.32940000
2.41500000,5340.12540000,-3578.99220000
2.42000000,5362.75580000,-3580.51880000
2.42500000,5389.92110000,-3581.05730000
2.43000000,5409.40020000,-3578.34120000
2.43500000,5424.62010000,-3580.13510000
2.44000000,5441.78500000,-3584.19820000
2.44500000,5461.08910000,-3591.22890000
2.45000000,5490.25420000,-3599.95720000
2.45500000,5524.80240000,-3609.01470000
2.46000000,5568.69450000,-3619.94720000
2.46500000,5627.03870000,-3629.88820000
2.47000000,5699.24990000,-3635.21630000
2.47500000,5778.51180000,-3635.62490000
2.48000000,5860.50900000,-3628.76900000
2.48500000,5931.77180000,-3615.04320000
2.49000000,5992.37840000,-3600.77390000
2.49500000,6050.47850000,-3586.52960000
2.50000000,6110.95480000,-3571.43760000
2.50500000,6176.42730000,-3554.35240000
2.51000000,6246.52100000,-3531.80080000
2.51500000,6310.43850000,-3501.04280000
2.52000000,6355.33210000,-3463.72400000
2.52500000,6382.48640000,-3429.61380000
2.53000000,6395.77780000,-3397.79440000
2.53500000,6403.49780000,-3371.97770000
2.54000000,6416.61770000,-3351.31930000
2.54500000,6435.43070000,-3331.82200000
2.55000000,6456.63930000,-3311.00800000
2.55500000,6479.96000000,-3288.77860000
2.56000000,6494.15970000,-3263.54220000
2.56500000,6501.19170000,-3244.58200000
2.57000000,6521.48370000,-3225.54530000
2.57500000,6533.80630000,-3201.00000000
2.58000000,6537.21510000,-3179.59610000
2.58500000,6536.94370000,-3161.77590000
2.59000000,6539.59900000,-3147.18470000
2.59500000,6546.46700000,-3133.02210000
2.60000000,6553.64490000,-3119.19340000
2.60500000,6562.14590000,-3105.39920000
2.61000000,6569.16900000,-3091.54910000
2.61500000,6576.02870000,-3078.32740000
2.62000000,6581.44110000,-3064.10080000
2.62500000,6586.06370000,-3050.70270000
2.63000000,6588.60600000,-3036.46210000
2.63500000,6585.29150000,-3024.09570000
2.64000000,6580.36290000,-3013.65500000
2.64500000,6571.29820000,-3004.23090000
2.65000000,6561.94870000,-3002.62380000
2.65500000,6565.76540000,-3004.21320000
2.66000000,6584.52860000,-3005.33200000
