k1,k2,k3,kx,ky,kz,chirality
0.1226,0.89548,0.99117,0.21951,0.89844,0.45914,1
0.12299,0.10471,0.99294,0.2202,0.10505,0.45996,-1
0.12962,0.95138,0.99527,0.23207,0.95453,0.46103,-1
0.12965,0.04801,0.99496,0.23213,0.04817,0.46089,1
0.87037,0.95192,0.00509,1.55839,0.95507,0.00236,1
0.87038,0.04853,0.00466,1.5584,0.04869,0.00216,-1
0.87702,0.89525,0.00666,1.57029,0.89821,0.00308,-1
0.87738,0.10452,0.00894,1.57094,0.10487,0.00414,1
