omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.5,3311.9238,-686.36416,2547.9953,-2826.3427,-7.8053407,11.6937252,-4.1422631,-0.3827778
1.505,3293.3378,-688.31765,2571.2084,-2829.3639,-8.9824717,10.7817793,-5.0411261,1.4262709
1.51,3276.9338,-688.17814,2597.1495,-2829.6339,-10.8239019,10.6166132,-6.1282051,1.7286698
1.515,3254.9527,-687.46315,2616.7529,-2827.4581,-11.1446306,7.8963376,-6.3875744,4.6759896
1.52,3230.0368,-688.77817,2627.7154,-2825.4435,-11.296562,8.1051708,-7.7121528,4.5443194
1.525,3209.2988,-689.40838,2638.4598,-2827.227,-11.261943,7.4255435,-8.0148322,5.3681743
1.53,3174.8284,-690.63613,2652.4725,-2829.1957,-11.4213653,7.42336403,-8.5153061,5.80220037
1.535,3148.5816,-698.08439,2666.1625,-2830.6794,-11.542498,7.35575394,-9.201582,6.39497566
1.54,3129.8167,-706.07456,2680.1664,-2832.1216,-12.2052137,7.34142967,-10.1844063,6.80598173
1.545,3113.3881,-711.48558,2689.1585,-2832.3512,-12.33793741,7.05275988,-10.82558459,7.13559332
1.55,3091.0073,-715.50475,2696.2876,-2835.7245,-12.86592221,7.11126457,-11.74383979,7.59881203
1.555,3062.9309,-720.69611,2705.2138,-2839.7755,-13.21944201,6.98556126,-12.63760399,7.77456054
1.56,3030.7945,-728.01238,2713.006,-2844.6901,-13.77967691,7.42747783,-13.79363909,7.70405777
1.565,2995.8941,-737.50478,2723.1641,-2850.8965,-14.76166133,7.69338455,-15.07574867,7.48385665
1.57,2959.2564,-749.27442,2736.1331,-2857.4038,-15.48409492,7.78794694,-16.10907108,7.07089546
1.575,2922.4763,-763.19671,2752.4368,-2863.2568,-15.88945348,7.96393514,-16.74968052,6.58739066
1.58,2886.487,-779.15693,2770.6335,-2867.6727,-16.40919706,8.2945823,-17.48103294,6.1914013
1.585,2852.9606,-797.2061,2786.2458,-2870.3251,-17.28479351,8.6860463,-18.40191649,5.5713449
1.59,2826.6834,-816.04732,2798.8295,-2873.7947,-18.09511177,8.5122549,-19.10226023,5.1408271
1.595,2792.9187,-833.43895,2812.3612,-2877.4957,-18.53611842,8.7613332,-19.72971158,4.2723154
1.6,2761.9804,-855.54624,2825.8951,-2881.6906,-18.83903641,9.0586049,-19.93629759,3.5828933
1.605,2736.4275,-879.27384,2843.6413,-2886.7097,-19.8160747,9.322676,-20.9232953,2.9443406
1.61,2717.2498,-903.81443,2868.2795,-2889.7618,-21.24051863,9.541203,-22.64143737,1.962703
1.615,2703.8088,-927.87964,2894.1818,-2890.5321,-22.3109014,11.348253,-24.4807106,-0.5466902
1.62,2691.2666,-950.49815,2919.5328,-2891.1283,-23.63798019,14.5231659,-25.44740781,-7.5227421
1.625,2685.0637,-975.20988,2952.0465,-2891.2157,-24.3885341,17.8570703,-21.7701239,-13.2902797
1.63,2696.1158,-998.8858,3000.5213,-2887.1905,-26.7554943,20.1781894,-18.3085197,-16.3797526
1.635,2695.2577,-1007.4486,3025.1314,-2865.5259,-32.362657,6.45803566,-10.437587,-4.53792074
1.64,2686.5879,-1026.0555,3039.4648,-2856.4401,-29.5113308,-1.2899883,-12.8133392,3.7340739
1.645,2679.1499,-1043.0045,3052.4667,-2844.4536,-26.6990006,1.4005598,-16.4125374,0.48977818
1.65,2677.2993,-1062.0747,3068.0952,-2837.7522,-27.6597281,1.60089132,-17.2376679,0.40771888
1.655,2675.0825,-1079.7849,3084.9161,-2828.0781,-28.7825909,0.48630516,-18.3092371,0.65730148
1.66,2673.9509,-1099.2231,3098.9568,-2820.8486,-31.0433116,-1.84639443,-20.6398584,3.16786297
1.665,2686.9869,-1115.6422,3122.5082,-2810.8763,-35.86655,-4.8996566,-26.939314,2.4524108
1.67,2689.6557,-1121.695,3134.2553,-2797.4851,-34.9450116,-7.8674521,-26.0156944,-0.1140823
1.675,2669.1842,-1133.4892,3149.6729,-2787.2121,-32.7296581,-11.8600628,-24.1754079,0.0370286000000002
1.68,2654.3468,-1150.1994,3172.7984,-2773.9663,-29.2505356,-14.9925823,-21.8622264,0.8523381
1.685,2642.5626,-1167.8197,3194.8789,-2752.4112,-25.3909535,-17.8197781,-20.2507545,1.9925227
1.69,2631.7572,-1186.0303,3195.8601,-2725.2218,-20.7737547,-18.7889956,-18.4588413,2.3696124
1.695,2623.7368,-1203.8915,3182.0161,-2697.4958,-17.87947132,-17.1051521,-18.83085268,1.1666713
1.7,2614.3724,-1220.2476,3144.3309,-2667.0911,-18.96363893,-15.5175935,-20.34944907,-1.3220785
1.705,2601.5386,-1236.3947,3076.1591,-2646.625,-17.6314032,-17.958805,-19.4620088,-2.686029
1.71,2585.3312,-1252.9435,3006.8416,-2639.7156,-11.9363247,-18.2196429,-16.8738693,-3.4722171
1.715,2565.5686,-1271.9388,2943.1326,-2643.6296,-10.2082365,-16.3745644,-15.5714235,-4.8091576
1.72,2543.2599,-1292.7439,2888.7416,-2652.0226,-8.1567983,-16.2512661,-15.3064117,-6.2786079
1.725,2520.3775,-1318.1924,2839.9631,-2668.7391,-5.6198467,-13.6813962,-12.5644299,-7.8886878
1.73,2505.3291,-1347.3202,2808.377,-2690.0247,-4.6234392,-11.5007048,-11.8454724,-8.6273712
1.735,2496.3978,-1376.3102,2791.4995,-2711.7374,-4.8541936,-9.22639774,-11.8165378,-9.60119146
1.74,2494.4886,-1407.0062,2786.471,-2729.9484,-5.5535925,-7.1211442,-11.8093817,-10.9075638
