case_label,eps_percent,pair_n_1based,pair_m_1based,node1_chirality,node2_chirality,point_index,delta_k_frac,band_n_index,band_m_index,band_56_raw_HR_E_eV,band_57_raw_HR_E_eV,band_n_energy_eV,band_m_energy_eV,energy_reference,pair_distance_frac,node1_delta_k_frac,node2_delta_k_frac,node1_E_minus_EF_eV,node2_E_minus_EF_eV,fermi_energy_eV,case_short,selected_pair_id,family_plus,family_minus,band_energy_reference
00_Optimized_Structure,0.0,56,57,1,-1,121,0.0185220008636594,56,57,8.549436022077314,8.568837267385199,8.549436022077314,8.568837267385199,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,122,0.0191194847624871,56,57,8.55048949655896,8.569208793837898,8.55048949655896,8.569208793837898,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,123,0.0197169686613148,56,57,8.55154109103296,8.569489826194564,8.55154109103296,8.569489826194564,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,124,0.0203144525601425,56,57,8.55259049245255,8.569670054804,8.55259049245255,8.569670054804,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,125,0.0209119364589703,56,57,8.553637416797896,8.569750318508573,8.553637416797896,8.569750318508573,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,126,0.021509420357798,56,57,8.554681605550806,8.569742424661499,8.554681605550806,8.569742424661499,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,127,0.0221069042566257,56,57,8.55572282267288,8.5696637886673,8.55572282267288,8.5696637886673,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,128,0.0227043881554534,56,57,8.5567608520085,8.569531721419077,8.5567608520085,8.569531721419077,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,129,0.0233018720542812,56,57,8.557795495046724,8.56936048571822,8.557795495046724,8.56936048571822,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
00_Optimized_Structure,0.0,56,57,1,-1,130,0.0238993559531089,56,57,8.558826568986408,8.569160785220154,8.558826568986408,8.569160785220154,raw_HR_eigenvalue_eV,0.0575471017889902,-0.0287735508944951,0.0287735508944951,0.00304302,0.0589698,0.0,0%,pair_04,F08,F03,raw_HR_eigenvalue_eV
