path,strain_percent,case_label,case_short,family_id,pair_id,chirality,k1_centered,k2_centered,k3_centered,energy_minus_EF_eV,tilt_ratio,typeII_flag,singular_v1,singular_v2,singular_v3,mean_cone_slope_eV_per_reduced_dk,min_cone_slope_eV_per_reduced_dk,max_cone_slope_eV_per_reduced_dk,detB,condition_G,stability_indicator,window,window_reduced_dk,status
a,0.0,00_Optimized_Structure,0%,F01,a_pair_02,-1,-0.1287312099999999,0.04622064,0.0070492699999999,0.00399565,2.2408500181495685,True,3.001843039212775,0.37607689971161906,0.16058106906908867,1.1795003359978276,0.16058106906908867,3.001843039212775,0.181283794492543,349.4517907100018,0.05349415907875071,analytic_dH,0.0,ok
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F01,a_pair_02,-1,-0.1290950399999999,0.04665706,0.00494863,0.00287102,2.274018433888093,True,3.0110058497107137,0.3683799400192237,0.16350823136256706,1.1809646736975015,0.16350823136256706,3.0110058497107137,0.18136237440957464,339.11262350296425,0.05430352497597317,analytic_dH,0.0,ok
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F01,a_pair_02,-1,-0.1293578900000001,0.04757524,0.0047895999999999,0.00195495,2.3039541343720558,True,3.008320889490573,0.36282579342369226,0.16612292512951668,1.1790898693479273,0.16612292512951668,3.008320889490573,0.18132257699602167,327.93606376997957,0.055221145360476426,analytic_dH,0.0,ok
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F01,a_pair_02,-1,-0.12962391,0.04852926,0.0046562199999999,0.00105816,2.333997858724811,True,3.0057879792609326,0.3572655611965407,0.16862865811659739,1.1772273995246902,0.16862865811659739,3.0057879792609326,0.18108433456618156,317.7268509673969,0.05610131495637295,analytic_dH,0.0,ok
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F01,a_pair_02,-1,-0.12989366,0.04937033,0.00445457,0.00010042,2.3583895126613448,True,2.9977881102660637,0.35237618795228215,0.17077956821006302,1.1736479554761363,0.17077956821006302,2.9977881102660637,0.1804028511327236,308.12720408819825,0.056968525435543794,analytic_dH,0.0,ok
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F01,a_pair_02,-1,-0.13007221,0.0505813499999999,0.0031733499999999,-0.00052585,2.3954966510591906,True,2.9835218005841555,0.3467588207946094,0.17297704097545316,1.1677525541180727,0.17297704097545316,2.9835218005841555,0.17895556019383926,297.4962556447888,0.057977468420571054,analytic_dH,0.0,ok
a,0.0,00_Optimized_Structure,0%,F02,a_pair_03,-1,-0.1222754699999999,-0.1025682599999999,0.0074444299999999,0.05899433,1.2713083047643758,True,2.1819235375077914,0.8589355882677967,0.10654564296992573,1.0491349229151714,0.10654564296992573,2.1819235375077914,0.1996805752168963,419.3799517586374,0.048831061739048345,analytic_dH,0.0,ok
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F02,a_pair_03,-1,-0.12248389,-0.1031658699999999,0.0075162399999999,0.05796364,1.2643287060733248,True,2.1735491765509782,0.8444578606381339,0.10957973167543592,1.0425289229548493,0.10957973167543592,2.1735491765509782,0.20113038544774833,393.4399677439334,0.050415114991471575,analytic_dH,0.0,ok
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F02,a_pair_03,-1,-0.1227229699999998,-0.1039756899999999,0.00699912,0.05681064,1.2500955446908173,True,2.150353556668859,0.8323081216635956,0.1111217048158832,1.0312611277161126,0.1111217048158832,2.150353556668859,0.19888081900592902,374.47424325644795,0.05167601600735058,analytic_dH,0.0,ok
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F02,a_pair_03,-1,-0.1229826,-0.10474899,0.00665753,0.05563609,1.2379542172160638,True,2.1303334389365993,0.8199208872974152,0.11226857201034612,1.0208409660814535,0.11226857201034612,2.1303334389365993,0.19610006299317298,360.0632285241739,0.05269999989597278,analytic_dH,0.0,ok
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F02,a_pair_03,-1,-0.1232338400000001,-0.1053622,0.0062383,0.05457114,1.2277802251536276,True,2.107442413665176,0.8058960494487072,0.11211120285123256,1.008483221988372,0.11211120285123256,2.107442413665176,0.1904073703933135,353.3567632854858,0.053197753886073416,analytic_dH,0.0,ok
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F02,a_pair_03,-1,-0.12348585,-0.1064928899999999,0.00534341,0.05366035,1.182527808397684,True,2.0979800661277297,0.7990417568845464,0.11874055488892457,1.0052541259670669,0.11874055488892457,2.0979800661277297,0.19905354072066841,312.1796336900402,0.05659756105694828,analytic_dH,0.0,ok
a,0.0,00_Optimized_Structure,0%,F03,a_pair_04,-1,0.12228328,0.10249297,-0.0076273900000001,0.0589698,1.2707705778109304,True,2.1905811991916355,0.8588801759197952,0.10694205197522605,1.0521344756955522,0.10694205197522605,2.1905811991916355,0.2012057778091378,419.58667343397286,0.048819031230017684,analytic_dH,0.0,ok
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F03,a_pair_04,-1,0.12249021,0.1031792099999999,-0.0076920199999999,0.05793641,1.269520164606554,True,2.170499307510484,0.843025386166138,0.10968325156050152,1.0410693150790413,0.10968325156050152,2.170499307510484,0.20069687999214442,391.596381372085,0.05053364964502377,analytic_dH,0.0,ok
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F03,a_pair_04,-1,0.12273524,0.1039520899999999,-0.0073805399999999,0.05677307,1.2534512187675302,True,2.1533062194260886,0.8314917435591358,0.1112160950314986,1.0320046860055743,0.1112160950314986,2.1533062194260886,0.19912756277140933,374.866218327788,0.051648991689226875,analytic_dH,0.0,ok
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F03,a_pair_04,-1,0.1229851899999999,0.10470508,-0.007057,0.05563141,1.2419709902312255,True,2.136085430924025,0.8187403256191773,0.11241553466848905,1.0224137637372304,0.11241553466848905,2.136085430924025,0.1966034477847544,361.06432088355064,0.05262689077929832,analytic_dH,0.0,ok
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F03,a_pair_04,-1,0.12323488,0.1053715899999999,-0.0065629,0.05455959,1.2355092554420024,True,2.1081977259560634,0.8037156953318862,0.11221815475201981,1.0080438586799898,0.11221815475201981,2.1081977259560634,0.1901414989155416,352.93638639895903,0.053229425954877695,analytic_dH,0.0,ok
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F03,a_pair_04,-1,0.1234850699999999,0.1064381599999999,-0.00567607,0.05362817,1.1775049711668624,True,2.109545065679031,0.7984134159437284,0.11921638749007324,1.0090582897042775,0.11921638749007324,2.109545065679031,0.20079485984215442,313.11631684806423,0.056512842237716916,analytic_dH,0.0,ok
a,0.0,00_Optimized_Structure,0%,F04,a_pair_01,-1,0.1287295499999999,-0.0462712199999999,-0.0070275099999999,0.00402555,2.2457219344641475,True,3.0017158922107354,0.37565531587518236,0.16068102256955982,1.179350743551826,0.16068102256955982,3.0017158922107354,0.18118561328668767,348.9875992917175,0.05352972377782888,analytic_dH,0.0,ok
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F04,a_pair_01,-1,0.1290754499999999,-0.0467063699999998,-0.00495277,0.00299077,2.2750643009204383,True,3.0092505038120874,0.36883050826368197,0.1636732016627928,1.180584737912854,0.1636732016627928,3.0092505038120874,0.1816614418382234,338.03489010450323,0.05439002218507675,analytic_dH,0.0,ok
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F04,a_pair_01,-1,0.12934798,-0.04766921,-0.0049037899999999,0.00202076,2.307154507817671,True,3.0069763522616597,0.3628533881479807,0.16619787662780058,1.1786758723458137,0.16619787662780058,3.0069763522616597,0.1813371000628533,327.3475415784923,0.055270762772310106,analytic_dH,0.0,ok
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F04,a_pair_01,-1,0.12961507,-0.0486235699999999,-0.00473002,0.00113055,2.338702595884099,True,3.0041761946299657,0.3571310413256539,0.1687597883827133,1.1766890081127777,0.1687597883827133,3.0041761946299657,0.1810597734502823,316.89315367326503,0.0561750634614492,analytic_dH,0.0,ok
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F04,a_pair_01,-1,0.12987322,-0.04943929,-0.00437752,0.0002194,2.3614765960548922,True,2.9958089884956265,0.35259604359029695,0.17092823550427788,1.1731110891967338,0.17092823550427788,2.9958089884956265,0.18055327225203815,307.18543504611165,0.05705578565277992,analytic_dH,0.0,ok
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F04,a_pair_01,-1,0.1300601,-0.05068139,-0.0032869199999998,-0.0004427,2.401009138384175,True,2.982140578859164,0.3465208177019314,0.1730204100684856,1.167227268876527,0.1730204100684856,2.982140578859164,0.17879475722655477,297.0718841669161,0.058018864467709166,analytic_dH,0.0,ok
a,0.0,00_Optimized_Structure,0%,F05,a_pair_03,1,-0.12877157,-0.0453985599999999,0.00712902,0.00318708,2.1479468675173563,True,2.95519947724941,0.38254119851604196,0.15641162037488887,1.1647174320467804,0.15641162037488887,2.95519947724941,-0.17682107666727967,356.97316691784016,0.052927601530462845,analytic_dH,0.0,ok
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F05,a_pair_03,1,-0.1290985,-0.04623076,0.0055732699999999,0.00218542,2.184240952775825,True,2.964468363797795,0.3739230365559023,0.15885954469379476,1.1657503150158306,0.15885954469379476,2.964468363797795,-0.17609310664513836,348.23066567023847,0.053587869796080066,analytic_dH,0.0,ok
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F05,a_pair_03,1,-0.1293619000000001,-0.0471472299999999,0.0052862599999999,0.00125968,2.213073212521529,True,2.962620287110313,0.3683197450894246,0.16165876460465992,1.1641995989347993,0.16165876460465992,2.962620287110313,-0.176400677749531,335.8562802293306,0.05456614379777268,analytic_dH,0.0,ok
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F05,a_pair_03,1,-0.12962896,-0.0480817500000001,0.005085,0.00036893,2.242987824514905,True,2.960460566110667,0.362719273552436,0.16432449291143597,1.162501444191513,0.16432449291143597,2.960460566110667,-0.17645428708548516,324.57417330416894,0.055506394779417316,analytic_dH,0.0,ok
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F05,a_pair_03,1,-0.1299128999999999,-0.0488380299999999,0.00473405,-0.00064429,2.263434778560809,True,2.954587748168769,0.3578118707555456,0.1668324302248868,1.159744016383067,0.1668324302248868,2.954587748168769,-0.1763730045880739,313.6410021851436,0.05646555270808535,analytic_dH,0.0,ok
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F05,a_pair_03,1,-0.1301334299999998,-0.0499778499999998,0.00543225,-0.00130432,2.296460371065796,True,2.947562502711781,0.35288974687198016,0.1690711412168977,1.156507796933553,0.1690711412168977,2.947562502711781,-0.17586181351903424,303.93945319513966,0.057359645829851244,analytic_dH,0.0,ok
a,0.0,00_Optimized_Structure,0%,F06,a_pair_02,1,-0.1218222799999999,0.1023527399999999,0.00899671,0.0601848,1.2362143628619424,True,2.2676384370174665,0.8778624550058639,0.12577594965691746,1.090425613893416,0.12577594965691746,2.2676384370174665,-0.2503789939813483,325.0516757786965,0.055465610215332875,analytic_dH,0.0,ok
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F06,a_pair_02,1,-0.12210462,0.1030385799999999,0.00900736,0.0589735,1.2181652934542775,True,2.2512040148785974,0.8676108011213104,0.1279024625915049,1.0822390928638044,0.1279024625915049,2.2512040148785974,-0.24981511457635386,309.79321134561553,0.05681513614322618,analytic_dH,0.0,ok
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F06,a_pair_02,1,-0.1223616,0.10378774,0.0090000999999999,0.05780823,1.2179755854039445,True,2.228410883504305,0.8530857379810337,0.1292271829212424,1.0702412681355271,0.1292271829212424,2.228410883504305,-0.24566417559345471,297.36016402003304,0.05799073405979116,analytic_dH,0.0,ok
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F06,a_pair_02,1,-0.1226210700000001,0.1045238699999999,0.0089372399999999,0.05661951,1.2133290290207481,True,2.2120553396394755,0.8385042132614677,0.13064090086710928,1.0604001512560177,0.13064090086710928,2.2120553396394755,-0.24231505817970267,286.70392745447435,0.05905860424287638,analytic_dH,0.0,ok
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F06,a_pair_02,1,-0.1229582799999999,0.1053645699999999,0.0088372599999999,0.05533204,1.2184599676933447,True,2.1864843083813947,0.8264915656341241,0.13123487878519896,1.0480702509335724,0.13123487878519896,2.1864843083813947,-0.23715597194283183,277.58384100777874,0.060020956145049674,analytic_dH,0.0,ok
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F06,a_pair_02,1,-0.1232522999999998,0.1063627499999999,0.00844756,0.05440371,1.1711295896845275,True,2.1679420393645046,0.8184152202256576,0.13784125977341427,1.0413995064545254,0.13784125977341427,2.1679420393645046,-0.2445685440032894,247.36421174800154,0.06358161669941144,analytic_dH,0.0,ok
a,0.0,00_Optimized_Structure,0%,F07,a_pair_01,1,0.1218044799999999,-0.1023374399999998,-0.00898317,0.06023216,1.2236972102293608,True,2.2758777144326845,0.8792933615907114,0.1261523476112317,1.0937744745448759,0.1261523476112317,2.2758777144326845,-0.25245155750809195,325.4671587738526,0.05543019592451087,analytic_dH,0.0,ok
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F07,a_pair_01,1,0.1220915599999999,-0.10310785,-0.0090418899999999,0.05902035,1.2181281979341376,True,2.2478269693828676,0.8666906734527487,0.1275986082548893,1.0807054170301686,0.1275986082548893,2.2478269693828676,-0.24858386612219563,310.33723056956757,0.05676531601092099,analytic_dH,0.0,ok
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F07,a_pair_01,1,0.1223475,-0.10381177,-0.0089176800000001,0.0577957,1.2115830065113853,True,2.233165530123667,0.8533631360226109,0.12931184573969612,1.0719468372953245,0.12931184573969612,2.233165530123667,-0.2464297318473235,298.23953260442886,0.057905177200426865,analytic_dH,0.0,ok
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F07,a_pair_01,1,0.12259894,-0.1045234699999999,-0.00882651,0.05663103,1.2049201293900424,True,2.2192171866929624,0.8388294862358662,0.13093807220353793,1.0629949150441222,0.13093807220353793,2.2192171866929624,-0.24374708907703224,287.2550875601161,0.0590019187795943,analytic_dH,0.0,ok
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F07,a_pair_01,1,0.12294022,-0.1054098999999999,-0.00883962,0.05540115,1.2113733396492048,True,2.186952568592606,0.8263239659517941,0.1311104035299449,1.048128979358115,0.1311104035299449,2.186952568592606,-0.23693371657423853,278.23029735543116,0.05995118751675527,analytic_dH,0.0,ok
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F07,a_pair_01,1,0.1232370099999999,-0.1063513199999999,-0.0083953299999999,0.05442609,1.1622794882004224,True,2.1769463945047747,0.8184905366714698,0.13809840485121783,1.0445117786758207,0.13809840485121783,2.1769463945047747,-0.24606512188875282,248.4952809956375,0.06343675030300105,analytic_dH,0.0,ok
a,0.0,00_Optimized_Structure,0%,F08,a_pair_04,1,0.1287958,0.04531655,-0.0072912299999998,0.00304302,2.1454085047932745,True,2.957891835695124,0.38207075564480814,0.15641693652652963,1.1654598426221539,0.15641693652652963,2.957891835695124,-0.1767705290917154,357.5996010548699,0.05288122257850265,analytic_dH,0.0,ok
a,0.1,Strain_a_Tension_0.1pct,a +0.1%,F08,a_pair_04,1,0.12909636,0.04616737,-0.0056508399999999,0.00215594,2.1790587102983716,True,2.9648625353450275,0.3742863687988949,0.15907746760235086,1.1660754572487577,0.15907746760235086,2.9648625353450275,-0.17652947993199378,347.3695828581561,0.05365424727316698,analytic_dH,0.0,ok
a,0.2,Strain_a_Tension_0.2pct,a +0.2%,F08,a_pair_04,1,0.12937862,0.04707329,-0.0052738599999999,0.00114386,2.2080406195961513,True,2.9644054917931144,0.368306508656543,0.16175008069610786,1.164820693715255,0.16175008069610786,2.9644054917931144,-0.17660032922735916,335.88159457700476,0.054564087519035125,analytic_dH,0.0,ok
a,0.3,Strain_a_Tension_0.3pct,a +0.3%,F08,a_pair_04,1,0.12964792,0.04801133,-0.0050432900000001,0.00024225,2.238614413674717,True,2.962379458067186,0.3625698622507238,0.16442139781005508,1.1631235727093217,0.16442139781005508,2.962379458067186,-0.1766000105157331,324.61209914998034,0.055503152157736185,analytic_dH,0.0,ok
a,0.4,Strain_a_Tension_0.4pct,a +0.4%,F08,a_pair_04,1,0.12991882,0.04877149,-0.0048355500000001,-0.00070706,2.257569946305426,True,2.9555297345959586,0.3581334760559177,0.16688393508266644,1.1601823819115142,0.16688393508266644,2.9555297345959586,-0.17664232923879694,313.6473355053133,0.05646498261519965,analytic_dH,0.0,ok
a,0.5,Strain_a_Tension_0.5pct,a +0.5%,F08,a_pair_04,1,0.13015649,0.0499042299999999,-0.0054440200000001,-0.00144385,2.2923533707667882,True,2.9496440489187576,0.3526269232513522,0.16914599463106164,1.1571389889337238,0.16914599463106164,2.9496440489187576,-0.1759327925618778,304.0995546598134,0.05734454457074744,analytic_dH,0.0,ok
b,0.0,00_Optimized_Structure,0%,F01,b_pair_02,-1,-0.1287312099999999,0.04622064,0.0070492699999999,0.00399565,2.2408500181495685,True,3.001843039212775,0.37607689971161906,0.16058106906908867,1.1795003359978276,0.16058106906908867,3.001843039212775,0.181283794492543,349.4517907100018,0.05349415907875071,analytic_dH,0.0,ok
b,0.1,Strain_b_Tension_0.1pct,b +0.1%,F01,b_pair_02,-1,-0.1285296900000001,0.04581458,0.0047589099999999,0.00355538,2.223173851953731,True,3.002057326488768,0.3775653763186089,0.16076963410208314,1.18013077896982,0.16076963410208314,3.002057326488768,0.18222802407378694,348.682310901887,0.05355315259423133,analytic_dH,0.0,ok
b,0.2,Strain_b_Tension_0.2pct,b +0.2%,F01,b_pair_02,-1,-0.1282437600000001,0.0458617399999999,0.0042454199999999,0.00316809,2.2033486534530584,True,2.9925970044201873,0.3805134299424739,0.16044399107222237,1.1778514751449611,0.16044399107222237,2.9925970044201873,0.18270131909539158,347.8961002637548,0.05361363084813628,analytic_dH,0.0,ok
b,0.3,Strain_b_Tension_0.3pct,b +0.3%,F01,b_pair_02,-1,-0.1279753999999999,0.04591489,0.0050221,0.00276255,2.18212172698322,True,2.983198126344261,0.38362015514975983,0.16017399196753979,1.1756640911538536,0.16017399196753979,2.983198126344261,0.1833055074963222,346.88074732183554,0.053692039611135,analytic_dH,0.0,ok
b,0.4,Strain_b_Tension_0.4pct,b +0.4%,F01,b_pair_02,-1,-0.1275895899999999,0.04634168,0.0049586499999999,0.00263905,2.168738798018548,True,2.9540313784283763,0.3875175218276598,0.15935482469440296,1.166967908316813,0.15935482469440296,2.9540313784283763,0.18241966978514942,343.63688578036215,0.053944865263815846,analytic_dH,0.0,ok
b,0.5,Strain_b_Tension_0.5pct,b +0.5%,F01,b_pair_02,-1,-0.12729729,0.0464010599999999,0.00547971,0.00234332,2.1480966200084306,True,2.9430396774425747,0.39087619460475737,0.15906363228039522,1.1643265014425757,0.15906363228039522,2.9430396774425747,0.18298110009477078,342.334322200406,0.054047396472281815,analytic_dH,0.0,ok
b,0.0,00_Optimized_Structure,0%,F02,b_pair_03,-1,-0.1222754699999999,-0.1025682599999999,0.0074444299999999,0.05899433,1.2713083047643758,True,2.1819235375077914,0.8589355882677967,0.10654564296992573,1.0491349229151714,0.10654564296992573,2.1819235375077914,0.1996805752168963,419.3799517586374,0.048831061739048345,analytic_dH,0.0,ok
