  0.15000000E+01  0.22929939E+00  0.12422710E+01
  0.15050000E+01  0.30173988E+00  0.10123656E+01
  0.15100000E+01  0.43596941E+00  0.10497807E+01
  0.15150000E+01  0.51886943E+00  0.15998261E+01
  0.15200000E+01  0.46311909E+00  0.22115530E+01
  0.15250000E+01  0.49041365E+00  0.26594311E+01
  0.15300000E+01 -0.29739500E+00  0.33642349E+01
  0.15350000E+01 -0.54725825E+00  0.30790422E+01
  0.15400000E+01 -0.78873854E+00  0.28378759E+01
  0.15450000E+01 -0.99421717E+00  0.25285418E+01
  0.15500000E+01 -0.11736332E+01  0.20580905E+01
  0.15550000E+01 -0.12501162E+01  0.14780534E+01
  0.15600000E+01 -0.13022121E+01  0.11564237E+01
  0.15650000E+01 -0.11629843E+01  0.83795856E+00
  0.15700000E+01 -0.11820090E+01  0.74382004E+00
  0.15750000E+01 -0.12376678E+01  0.69856868E+00
  0.15800000E+01 -0.13077204E+01  0.41441177E+00
  0.15850000E+01 -0.12273480E+01  0.26719361E+00
  0.15900000E+01 -0.13229952E+01  0.40759004E+00
  0.15950000E+01 -0.15582844E+01  0.14016518E+00
  0.16000000E+01 -0.18214302E+01 -0.59249901E+00
  0.16050000E+01 -0.17048355E+01 -0.20957840E+01
  0.16100000E+01 -0.10971787E+01 -0.25342156E+01
  0.16150000E+01 -0.93088473E+00 -0.24177909E+01
  0.16200000E+01 -0.69768346E+00 -0.28153170E+01
  0.16250000E+01 -0.39002806E+00 -0.26215825E+01
  0.16300000E+01 -0.22882820E+00 -0.24838505E+01
  0.16350000E+01 -0.10599439E+00 -0.24552005E+01
  0.16400000E+01  0.81121454E-01 -0.23587292E+01
  0.16450000E+01  0.32351721E+00 -0.17444531E+01
  0.16500000E+01  0.29827254E+00 -0.14772985E+01
  0.16550000E+01  0.67137632E+00 -0.12121089E+01
  0.16600000E+01  0.41739808E+00 -0.50364401E+00
  0.16650000E+01  0.45451368E+00 -0.65570575E+00
  0.16700000E+01  0.50071930E+00 -0.88319013E+00
  0.16750000E+01  0.61351252E+00 -0.94025592E+00
  0.16800000E+01  0.71860491E+00 -0.63369519E+00
  0.16850000E+01  0.69969032E+00 -0.30178661E+00
  0.16900000E+01  0.65616939E+00 -0.26987670E+00
