  0.15000000E+01  0.25779764E+04 -0.28384018E+04
  0.15050000E+01  0.25978147E+04 -0.28420808E+04
  0.15100000E+01  0.26204840E+04 -0.28461026E+04
  0.15150000E+01  0.26475375E+04 -0.28491625E+04
  0.15200000E+01  0.26779835E+04 -0.28496547E+04
  0.15250000E+01  0.27008662E+04 -0.28447722E+04
  0.15300000E+01  0.27199071E+04 -0.28391305E+04
  0.15350000E+01  0.27317990E+04 -0.28364808E+04
  0.15400000E+01  0.27432384E+04 -0.28345983E+04
  0.15450000E+01  0.27534167E+04 -0.28341942E+04
  0.15500000E+01  0.27611962E+04 -0.28346149E+04
  0.15550000E+01  0.27728457E+04 -0.28371568E+04
  0.15600000E+01  0.27817594E+04 -0.28382356E+04
  0.15650000E+01  0.27920078E+04 -0.28411654E+04
  0.15700000E+01  0.28072888E+04 -0.28459154E+04
  0.15750000E+01  0.28263520E+04 -0.28495615E+04
  0.15800000E+01  0.28475012E+04 -0.28513498E+04
  0.15850000E+01  0.28655052E+04 -0.28508565E+04
  0.15900000E+01  0.28800942E+04 -0.28506604E+04
  0.15950000E+01  0.28954575E+04 -0.28506435E+04
  0.16000000E+01  0.29100752E+04 -0.28506748E+04
  0.16050000E+01  0.29291569E+04 -0.28500617E+04
  0.16100000E+01  0.29459932E+04 -0.28477439E+04
  0.16150000E+01  0.29610362E+04 -0.28457108E+04
  0.16200000E+01  0.29753765E+04 -0.28429294E+04
  0.16250000E+01  0.29875700E+04 -0.28424474E+04
  0.16300000E+01  0.30092253E+04 -0.28428989E+04
  0.16350000E+01  0.30399802E+04 -0.28415584E+04
  0.16400000E+01  0.30695952E+04 -0.28315556E+04
  0.16450000E+01  0.31046810E+04 -0.28217384E+04
  0.16500000E+01  0.31311933E+04 -0.28022085E+04
  0.16550000E+01  0.31375443E+04 -0.27784544E+04
  0.16600000E+01  0.31236795E+04 -0.27706498E+04
  0.16650000E+01  0.31295608E+04 -0.27638233E+04
  0.16700000E+01  0.31433465E+04 -0.27577029E+04
  0.16750000E+01  0.31626795E+04 -0.27500130E+04
  0.16800000E+01  0.31880555E+04 -0.27352712E+04
  0.16850000E+01  0.32116085E+04 -0.27155649E+04
  0.16900000E+01  0.32164960E+04 -0.26876147E+04
  0.16950000E+01  0.31992853E+04 -0.26564905E+04
  0.17000000E+01  0.31363046E+04 -0.26223013E+04
  0.17050000E+01  0.30505048E+04 -0.26117728E+04
  0.17100000E+01  0.29827553E+04 -0.26151343E+04
  0.17150000E+01  0.29330623E+04 -0.26249660E+04
  0.17200000E+01  0.28948742E+04 -0.26346659E+04
  0.17250000E+01  0.28558190E+04 -0.26491544E+04
  0.17300000E+01  0.28266580E+04 -0.26679661E+04
  0.17350000E+01  0.28098403E+04 -0.26881740E+04
  0.17400000E+01  0.28044962E+04 -0.27043919E+04
  0.17450000E+01  0.27912536E+04 -0.27166024E+04
  0.17500000E+01  0.27692580E+04 -0.27316372E+04
  0.17550000E+01  0.27504039E+04 -0.27507958E+04
  0.17600000E+01  0.27361796E+04 -0.27714559E+04
  0.17650000E+01  0.27275332E+04 -0.27933449E+04
  0.17700000E+01  0.27236295E+04 -0.28145052E+04
  0.17750000E+01  0.27214071E+04 -0.28352103E+04
  0.17800000E+01  0.27200503E+04 -0.28547523E+04
  0.17850000E+01  0.27188436E+04 -0.28747442E+04
