omega_eV,Re,Im
1.50000000,3251.18930000,-666.89302000
1.50500000,3228.83060000,-667.72109000
1.51000000,3202.53780000,-668.62537000
1.51500000,3174.71280000,-669.90377000
1.52000000,3146.21500000,-675.83950000
1.52500000,3117.12580000,-681.08309000
1.53000000,3092.51230000,-689.47339000
1.53500000,3070.81580000,-698.13154000
1.54000000,3050.79530000,-706.33225000
1.54500000,3029.65380000,-713.51454000
1.55000000,3001.92900000,-720.20601000
1.55500000,2969.71980000,-729.65776000
1.56000000,2936.28990000,-741.14729000
1.56500000,2902.18390000,-754.31547000
1.57000000,2868.08510000,-769.19422000
1.57500000,2835.12160000,-785.73503000
1.58000000,2803.88330000,-803.50213000
1.58500000,2773.51210000,-822.29829000
1.59000000,2743.68750000,-842.66290000
1.59500000,2715.07580000,-864.85169000
1.60000000,2690.21490000,-889.15545000
1.60500000,2670.91620000,-914.73775000
1.61000000,2658.51780000,-941.41337000
1.61500000,2660.26870000,-967.48082000
1.62000000,2666.02080000,-988.10010000
1.62500000,2677.68520000,-1000.37040000
1.63000000,2662.29840000,-1013.62960000
1.63500000,2653.90440000,-1032.95060000
1.64000000,2651.38190000,-1051.03470000
1.64500000,2644.77830000,-1067.68880000
1.65000000,2639.89710000,-1086.97970000
1.65500000,2640.60650000,-1106.15480000
1.66000000,2648.65520000,-1121.89140000
1.66500000,2643.86400000,-1131.28050000
1.67000000,2628.86850000,-1146.55390000
1.67500000,2617.13930000,-1164.09120000
1.68000000,2609.15270000,-1181.67380000
1.68500000,2599.61350000,-1197.65460000
1.69000000,2585.87710000,-1214.16810000
1.69500000,2572.12600000,-1232.38150000
1.70000000,2561.02390000,-1249.83450000
1.70500000,2538.80090000,-1265.59590000
1.71000000,2514.46080000,-1288.24630000
1.71500000,2494.20120000,-1313.10920000
1.72000000,2475.66210000,-1341.32160000
1.72500000,2465.18060000,-1371.54470000
1.73000000,2462.35790000,-1402.58170000
1.73500000,2465.17360000,-1432.92250000
1.74000000,2474.42800000,-1463.13700000
1.74500000,2492.47600000,-1491.53190000
1.75000000,2516.41020000,-1514.99760000
1.75500000,2532.91560000,-1532.58080000
1.76000000,2538.25560000,-1550.46090000
1.76500000,2540.14720000,-1570.99360000
1.77000000,2542.94800000,-1592.92060000
1.77500000,2546.88980000,-1615.59670000
1.78000000,2552.38880000,-1638.05830000
1.78500000,2556.66930000,-1661.24700000
1.79000000,2563.09200000,-1685.96910000
1.79500000,2573.29030000,-1711.05860000
1.80000000,2588.66920000,-1736.33090000
1.80500000,2608.97690000,-1759.91820000
1.81000000,2629.16020000,-1780.79000000
1.81500000,2647.27220000,-1801.26930000
1.82000000,2665.05280000,-1821.29520000
1.82500000,2682.91830000,-1840.57830000
1.83000000,2699.40920000,-1859.19620000
1.83500000,2715.11290000,-1878.06840000
1.84000000,2731.03660000,-1896.56410000
1.84500000,2747.89920000,-1914.75390000
