omega_eV,Re_xx,Im_xx,Re_yy,Im_yy,Re_xy,Im_xy,Re_yx,Im_yx
1.5,3251.1893,-666.89302,2539.5311,-2808.4753,-10.7785739,15.3180647,-12.8656221,10.6203953
1.505,3228.8306,-667.72109,2552.736,-2811.9566,-11.5598346,15.7823496,-13.9131934,10.0207664
1.51,3202.5378,-668.62537,2566.3701,-2815.9284,-12.5635112,16.4000612,-14.7858988,9.2175588
1.515,3174.7128,-669.90377,2582.4987,-2820.8325,-13.64912199,16.9151023,-15.51647201,8.7064057
1.52,3146.215,-675.8395,2602.5608,-2825.2373,-14.4443224,16.575705,-15.9745676,8.353635
1.525,3117.1258,-681.08309,2624.296,-2828.2448,-16.22224004,17.0354643,-17.73700196,8.0987537
1.53,3092.5123,-689.47339,2642.7951,-2830.1564,-17.79903695,16.6861226,-18.88382705,7.0958594
1.535,3070.8158,-698.13154,2660.9745,-2832.2508,-18.39356104,16.2714012,-18.96574296,6.6291108
1.54,3050.7953,-706.33225,2676.1553,-2833.2348,-19.23799715,15.6191743,-19.40306085,6.5886217
1.545,3029.6538,-713.51454,2688.4525,-2835.9075,-19.8108539,14.9083606,-19.8120461,6.5837834
1.55,3001.929,-720.20601,2699.9207,-2838.3882,-19.64599963,13.8421917,-19.63628037,6.1633803
1.555,2969.7198,-729.65776,2709.6122,-2842.4526,-19.04854781,13.4846627,-19.13197219,6.0494233
1.56,2936.2899,-741.14729,2721.6372,-2847.9038,-19.12078382,13.5706658,-19.26324618,5.7247622
1.565,2902.1839,-754.31547,2736.6437,-2853.5677,-19.65853897,13.6792656,-19.61691503,5.1604358
1.57,2868.0851,-769.19422,2755.1601,-2858.5857,-20.0264339,13.6283027,-19.6402881,4.3806581
1.575,2835.1216,-785.73503,2776.7518,-2861.9529,-20.37067553,13.8857441,-19.44315647,3.6391507
1.58,2803.8833,-803.50213,2796.8994,-2862.4594,-21.47056345,13.8173618,-19.48244255,3.2350068
1.585,2773.5121,-822.29829,2809.6735,-2862.3355,-22.5984012,12.7212738,-19.7987068,3.406902
1.59,2743.6875,-842.6629,2820.3125,-2864.5125,-23.3408929,11.7969872,-19.7699491,3.2701464
1.595,2715.0758,-864.85169,2835.1189,-2868.2533,-24.2423557,10.0427962,-20.0679203,3.8338884
1.6,2690.2149,-889.15545,2853.8655,-2871.1658,-24.3091286,8.287211,-20.0516354,4.1190586
1.605,2670.9162,-914.73775,2876.6189,-2874.2413,-24.2928376,6.939334,-20.2383204,4.5789748
1.61,2658.5178,-941.41337,2908.3203,-2876.4911,-24.2108852,5.00176644,-20.3896888,5.08965936
1.615,2660.2687,-967.48082,2954.9875,-2872.6097,-24.3994654,-0.9103062,-21.4895706,10.2661738
1.62,2666.0208,-988.1001,2983.3982,-2860.6757,-18.8275034,4.7864212,-22.2205006,1.989761
1.625,2677.6852,-1000.3704,3021.2158,-2840.9368,-20.5830873,11.5054373,-17.4666487,-3.4647585
1.63,2662.2984,-1013.6296,3011.8096,-2825.4333,-23.1651977,4.78229115,-17.7238083,2.83555545
1.635,2653.9044,-1032.9506,3023.9556,-2819.2284,-21.5494527,1.93815,-18.4250233,4.7564782
1.64,2651.3819,-1051.0347,3040.8082,-2810.3509,-20.19194158,4.4722591,-18.85918042,2.3827719
1.645,2644.7783,-1067.6888,3048.9261,-2797.5868,-20.30364478,6.5560114,-18.94296122,-0.7028418
1.65,2639.8971,-1086.9797,3053.7013,-2791.6231,-22.3206231,7.0203136,-19.2456929,0.4485788
1.655,2640.6065,-1106.1548,3064.647,-2787.2037,-25.759293,6.8208766,-22.609975,1.3713194
1.66,2648.6552,-1121.8914,3082.7774,-2782.2797,-31.3710713,6.527022,-27.7875287,0.0506004
1.665,2643.864,-1131.2805,3106.195,-2773.8993,-34.7989933,3.038012,-30.3030087,-1.8108468
1.67,2628.8685,-1146.5539,3128.8436,-2762.2898,-34.305243,-0.5979711,-29.749877,-2.8425241
1.675,2617.1393,-1164.0912,3151.1048,-2746.8112,-32.9493684,-3.44581106,-29.0944096,-3.65877694
1.68,2609.1527,-1181.6738,3170.8532,-2723.8881,-32.1558335,-6.06417281,-29.2150285,-5.16511919
1.685,2599.6135,-1197.6546,3162.1968,-2691.135,-30.03459707,-7.95750079,-28.60528693,-8.72870941
1.69,2585.8771,-1214.1681,3115.0949,-2664.8984,-25.5684872,-9.5364884,-23.0302148,-11.9617016
1.695,2572.126,-1232.3815,3060.0921,-2650.3069,-21.5522561,-10.429402,-19.0078899,-13.788418
1.7,2561.0239,-1249.8345,3003.9696,-2641.5649,-17.1101988,-10.7397022,-14.2384112,-15.4466618
1.705,2538.8009,-1265.5959,2944.4016,-2642.6867,-13.0206065,-11.3804165,-8.7785115,-15.3243115
1.71,2514.4608,-1288.2463,2895.9095,-2650.7199,-9.1545817,-10.913098,-5.2887395,-14.179364
1.715,2494.2012,-1313.1092,2855.6054,-2662.2935,-7.5199135,-9.6263909,-3.0958959,-13.4498651
1.72,2475.6621,-1341.3216,2822.4284,-2677.9275,-7.6439432,-9.4352844,-2.557795,-11.6328716
1.725,2465.1806,-1371.5447,2799.2143,-2695.9398,-7.7499256,-9.12355214,-3.0825052,-10.62091146
